Character,Direction,Eccentricity,Reaction Time (s)
xiao,0,40,0.6828826999999364
xiao,0,20,0.5123166000003039
xiao,0,0,0.44033059999947
xiao,0,10,0.6355582000005597
da,0,40,0.5935301999998046
da,0,30,0.45675889999984065
xiao,0,40,0.6230308000003788
da,0,30,0.5230483999994249
zhong,0,30,0.4604724000000715
da,0,10,0.49375619999955234
da,0,10,0.45574889999988955
xiao,0,10,0.4808162999997876
da,0,20,0.4039779000004273
da,0,30,0.5278940999996848
da,0,30,0.5393119000000297
da,0,30,0.4357829999999012
da,0,10,0.42695889999959036
xiao,0,0,0.44236480000017764
xiao,0,0,0.4479031999999279
zhong,0,0,0.4376047000005201
zhong,0,40,0.54001530000005
zhong,0,10,0.40428609999980836
xiao,0,20,0.4311870999999883
xiao,0,20,0.6085602999992261
da,0,30,0.5944953999996869
xiao,0,40,0.7406601000002411
xiao,0,20,0.5183045000003403
da,0,0,0.47212579999995796
xiao,0,0,0.49059780000061437
zhong,0,0,0.46618039999975736
xiao,0,10,0.4830001000000266
xiao,0,40,0.7877062999996269
xiao,0,20,0.5336128999997527
zhong,0,20,0.4808686000005764
zhong,0,40,0.44131539999943925
zhong,0,20,0.5016367999996874
xiao,0,30,0.6633652000000438
xiao,0,10,0.5080353000003015
xiao,0,40,0.643801600000188
zhong,0,0,0.5307161999999153
da,0,10,0.5232418000005055
zhong,0,20,0.43077269999957934
zhong,0,30,0.46731699999963894
xiao,0,0,0.4455703999992693
xiao,0,40,0.5473570999993171
xiao,0,0,0.4255640000001222
da,0,40,0.5894994000000224
da,0,10,0.48771620000024996
zhong,0,30,0.5019881999996869
xiao,0,20,0.31735960000060004
zhong,2,10,0.4772171000004164
xiao,2,10,0.5282833999999639
xiao,2,0,0.5683802000003197
xiao,2,30,0.6038866999997481
xiao,2,40,0.4968133000002126
xiao,2,10,0.4298586000004434
da,2,0,0.5230498999999327
zhong,2,20,0.5095996000000014
zhong,2,20,0.4961577000003672
zhong,2,30,0.5291975999998613
xiao,2,10,0.555998400000135
zhong,2,30,0.6902856999995493
xiao,2,40,0.6006293999998888
xiao,2,20,0.5073976999992738
zhong,2,30,0.487478199999714
zhong,2,20,0.5427448000000368
zhong,2,30,0.47325240000009217
da,2,40,0.6161255999995774
da,2,0,1.467510299999958
da,2,0,0.37518870000076276
zhong,2,40,0.548888899999838
da,2,10,0.48380120000001625
zhong,2,10,0.4797714000005726
da,2,0,0.7635927000001175
zhong,2,0,0.45344309999927646
da,2,40,0.6266311999997924
da,2,0,0.4046963999999207
da,2,10,0.46673029999965365
zhong,2,20,0.49736920000032114
xiao,2,20,0.6440932000004977
zhong,2,30,0.48560189999989234
xiao,2,0,0.7254082999997991
zhong,2,40,0.5601417999996556
da,2,40,0.6511938000003283
da,2,20,0.5094536999995398
xiao,2,30,0.528152300000329
da,2,30,0.757308400000511
da,2,10,0.44478649999928166
xiao,2,20,0.5791934999997466
zhong,2,10,0.4764654000000519
da,2,0,0.480717000000368
da,2,40,0.5252659999996467
zhong,2,30,0.6811756000006426
zhong,2,20,0.6687969000004159
da,2,40,0.5064718000003268
xiao,2,20,0.7845367999998416
da,2,0,0.49835060000077647
xiao,2,10,0.569553100000121
xiao,2,40,0.6346781000002011
xiao,2,30,0.5734981999994488
