Character,Direction,Eccentricity,Reaction Time (s)
zhong,0,10,0.4076719000004232
da,0,10,0.43943249999938416
zhong,0,0,0.42954069999996136
da,0,40,0.5406930999997712
zhong,0,10,0.47145329999966634
da,0,10,0.4833493999994971
zhong,0,20,0.48246999999992113
da,0,30,0.46479159999944386
da,0,0,0.35410919999958423
da,0,40,0.6258991999993668
da,0,40,0.5836601999999402
da,0,30,0.403426999999283
zhong,0,30,0.5045710000003965
zhong,0,20,0.487483500000053
da,0,30,0.6384654000003138
zhong,0,30,0.5249617999998009
da,0,10,0.4840957000005801
da,0,20,0.45581049999964307
da,0,0,0.4119931999994151
zhong,0,0,0.4776357000000644
xiao,0,0,0.5692854999997508
da,0,10,0.4542195999993055
xiao,0,40,0.5944658999997046
zhong,0,40,0.45959510000011505
da,0,20,0.4497198000008211
da,0,20,0.5144035000002987
xiao,0,40,0.5513918000006015
da,0,0,0.3692682999999306
zhong,0,40,0.5673615999994581
da,0,30,0.5200730999995358
xiao,0,10,0.4734621000006882
xiao,0,0,0.3838019000004351
da,0,10,0.39637410000068485
da,0,20,0.5849183000000266
xiao,0,0,0.4159751999995933
da,0,10,0.5095965999998953
xiao,0,40,0.5915948000001663
da,0,30,0.5061065999998391
zhong,0,10,0.5284758999996484
xiao,0,30,0.5073001999999178
xiao,0,20,0.5138440999999148
xiao,0,30,0.5160337000006621
da,0,20,0.5009014000006573
zhong,0,40,0.5445140000001629
xiao,0,40,0.7016899000000194
xiao,0,20,0.3931032000000414
da,0,30,0.49380050000036135
da,0,20,0.4959421999992628
da,0,0,0.538749899999857
xiao,0,0,0.34406399999988935
xiao,2,30,0.6987656000001152
zhong,2,40,0.5517328000005364
zhong,2,0,0.34799500000008265
xiao,2,0,0.4935636999998678
da,2,0,0.5281248999999661
zhong,2,0,0.5050498000000516
da,2,10,0.5261326999998346
xiao,2,20,0.48286689999986265
zhong,2,40,0.6128499000005831
da,2,0,0.5677857000000586
da,2,40,0.6252001000002565
xiao,2,30,0.6425778000002538
da,2,40,0.6303436999996848
da,2,10,0.5217029999994338
da,2,20,0.4442933999998786
xiao,2,20,0.5281126999998378
xiao,2,30,0.43872099999953207
da,2,30,0.5375630999997156
da,2,30,0.5365264999991268
xiao,2,40,0.4732401999999638
zhong,2,30,0.5362687999995615
xiao,2,10,0.7600182999995013
da,2,30,0.5280248999997639
zhong,2,40,0.5754133000000365
zhong,2,20,0.48774479999974574
da,2,30,0.5962644000001092
xiao,2,10,0.43603210000037507
xiao,2,10,0.528246400000171
xiao,2,20,0.47571609999977227
da,2,0,0.6488702000006015
xiao,2,20,0.49293020000004617
zhong,2,10,0.4428642000002583
zhong,2,0,0.46950939999987895
da,2,20,0.5293486999999004
zhong,2,0,0.4634513999999399
xiao,2,20,0.533976700000494
xiao,2,10,0.507559399999991
da,2,40,0.5293535999999222
da,2,10,0.43035109999982524
zhong,2,40,0.5221280000005208
da,2,0,0.44622849999996106
xiao,2,0,0.49345869999979186
da,2,10,0.49186399999962305
xiao,2,30,0.46527380000043195
xiao,2,30,0.5017932000000656
da,2,40,0.4321079000001191
xiao,2,20,0.4965834000004179
da,2,10,0.4821649999994406
xiao,2,40,0.44120529999963765
da,2,20,0.28130460000011226
