Character,Direction,Eccentricity,Reaction Time (s)
da,0,20,0.4582213999237865
da,0,30,0.41879200004041195
da,0,30,0.41157039999961853
xiao,0,10,0.3578581999754533
da,0,40,0.5424821999622509
da,0,40,0.5508592999540269
da,0,20,0.46871129993814975
da,0,0,0.3545524999499321
xiao,0,30,0.4569274999666959
da,0,40,0.5374336000531912
da,0,30,0.4207262999843806
xiao,0,20,0.550635899999179
da,0,10,0.4680763999931514
xiao,0,40,0.5093570000026375
xiao,0,20,0.44552750000730157
xiao,0,0,0.5183620000025257
xiao,0,30,0.5109232000540942
xiao,0,20,0.4349200000287965
da,0,10,0.41709710005670786
xiao,0,20,0.4150068999733776
xiao,0,0,0.38161899999249727
xiao,0,30,0.5600023999577388
xiao,0,10,0.4441276000579819
xiao,0,0,0.3777595000574365
xiao,0,0,0.475960599957034
xiao,0,10,0.7015997999114916
xiao,0,40,0.5495377000188455
xiao,0,20,0.6048524000216275
da,0,10,0.41225609998218715
da,0,30,0.4689290999667719
xiao,0,30,0.5135089999530464
da,0,0,0.44545810006093234
da,0,40,0.5849923000205308
da,0,30,0.487335899961181
da,0,10,0.40575699997134507
da,0,0,0.3982276999158785
da,0,0,0.33643240004312247
da,0,40,0.4181012000190094
da,0,10,0.5103535000234842
da,0,40,0.5345355001045391
da,0,30,0.4169599999440834
da,0,20,0.3960752999410033
da,0,10,0.43211449997033924
da,0,40,0.4832147000124678
da,0,0,0.36563600006047636
xiao,0,20,0.541509100003168
da,0,40,0.6494290999835357
da,0,10,0.5018747999565676
xiao,0,0,0.4757806999841705
xiao,0,20,0.4346961999544874
da,2,40,0.776320300064981
da,2,40,0.5533890000078827
da,2,0,0.4517548999283463
da,2,20,0.5655683000804856
xiao,2,30,0.471282200072892
da,2,40,0.506842999951914
da,2,30,0.45540889992844313
da,2,40,0.47214990004431456
xiao,2,10,0.45607459999155253
da,2,10,0.40748890000395477
xiao,2,0,0.4246505000628531
da,2,30,0.5030180999310687
xiao,2,0,0.35553210007492453
da,2,40,0.4775689000962302
da,2,20,0.5024776000063866
da,2,0,0.3686073999851942
xiao,2,20,0.5269237000029534
da,2,30,0.5509034999413416
xiao,2,0,0.43258859997149557
da,2,10,0.4836898000212386
da,2,30,0.5508582000620663
da,2,0,0.40936309995595366
xiao,2,30,0.6098735999548808
da,2,40,0.5191499000648037
xiao,2,30,0.5656639999942854
xiao,2,10,0.47533199994359165
da,2,20,0.4738627999322489
da,2,20,0.5102328000357375
xiao,2,0,0.459302100003697
xiao,2,10,0.4641884999582544
da,2,10,0.5127717000432312
xiao,2,20,0.4789024000056088
da,2,0,0.4473365999292582
da,2,30,0.464498299988918
da,2,40,0.4974025000119582
xiao,2,10,0.4152147000422701
da,2,10,0.4961691000498831
xiao,2,30,0.5156488999491557
xiao,2,0,0.41543109994381666
xiao,2,20,0.5637418000260368
da,2,10,0.48985880007967353
da,2,40,0.5037124999798834
da,2,10,0.46576800011098385
xiao,2,20,0.5467061999952421
da,2,20,0.5468212999403477
xiao,2,40,0.6394705000566319
xiao,2,0,0.4759650001069531
da,2,30,0.5623195999069139
xiao,2,20,0.4766137000406161
xiao,2,40,0.7279700000071898
