Character,Direction,Eccentricity,Reaction Time (s)
xiao,0,30,0.5766151000007085
xiao,0,20,0.5600981999996293
da,0,20,0.515647799999897
da,0,0,0.4124579999997877
da,0,40,0.8039288999998462
xiao,0,40,0.600942699999905
xiao,0,30,0.47323560000040743
da,0,40,0.6764938999995138
da,0,10,0.4508388999993258
xiao,0,10,0.45894069999940257
xiao,0,40,0.5425273000000743
da,0,40,0.53919550000046
xiao,0,10,0.42497609999918495
da,0,40,0.5768322000003536
da,0,30,0.4345949999997174
xiao,0,20,0.4089953000002424
da,0,40,0.7673984000002747
da,0,20,0.4833726000006209
xiao,0,10,0.42293419999987236
xiao,0,30,0.5234446999993452
xiao,0,40,0.6029088999994201
da,0,20,0.4985130000004574
da,0,0,0.46391810000022815
da,0,0,0.47774200000003475
xiao,0,30,0.5017039000003933
da,0,10,0.43779170000016165
xiao,0,30,0.5636290000002191
xiao,0,10,0.5010862999997698
xiao,0,0,0.38575289999971574
xiao,0,10,0.47254200000043056
xiao,0,0,0.37538020000010874
xiao,0,30,0.4833765000003041
xiao,0,30,0.5338462999998228
da,0,40,0.6544524999999339
da,0,10,0.4898224000007758
xiao,0,20,0.5214617999999973
da,0,30,1.0827558999999383
da,0,0,0.6087214999997741
xiao,0,20,0.41005349999977625
xiao,0,20,0.5444032999994306
da,0,0,0.4908787999993365
xiao,0,30,0.53443740000057
xiao,0,10,0.5038996000002953
xiao,0,20,0.48647729999993317
xiao,0,0,0.48097039999993285
xiao,0,20,0.4972251999997752
da,0,0,0.38618620000033843
da,0,40,0.6951810999998997
da,0,10,0.5704567000002498
da,0,0,0.37963219999983266
da,2,30,0.5365291999996771
da,2,40,0.5522062999998525
xiao,2,10,0.4473136999995404
da,2,40,0.5460797000005186
xiao,2,30,0.5477858000003835
da,2,40,0.5033620000003793
xiao,2,10,0.40334789999997156
xiao,2,0,0.43199790000016947
xiao,2,0,0.4302535999995598
xiao,2,30,0.5911796000000322
xiao,2,30,0.5885945999998512
xiao,2,0,0.45054419999996753
da,2,40,0.46638760000041657
da,2,20,0.5254256999996869
da,2,10,0.36479549999967276
xiao,2,0,0.4821486000000732
da,2,20,0.43880189999981667
da,2,40,0.5269437999995716
da,2,20,0.4165683999999601
da,2,0,0.5054764999995314
xiao,2,30,0.5094841000000088
da,2,10,0.49937019999924814
xiao,2,0,0.41487580000011803
xiao,2,0,0.4484567999998035
xiao,2,0,0.4564791000002515
da,2,10,0.4371125000006941
da,2,30,0.5079702000002726
da,2,20,0.5005498999998963
xiao,2,30,0.5080551000000924
da,2,10,0.439653499999622
da,2,40,0.5099522999998953
da,2,40,0.46723870000005263
da,2,10,0.37809459999971295
da,2,0,0.41662930000074994
xiao,2,20,0.48106059999918216
da,2,20,0.5023744000000079
xiao,2,20,0.42983540000022913
xiao,2,20,0.4390721999998277
xiao,2,30,0.48546489999989717
da,2,40,0.48939009999958216
da,2,20,0.5040548999995735
da,2,0,0.46803040000031615
da,2,30,0.5442624000006617
xiao,2,40,0.47361499999988155
da,2,30,0.49853669999993144
da,2,40,0.5761049000002458
da,2,10,0.43178180000086286
da,2,20,0.4574592999997549
da,2,10,0.4613289999997505
da,2,10,0.34923669999989215
