Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,0,25,0.5280569
90,0,35,0.6439035
90,0,15,0.4417207
90,0,20,0.4698616
45,0,15,0.5522633
0,0,30,0.5527844
0,0,5,0.4718287
90,0,10,0.4637956
90,0,25,0.5502077
90,0,20,0.3990505
90,0,10,0.4812376
90,0,20,0.6119097
90,0,15,0.3898595
45,0,30,0.4845645
45,0,0,0.5269471
0,0,0,0.4717818
0,0,15,0.7024034
45,0,10,0.4285675
90,0,10,0.4821915
0,0,35,0.5613629
0,0,10,0.4352136
45,0,40,0.4590244
90,0,30,0.5497443
90,0,30,0.4298672
0,0,25,0.4804703
45,0,0,0.4768883
0,0,10,0.4387105
45,0,25,0.4591221
45,0,30,0.5807072
90,0,5,0.5273426
90,0,40,0.5980344
90,0,5,0.6281899
90,0,15,0.4600231
45,0,40,0.4149366
0,0,20,0.5370041
0,0,20,0.3892146
90,0,0,0.5291894
90,0,0,0.4793603
0,0,30,0.6020128
45,0,40,0.5689059
45,0,25,0.4815914
45,0,10,0.4369538
45,0,15,0.4793682
45,0,10,0.37235
45,0,40,0.4176783
45,0,30,0.3725717
0,0,0,0.5011177
45,0,20,0.4078066
45,0,35,0.4048108
90,0,35,0.5864935
90,0,0,0.5021264
45,0,35,0.3947645
45,0,30,0.4882578
90,0,15,0.5349806
45,0,40,0.4255226
0,0,5,0.441301
45,0,5,0.440266
0,0,40,0.758661
45,0,5,0.4147091
45,0,35,0.4759922
90,0,20,0.6147098
0,0,20,0.3924662
45,0,40,0.5187464
0,0,10,0.4708153
0,0,0,0.4511136
0,0,40,0.4122524
0,0,35,0.5121897
45,0,5,0.55304
90,0,35,0.587555
0,0,15,0.4570754
90,0,25,0.4389853
0,0,0,0.5066168
90,0,20,0.5295311
45,0,5,0.4398672
45,0,20,0.5686393
90,0,35,0.5620198
45,0,10,0.4938255
45,0,30,0.3823317
45,0,25,0.3570464
90,0,25,0.4884473
90,0,15,0.5460973
0,0,35,0.6950346
90,0,30,0.4847256
0,0,5,0.4375196
0,0,5,0.5274946
45,0,40,0.4942375
45,0,25,0.4396267
45,0,0,0.5600651
90,0,25,0.6429529
45,0,15,0.5263154
0,2,40,0.6697052
90,2,5,0.6078544
90,2,15,0.4250238
90,2,0,0.4874466
0,2,20,0.5121361
45,2,30,0.4649563
90,2,25,0.4195542
45,2,25,0.4627951
90,2,5,0.4688653
45,2,40,0.4720592
45,2,35,0.4518324
90,2,40,0.5647405
45,2,5,0.4064675
90,2,10,1.3518284
90,2,25,0.4398801
0,2,35,0.4977408
45,2,5,0.5016379
0,2,40,0.5383286
0,2,15,0.4255765
45,2,0,0.4172768
0,2,20,0.5734439
90,2,0,0.6310008
45,2,10,0.4628979
45,2,40,0.5902911
45,2,25,0.5142235
90,2,0,0.5653255
0,2,15,0.5636128
45,2,30,0.6340389
90,2,20,0.4253303
0,2,35,0.574233
45,2,15,0.4779676
0,2,40,0.5029736
0,2,35,0.4730302
0,2,20,0.5097861
0,2,20,0.4311672
45,2,0,0.4484532
0,2,35,0.562426
45,2,10,0.4703493
90,2,35,0.5034174
45,2,25,0.5330432
45,2,15,0.4587318
0,2,10,0.4805865
90,2,20,0.5865084
0,2,35,0.5369895
90,2,10,0.6138203
0,2,5,0.4774246
0,2,25,0.4262364
90,2,5,0.5030094
0,2,25,0.4715661
0,2,25,0.4580077
90,2,30,0.5053718
0,2,30,0.4445087
0,2,30,0.3946542
45,2,30,0.5808653
0,2,15,0.593716
45,2,25,0.4835401
0,2,40,0.4475682
45,2,40,0.5287549
0,2,35,0.5378898
45,2,5,0.5376033
45,2,20,0.4291691
90,2,10,0.488826
0,2,20,0.4804133
45,2,30,0.5150523
0,2,20,0.5612188
90,2,30,0.4787656
0,2,10,0.5407732
90,2,0,0.5114697
45,2,30,0.5285899
90,2,10,0.6245905
45,2,0,0.4962793
0,2,5,0.4137798
45,2,15,0.4362958
90,2,35,0.513002
45,2,5,0.5443623
90,2,15,0.4357278
45,2,25,0.4352849
90,2,30,0.4722844
45,2,0,0.6292579
90,2,40,0.5598369
45,2,0,0.6330828
0,2,15,0.7994605
0,2,20,0.483001
45,2,0,0.5209024
0,2,40,0.5343607
90,2,5,0.7665759
90,2,15,0.5588519
90,2,35,0.4761341
90,2,10,0.5295499
45,2,10,0.4087356
