Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,0,10,0.3648489
0,0,0,0.430889
0,0,40,0.6587779
0,0,35,0.461434
90,0,35,0.4588541
90,0,30,0.4379005
90,0,10,0.4002325
90,0,25,0.3969782
0,0,15,0.3098416
0,0,15,0.6313244
90,0,40,0.4776591
90,0,10,0.3582411
0,0,25,0.4280944
0,0,15,0.4479005
0,0,30,0.5032688
0,0,5,0.4740781
0,0,0,0.4231822
0,0,5,0.3190979
0,0,30,0.5595324
90,0,30,0.4282903
0,0,35,0.4916103
0,0,0,0.4201681
0,0,15,0.4594582
0,0,5,0.4851326
0,0,5,0.3618459
0,0,10,0.3323565
90,0,10,0.3490605
0,0,40,0.5680111
90,0,40,0.5758229
90,0,35,0.4841748
90,0,5,0.5151162
90,0,10,0.4703108
90,0,35,0.4513092
90,0,15,0.3239617
90,0,25,0.3822342
90,0,40,0.4429426
0,0,5,0.4486404
90,0,30,0.467653
0,0,0,0.4269813
90,0,5,0.400488
90,0,5,0.3463453
90,0,40,0.5294312
0,0,5,0.4544882
0,0,0,0.389809
90,0,35,0.4965311
0,0,0,0.3760534
90,0,20,0.4111993
90,0,40,0.4195637
0,0,10,0.4568681
90,0,40,0.5578163
90,0,25,0.4115785
0,0,35,0.5368372
0,0,25,0.4215144
90,0,20,0.3888532
90,0,20,0.3693307
90,0,0,0.5121841
90,0,20,0.3891389
90,0,15,0.3766453
90,0,30,0.3565381
0,0,0,0.5188957
90,0,40,0.5905688
0,0,20,0.3692496
90,0,20,0.5365867
90,0,15,0.3869193
90,0,40,0.4171408
90,0,15,0.3714646
0,0,20,0.4603403
90,0,15,0.3465814
90,0,0,0.4281238
0,0,20,0.4504893
90,0,15,0.3842039
0,0,25,0.42455
0,0,10,0.5270548
0,0,35,0.479604
0,0,20,0.5437052
90,0,25,0.4293169
90,0,35,0.4616971
0,0,10,0.4030378
0,0,25,0.5069551
90,0,30,0.4173166
90,0,35,0.3987264
90,0,25,0.3370259
0,0,30,0.4517149
90,0,30,0.3863098
90,0,5,0.3889691
90,0,30,0.4764847
90,0,0,0.475079
90,0,10,0.37625
0,0,20,0.4516501
0,0,25,0.3935244
0,2,25,0.503106
0,2,30,0.343027
0,2,30,0.3734527
0,2,15,0.3813073
0,2,5,0.4030065
0,2,20,0.3277991
90,2,35,0.5207723
90,2,40,0.5566391
0,2,35,0.4818503
0,2,20,0.6583509
90,2,15,0.4149499
0,2,35,0.4133491
90,2,40,0.4725972
90,2,25,0.3418587
90,2,30,0.367918
0,2,5,0.4229921
90,2,25,0.3823085
90,2,10,0.4234637
90,2,40,0.4742259
90,2,40,0.3744544
0,2,5,0.4665768
90,2,10,0.3552368
0,2,35,0.43659
0,2,30,0.394693
0,2,10,0.484846
90,2,25,0.4958356
90,2,25,0.4215227
0,2,0,0.4854812
90,2,10,0.3480172
90,2,0,0.4240506
90,2,5,0.4157593
0,2,5,0.4426369
0,2,5,0.4312568
90,2,5,0.4848487
0,2,30,0.465237
0,2,5,0.5153475
90,2,20,0.4747089
0,2,15,0.4587505
0,2,30,0.4795857
0,2,40,0.5238753
90,2,15,0.3965597
0,2,0,0.4397903
0,2,10,0.3926747
90,2,35,0.4443077
90,2,15,0.4891854
0,2,5,0.4523593
0,2,15,0.4322246
0,2,35,0.4619956
0,2,40,0.4892606
90,2,20,0.4691021
0,2,0,0.4612139
90,2,15,0.4210922
0,2,5,0.4131973
90,2,25,0.5422809
90,2,35,0.5048721
0,2,35,0.3561692
0,2,30,0.4328341
0,2,15,0.4780459
0,2,10,0.4839783
0,2,40,0.4650597
90,2,20,0.425919
0,2,0,0.5225942
0,2,30,0.3804392
0,2,20,0.3713752
0,2,10,0.4423731
0,2,0,0.5611304
0,2,20,0.3662392
90,2,35,0.4953513
0,2,25,0.6633283
0,2,25,0.3860622
0,2,0,0.443524
90,2,30,0.388495
0,2,30,0.483615
90,2,10,0.422318
90,2,25,0.3791388
0,2,15,0.4810025
90,2,0,0.4142065
90,2,10,0.3671839
0,2,40,0.5247401
90,2,35,0.45361
90,2,0,0.4570775
0,2,0,0.4725466
0,2,20,0.4865301
0,2,20,0.4678962
0,2,40,0.5574391
0,2,40,0.6081049
90,2,15,0.617468
90,2,10,0.5118422
0,2,20,0.40148
0,2,25,0.4016895
