Letter,Direction,Eccentricity,Reaction Time (s)
E,2,30,0.8546796000009635
E,2,20,0.7562892999994801
E,2,30,0.3885821000003489
E,2,30,0.44006419999641366
E,2,30,0.331672600004822
E,2,40,0.29097630000615027
E,2,30,0.2208666000078665
E,2,20,0.3465577999886591
E,2,0,0.22564569998939987
E,2,30,0.34346230000664946
E,2,10,0.26199159999669064
E,2,40,0.2359299999952782
E,2,10,0.2392450000043027
E,2,0,0.24149230000330135
E,2,20,0.25944959999469575
E,2,10,0.2543690000020433
E,2,10,0.242294600000605
E,2,0,0.21707830000377726
E,2,10,0.16667629999574274
E,2,30,0.2209147999965353
E,2,0,0.2124562000099104
E,2,20,0.23070970000117086
E,2,30,0.2291138000000501
E,2,20,0.24231869999493938
E,2,20,0.3406657000014093
E,2,40,0.19830380000348669
E,2,20,0.32075139999506064
E,2,40,0.28261989999737125
E,2,0,0.2875349000096321
E,2,10,0.2672015999996802
E,2,20,0.279979099999764
E,2,40,0.3234145000024
E,2,0,0.3648013999918476
E,2,20,0.20708799999556504
E,2,0,0.2645572000037646
E,2,0,0.29662580000876915
E,2,10,0.2409373999980744
E,2,0,0.3823035999957938
E,2,40,0.33768189999682363
E,2,40,0.2980881999974372
E,2,40,0.3534555999940494
E,2,40,0.4102522000030149
E,2,0,0.34600970000610687
E,2,30,0.34796660000574775
E,2,40,0.32396939999307506
E,2,20,0.2922858000092674
E,2,10,0.34408819999953266
E,2,10,0.3610962000093423
E,2,10,0.2915596000093501
E,2,30,0.41239990000030957
E,0,0,0.3083773999969708
E,0,0,0.3485690999950748
E,0,10,0.25495889999729116
E,0,30,0.2948852999979863
E,0,10,0.3977745000011055
E,0,10,0.2742333000060171
E,0,30,0.41556959999434184
E,0,20,0.267332899995381
E,0,10,0.7901338999945438
E,0,40,0.33744459999434184
E,0,0,0.31802769999194425
E,0,40,0.38245209999149665
E,0,40,0.286046900000656
E,0,30,0.3174618999910308
E,0,20,0.3052116000035312
E,0,40,0.3581188999960432
E,0,0,0.4383107000030577
E,0,10,0.2732886000012513
E,0,20,0.3011798999941675
E,0,20,0.2824679000041215
E,0,10,0.29486460000043735
E,0,40,0.29331720000482164
E,0,20,0.3241425000014715
E,0,30,0.33426989999134094
E,0,40,0.29950880000251345
E,0,30,0.3470993999944767
E,0,10,0.3923499999946216
E,0,40,0.2759213999961503
E,0,10,0.34037619999435265
E,0,40,0.3542035999998916
E,0,20,0.2530872999923304
E,0,30,0.2969526000088081
E,0,30,0.7000606999936281
E,0,0,0.4072978000040166
E,0,0,0.31289980000292417
E,0,0,0.2601453999959631
E,0,0,0.25836830001208
E,0,0,0.23161000000254717
E,0,20,0.3316627000021981
E,0,20,0.3351669999974547
E,0,30,0.14187569999194238
E,0,40,0.35228320000169333
E,0,20,0.3379782999982126
E,0,0,0.3381477999937488
E,0,30,0.2660369999939576
E,0,30,0.26181859998905566
E,0,20,0.23895339999580756
E,0,10,0.27545780000218656
E,0,40,0.2812658000038937
E,0,10,0.27559049999399576
