Letter,Direction,Eccentricity,Reaction Time (s)
E,0,10,0.3513671999971848
E,0,10,0.37493499999982305
E,0,10,0.27122619999863673
E,0,10,0.27244250000512693
E,0,30,0.416829100009636
E,0,30,0.2513031999988016
E,0,30,0.28268459999526385
E,0,10,0.26837479999812786
E,0,20,0.2670676999987336
E,0,10,0.31399470000178553
E,0,20,0.41681329999119043
E,0,40,0.45016259999829344
E,0,20,0.3735346000030404
E,0,0,0.3098877000011271
E,0,20,0.31210720000672154
E,0,20,0.2709856999863405
E,0,10,0.29437139999936335
E,0,30,0.28852410000399686
E,0,30,0.40637149999383837
E,0,20,0.34954510000534356
E,0,40,0.39299839999875985
E,0,30,0.3876072999992175
E,0,0,0.4019391999900108
E,0,30,0.37428109999746084
E,0,40,0.4831782999972347
E,0,30,0.3330349000025308
E,0,0,0.30343709999579005
E,0,0,0.32203799999842886
E,0,30,0.42692860000533983
E,0,40,0.3129978999932064
E,0,40,0.400078399994527
E,0,0,0.2987944000051357
E,0,20,0.42397360000177287
E,0,40,0.4610030000039842
E,0,0,0.30789070000173524
E,0,30,0.4267764999967767
E,0,40,0.29541260001133196
E,0,10,0.29409160000795964
E,0,40,0.42199230000551324
E,0,20,0.3148378000041703
E,0,0,0.3443173999985447
E,0,10,0.30634270000155084
E,0,20,0.31640039999911096
E,0,20,0.34518049999314826
E,0,40,0.40649399999529123
E,0,0,0.25946400000248104
E,0,0,0.2782022000028519
E,0,40,0.375774400003138
E,0,0,0.3206170000048587
E,0,10,0.3209025000105612
E,2,0,0.3193116999900667
E,2,10,0.2394303999899421
E,2,20,0.3235917999991216
E,2,30,0.26514759998826776
E,2,20,0.31236169999465346
E,2,20,0.3069384000118589
E,2,20,0.3155590999958804
E,2,40,0.42445690000022296
E,2,40,0.3939576999982819
E,2,40,0.3649232000025222
E,2,40,0.3997598999994807
E,2,30,0.4144908000016585
E,2,0,0.3327432999940356
E,2,20,0.32679730000381824
E,2,0,0.30662950000260025
E,2,30,0.31953470000007655
E,2,20,0.2633798999886494
E,2,10,0.3093076000077417
E,2,30,0.27138649999687914
E,2,40,0.4106097000039881
E,2,20,0.3294252000050619
E,2,40,0.3983111999987159
E,2,0,0.3543132000049809
E,2,30,0.4245158999983687
E,2,10,0.32118590000027325
E,2,0,0.2770870999956969
E,2,10,0.2755357999994885
E,2,0,0.30313880000903737
E,2,20,0.3099433000024874
E,2,10,0.3161415000067791
E,2,0,0.3018222999962745
E,2,30,0.2625555999984499
E,2,30,0.26507190000847913
E,2,40,0.36537859999225475
E,2,20,0.2368780999968294
E,2,10,0.36854769999627024
E,2,0,0.3837311000097543
E,2,40,0.4270251999987522
E,2,40,0.46128020000469405
E,2,30,0.3901538000063738
E,2,20,0.59454600000754
E,2,10,0.7860344000073383
E,2,10,0.24655189999612048
E,2,30,0.30006170000706334
E,2,0,0.2914872999972431
E,2,40,0.3139087999879848
E,2,0,0.28035470000759233
E,2,10,0.31736889999592677
E,2,10,0.24704479999491014
E,2,30,0.20206600001256447
