Face,Direction,Eccentricity,Reaction Time (s)
7,0,35,0.34368809999432415
7,0,20,0.2433385000040289
7,0,0,0.23657480001566
7,0,25,0.22296069998992607
7,0,30,0.24787809999543242
7,0,5,0.26816750000580214
7,0,20,0.28609370000776835
7,0,15,0.36347209999803454
7,0,0,0.32892770000034943
7,0,25,0.2746714999957476
7,0,5,0.29834810001193546
7,0,0,0.26411370001733303
7,0,15,0.275289100012742
7,0,20,0.2774485999834724
7,0,40,0.2938953999837395
7,0,15,0.37403249999624677
7,0,0,0.26064819999737665
7,0,30,0.45259400000213645
7,0,40,0.5728648999938741
7,0,25,0.2804114999889862
7,0,20,0.38344609999330714
7,0,5,0.32928120001452044
7,0,15,0.4197454000241123
7,0,25,0.4653779999935068
7,0,15,0.4309056000201963
7,0,35,0.5069351999845821
7,0,5,0.38757379999151453
7,0,30,0.49066989999846555
7,0,35,0.2725135000073351
7,0,20,0.4132359999930486
7,0,35,0.41950650000944734
7,0,20,0.4095693999843206
7,0,25,0.4088839000032749
7,0,10,0.3143049000063911
7,0,10,0.3346400999871548
7,0,25,0.32007139999768697
7,0,15,0.24756089999573305
7,0,35,0.31574460002593696
7,0,35,0.4936941000050865
7,0,35,0.4771972000016831
7,0,0,0.3593786999990698
7,0,40,0.5249127999995835
7,0,25,0.6198497000150383
7,0,35,0.6271267999836709
7,0,40,0.5575599000148941
7,0,20,0.44049330000416376
7,0,35,0.5287134999816772
7,0,30,0.5609411000041291
7,0,40,0.5832090000039898
7,0,30,0.40596249999362044
7,0,10,0.40542439999990165
7,0,5,0.3367271999886725
7,0,40,0.450752900011139
7,0,20,0.2790947000030428
7,0,0,0.25063560000853613
7,0,0,0.2898546000069473
7,0,5,0.30341920000500977
7,0,15,0.3728440999984741
7,0,5,0.7443636000098195
7,0,15,0.3028544000117108
7,0,25,0.278698699985398
7,0,15,1.1302260000084061
7,0,5,0.4426965000166092
7,0,30,0.5008544999873266
7,0,25,0.4955210000043735
7,0,10,0.385329200013075
7,0,10,0.31598240000312217
7,0,10,0.33954269997775555
7,0,15,0.40478620000067167
7,0,20,0.4286087999935262
7,0,40,0.5459144999913406
7,0,30,0.453410599991912
7,0,35,0.596454199985601
7,0,10,0.37681289997999556
7,0,25,0.569235100003425
7,0,40,0.6838331999897491
7,0,30,0.5588870999927167
7,0,10,0.411865999980364
7,0,30,0.6224140000122134
7,0,0,0.3007217000122182
7,0,20,0.30437239998718724
7,0,10,0.3122525999788195
7,0,0,0.2697015999874566
7,0,30,0.4773879999993369
7,0,40,0.5501495999924373
7,0,5,0.2863517999940086
7,0,0,0.26725450000958517
7,0,40,0.5106211999955121
7,0,5,0.29833610000787303
7,0,10,0.2964493000181392
7,2,40,0.6331637999974191
7,2,35,0.29651690000901
7,2,20,0.35692970000673085
7,2,40,0.5050256999966223
7,2,15,0.2953483999881428
7,2,0,0.2569688999792561
7,2,5,0.25437569999485277
7,2,40,0.2320309999922756
7,2,40,0.3383998000063002
7,2,25,0.40818480000598356
7,2,35,0.32394230001955293
7,2,10,0.08608760000788607
7,2,15,0.30418140001711436
7,2,15,0.14008320000721142
7,2,20,0.5799169999954756
7,2,35,0.26426170000922866
7,2,35,0.4614746000152081
7,2,40,0.42362829999183305
7,2,5,0.3236513000156265
7,2,0,0.28736710001248866
7,2,35,0.32430720000411384
7,2,25,0.2933332000102382
7,2,35,0.3438902999914717
7,2,0,0.3204660000046715
7,2,30,0.33237589997588657
7,2,30,0.34246749998419546
7,2,20,0.24981420001131482
7,2,30,0.3404365000023972
7,2,30,0.2687646999838762
7,2,0,0.2842367999837734
7,2,10,0.29013880001730286
7,2,0,0.29093489999650046
7,2,10,0.2551965000166092
7,2,0,0.26358579998486675
7,2,15,0.26537770000868477
7,2,40,0.21563940000487491
7,2,20,0.3053301000036299
7,2,5,0.21845200000097975
7,2,15,0.16435869998531416
7,2,15,0.22068729999591596
7,2,20,0.2703349000075832
7,2,25,0.23478410000097938
7,2,5,0.251482899999246
7,2,25,0.27517430001171306
7,2,20,0.24158529998385347
7,2,30,0.24537059999420308
7,2,35,0.25781440001446754
7,2,15,0.22172579998732544
7,2,10,0.229765199997928
7,2,10,0.22630450001452118
7,2,10,0.24411279999185354
7,2,25,0.26864940000814386
7,2,25,0.2724304999865126
7,2,35,0.2187514000106603
7,2,10,0.23481510000419803
7,2,10,0.08599120000144467
7,2,5,0.19183039999916218
7,2,20,0.2274805000051856
7,2,10,0.22690370000782423
7,2,20,0.09661830001277849
7,2,25,0.23661429999629036
7,2,0,0.27993059999425896
7,2,15,0.2763891000067815
7,2,40,0.32789539999794215
7,2,25,0.2939939000061713
7,2,30,0.2648068999988027
7,2,30,0.2677108999923803
7,2,25,0.25350770002114587
7,2,5,0.2685343000048306
7,2,20,0.24321359998430125
7,2,30,0.27517700000316836
7,2,40,0.3443859000108205
7,2,40,0.2833950000058394
7,2,5,0.22550880000926554
7,2,5,0.23019420000491664
7,2,0,0.25688160001300275
7,2,35,0.2453191000095103
7,2,30,0.25214490000507794
7,2,15,0.325237000011839
7,2,30,0.36649330001091585
7,2,0,0.2559202999982517
7,2,15,0.28039630001876503
7,2,5,0.25435010000364855
7,2,40,0.3611021999968216
7,2,20,0.2848165000032168
7,2,0,0.22197409998625517
7,2,25,0.26360780000686646
7,2,10,0.2639633000071626
7,2,5,0.268997400009539
7,2,35,0.3351639000175055
