Letter,Direction,Eccentricity,Reaction Time (s)
P,0,20,0.4127821000001859
E,0,0,0.45264030000544153
P,0,0,0.7037302000098862
B,0,40,0.6555794999876525
E,0,0,0.3866647999966517
B,0,20,0.48299870002665557
E,0,40,0.7680492000072263
E,0,10,0.40628240001387894
B,0,10,0.5130001999787055
P,0,40,0.6217565999832004
B,0,10,0.5086845000041649
P,0,30,0.5156111999822315
P,0,30,0.49329990000114776
P,0,0,0.509524599998258
E,0,30,0.34767380001721904
P,0,0,0.49611179999192245
E,0,10,0.41428759999689646
B,0,10,0.4400221999967471
P,0,20,0.46087490001809783
E,0,20,0.48570180000388063
B,0,40,0.6125170000013895
E,0,0,0.3952026999904774
P,0,30,0.5650002000038512
B,0,20,0.4946466999826953
E,0,10,0.4629585000220686
E,0,40,0.7935506000067107
P,0,20,0.5129681999969762
P,0,10,0.5230161999934353
P,0,30,0.536700299999211
E,0,0,0.46015389999956824
B,0,30,0.498046599997906
B,0,30,0.5480730000126641
P,0,30,0.6161923999898136
B,0,40,0.6244205999828409
B,0,20,0.5256942000123672
P,0,10,0.528866000007838
B,0,20,0.5215634999913163
B,0,40,0.7119933000067249
P,0,20,0.5210889999871142
E,0,40,0.7438284999807365
P,0,20,0.5083474999992177
P,0,0,0.4483596999780275
B,0,30,0.5023983999853954
P,0,40,0.7900612000084948
B,0,30,0.5484005000034813
E,0,10,0.43753320001997054
B,0,0,0.5278294000017922
B,0,10,0.43520130001707
B,0,40,0.5877464000077453
B,0,0,0.29394229999161325
E,2,30,0.5488533000170719
B,2,40,0.7027778000046965
E,2,0,0.4094270000059623
B,2,0,0.4714733000146225
E,2,20,0.4161698999814689
B,2,10,0.4391516999749001
B,2,0,0.5036295999889262
B,2,20,0.43527680000988767
B,2,30,0.5617203000001609
E,2,30,0.5206788999785203
P,2,30,0.5462815000209957
B,2,20,0.5056820000172593
B,2,10,0.4126504000159912
E,2,40,0.7641990999982227
E,2,30,0.452822199993534
E,2,40,0.5958989999780897
B,2,20,0.47842190001392737
B,2,20,0.46074229999794625
B,2,0,0.4069945999945048
B,2,0,0.42887919998611324
B,2,40,0.7170607000007294
E,2,30,0.6041350000014063
E,2,40,0.7063324000046123
P,2,30,0.6440377999970224
B,2,10,0.4784689999942202
E,2,40,0.7430644000123721
E,2,10,0.44852850001188926
E,2,30,0.4963724999979604
P,2,0,0.42648920000647195
P,2,40,0.7116092999931425
P,2,10,0.4629469999927096
B,2,10,0.4120060999994166
E,2,0,0.477316599979531
P,2,20,0.5097417000215501
P,2,10,0.39450789999682456
P,2,0,0.39944850001484156
E,2,40,0.7633894999744371
E,2,10,0.44225269998423755
B,2,20,0.4821931000042241
P,2,20,0.45338120000087656
B,2,40,0.7058909999905154
P,2,20,0.530624099978013
P,2,30,0.6938243000186048
B,2,20,0.6278758000116795
B,2,0,0.3880189000046812
B,2,0,0.38428600001498125
P,2,10,0.45745859999442473
P,2,30,0.5459168999805115
B,2,40,0.7016361999849323
E,2,10,0.4607780000078492
