Letter,Direction,Eccentricity,Reaction Time (s)
E,0,0,0.45082889997866005
E,0,30,0.4437272999784909
P,0,40,0.47415989998262376
P,0,40,0.602434300002642
P,0,10,0.4561780999938492
P,0,10,0.37884459999622777
P,0,30,0.46494669999810867
E,0,10,0.3292741999903228
P,0,30,0.42403369999374263
E,0,30,0.5091004999994766
P,0,40,0.536556200007908
E,0,20,0.4464535999868531
E,0,30,0.44733359999372624
E,0,0,0.44416099999216385
E,0,0,0.3508555000007618
P,0,20,0.4147641999879852
E,0,40,0.48031600000103936
E,0,20,0.40691160000278614
P,0,10,0.5931012999790255
E,0,20,0.4235298999992665
P,0,40,0.8642841000109911
E,0,30,0.8302447000169195
P,0,0,0.4511153000057675
P,0,10,0.47544519999064505
P,0,20,0.49280010000802577
P,0,30,0.6013028000015765
P,0,40,0.6140830999938771
P,0,10,0.5297572999843396
E,0,0,0.4116144999861717
E,0,0,0.37212129999534227
E,0,10,0.5588624999800231
P,0,20,0.456950699997833
P,0,30,0.5679711000120733
E,0,40,1.437765299982857
E,0,20,0.5088935999956448
E,0,30,0.903763300011633
P,0,20,0.6472046000126284
E,0,20,0.46250620001228526
E,0,30,0.7148923999920953
P,0,0,0.42595870001241565
P,0,20,0.45164859999204054
E,0,10,0.47221500001614913
E,0,0,0.4398689999943599
E,0,10,0.4130487000220455
P,0,0,0.3525067000009585
P,0,10,0.4304588000231888
P,0,0,0.3721625999896787
E,0,40,0.6875376999960281
E,0,40,1.13885429999209
E,0,40,0.68424239999149
E,2,20,0.3733533999766223
P,2,40,0.34644600001047365
P,2,20,0.40383990001282655
E,2,0,0.4643936000065878
P,2,40,0.45308940001996234
P,2,10,0.40368540000054054
P,2,30,0.6222813999920618
E,2,40,1.070543000008911
E,2,30,0.7100117999943905
P,2,10,0.425685499998508
E,2,40,0.8483485000033397
P,2,10,0.4793966000142973
P,2,40,0.940664800000377
E,2,0,0.41986970001016743
E,2,30,0.5494684000150301
E,2,0,0.5247629999939818
P,2,0,0.4259165999828838
E,2,30,0.6042678999947384
P,2,40,0.7993253000022378
E,2,20,0.4361016000038944
P,2,10,0.39862719998927787
E,2,20,0.4744256999983918
P,2,0,0.4532002000196371
E,2,20,0.5237926999980118
P,2,10,0.3913408999796957
P,2,0,0.4240830999915488
P,2,10,0.473130799975479
P,2,30,0.4511937999923248
P,2,20,0.4719706999894697
E,2,10,0.3818681000266224
E,2,30,0.5145884999947157
E,2,20,0.5184855999832507
P,2,0,0.39546070000506006
E,2,0,0.4350650999986101
P,2,40,0.4655563999840524
P,2,30,0.7395566999912262
E,2,20,0.5578172000241466
P,2,10,0.49183900002390146
E,2,0,0.3916668000165373
E,2,30,0.5812084999924991
P,2,30,0.6384689999977127
E,2,40,0.9815076000231784
E,2,20,0.47324550000485033
P,2,10,0.4197096000134479
P,2,40,0.913446999998996
E,2,20,1.0064092999964487
E,2,10,0.4706640999938827
E,2,40,1.335636900010286
E,2,30,0.6681563000020105
P,2,0,0.3316082999808714
