Letter,Direction,Eccentricity,Reaction Time (s)
P,0,0,0.365799799998058
E,0,30,0.5234187999740243
P,0,10,0.4383549999911338
P,0,10,0.4063247999874875
E,0,0,0.3913975000032224
P,0,30,0.6507668999838643
P,0,10,0.3873563000233844
E,0,30,0.5624856000067666
E,0,40,0.7467663999996148
E,0,20,0.5038989000022411
P,0,20,0.54496480000671
E,0,20,0.5955290000129025
E,0,0,0.4013832999917213
P,0,0,0.3674165999982506
E,0,20,0.4993819000083022
E,0,40,0.9643886999983806
P,0,40,0.8474231000000145
P,0,10,0.44469849998131394
E,0,40,0.7664782000065316
E,0,0,0.4331732999999076
P,0,20,0.38320139999268577
P,0,10,0.39716380002209917
E,0,40,0.795391199993901
P,0,20,0.5936957000230905
E,0,10,0.49149609997402877
P,0,0,0.3693154999928083
P,0,30,0.4121115999878384
E,0,30,0.5677951000106987
P,0,40,0.6451204000040889
E,0,0,0.43234830000437796
P,0,30,0.5623091000015847
E,0,40,0.8164871000044513
P,0,0,0.35861759999534115
P,0,20,0.629852399986703
E,0,10,0.37883279999368824
P,0,0,0.377127699990524
P,0,30,0.5030695000023115
P,0,30,0.5490996000007726
E,0,10,0.5083971999993082
E,0,40,0.6401709000056144
E,0,20,0.5686883000016678
P,0,30,0.5164689999946859
P,0,30,0.7716428999847267
P,0,40,0.9680068000161555
P,0,0,0.49333759999717586
P,0,10,0.44386860000668094
P,0,20,0.5859323999902699
P,0,10,0.431872499990277
P,0,20,0.6904680999869015
E,0,40,0.7683781999803614
E,2,0,0.4346588000189513
E,2,10,0.4312686999910511
E,2,40,0.7032666000013705
E,2,0,0.4747145999863278
E,2,10,0.4778697000001557
P,2,10,0.35759349999716505
P,2,0,0.38564900000346825
P,2,40,0.6303108000138309
P,2,20,0.5118183000013232
P,2,10,0.417170000000624
P,2,20,0.5260227000107989
P,2,20,0.4801345999876503
P,2,30,0.736802200000966
E,2,40,0.8065084999834653
E,2,30,0.7202489000046626
P,2,20,0.5787647000106517
P,2,0,0.3913327000045683
P,2,40,0.6954572999966331
P,2,40,0.6940600999805611
P,2,10,0.3554844000027515
P,2,10,0.39662989997304976
P,2,30,0.7051625000021886
E,2,40,0.8045362000120804
E,2,10,0.5358706000261009
P,2,0,0.3927272000000812
P,2,30,0.6672469000041019
P,2,20,0.5236490000097547
E,2,20,0.617944700003136
P,2,10,0.5123122000077274
P,2,30,0.6687843000108842
E,2,20,0.5084351999976207
E,2,30,0.5944937000167556
E,2,0,0.5187212000018917
E,2,40,0.7777830999984872
E,2,0,0.4432516999950167
E,2,40,0.676466300006723
E,2,20,0.513871700008167
E,2,10,0.4738361000199802
P,2,30,0.6358175000059418
E,2,40,0.6496027999965008
P,2,20,0.5149498999817297
P,2,0,0.4447638000128791
P,2,10,0.36175149999326095
P,2,20,0.5426635000039823
E,2,0,0.519248399999924
E,2,30,0.5903318999917246
P,2,40,0.7249040000024252
E,2,30,0.6504689999856055
E,2,0,0.3875650999834761
P,2,30,0.5576812999788672
