Face,Direction,Eccentricity,Reaction Time (s)
13,0,40,0.542024155
17,2,15,0.845747639
15,0,20,0.614788209
13,0,0,0.590715249
13,0,15,0.63846249
17,0,10,0.599658962
17,2,15,0.837936365
17,2,10,0.628491734
15,2,35,0.78259852
15,2,10,0.607752051
17,2,40,0.590882933
17,0,0,0.750329007
17,0,30,0.842829927
17,2,30,0.649087009
17,0,25,0.543988064
13,0,5,0.61120907
13,0,0,0.658874671
17,2,20,0.649854885
17,0,5,0.80504551
17,0,15,0.949253341
15,2,15,0.508666374
15,2,0,0.604293152
15,2,0,0.77221843
15,2,5,0.595959832
17,0,35,0.306538404
17,0,10,0.48340735
17,2,25,0.557207775
17,2,40,0.607996028
15,0,25,0.638386221
15,0,10,0.744594739
13,0,10,0.71519023
13,0,5,0.734140893
13,0,0,0.552906877
15,2,5,0.644128272
17,0,35,0.577938373
15,2,5,0.695190026
17,0,5,0.578359029
13,0,35,1.127324597
17,0,25,0.503179908
15,0,20,0.443922607
15,2,15,0.505052099
13,0,15,1.004271912
13,2,0,0.557407726
17,2,30,0.164529388
15,2,25,0.800563122
15,0,30,0.654193248
15,0,15,0.777349284
17,2,0,0.593765177
17,2,35,0.607110049
15,0,0,0.617423932
17,2,5,0.555202655
13,0,25,0.675003031
13,0,30,0.547779651
17,0,5,0.630544295
17,2,0,0.612585339
17,0,0,0.730834035
15,0,30,0.681526951
13,2,35,0.377315786
13,0,35,1.089525111
15,0,0,0.856767385
17,0,35,0.56327336
17,0,15,0.673567523
13,0,5,0.659616666
17,2,35,0.55682306
17,2,40,0.834001777
17,2,35,0.788479296
15,2,20,0.756539632
13,0,5,0.680855499
17,2,5,0.672096375
17,0,0,0.58590568
15,0,10,0.749053239
13,2,5,0.6662579
15,0,5,0.787663383
15,0,30,0.773449668
13,2,5,0.590020423
13,2,10,0.615156572
15,2,20,0.704345366
13,2,10,0.609220231
13,2,25,0.674148812
17,0,25,0.725519598
17,0,25,0.657710802
17,2,10,0.675359465
17,0,20,0.955140189
15,2,30,0.5673626
15,0,20,0.742434266
17,0,20,0.47848349
15,2,15,1.028816042
15,0,30,0.58704592
15,0,5,0.693734918
15,0,40,0.72756651
13,2,30,1.119010968
15,0,15,0.649515332
13,0,10,0.665732866
15,0,40,0.948429273
17,2,35,0.354200487
15,0,5,0.578527535
15,2,0,0.832589441
13,0,35,0.590587778
13,2,5,0.7086363
15,2,0,0.49614576
15,0,15,0.648155417
17,2,30,0.64270669
15,0,10,0.616463299
13,2,20,0.551338852
13,2,20,0.556934086
17,0,25,0.657261559
13,0,35,0.055851418
15,2,40,0.695098667
17,2,10,0.810376157
17,2,20,0.740978714
17,2,25,0.654876121
17,2,5,0.318999975
13,2,30,0.717394204
15,0,15,0.63999773
15,2,15,0.587280176
13,0,40,0.530319157
15,2,40,0.620906236
13,2,0,0.621705928
13,0,0,0.499139504
15,2,15,0.61649686
15,2,20,0.587343793
17,0,25,1.059153768
13,2,10,0.763774546
17,2,5,0.773327169
13,0,20,0.822442774
13,0,30,0.967422502
17,0,0,0.868647728
13,2,25,0.943921159
13,0,35,0.748798296
13,2,15,0.544734714
17,2,15,0.689200273
13,2,35,0.712138441
13,0,20,0.980924779
15,2,10,0.796257745
17,0,10,0.728439318
13,2,25,0.840463574
13,2,40,1.106890153
13,2,35,0.743860081
17,2,30,1.008673583
17,0,15,0.724926495
13,2,40,0.83154573
17,0,30,0.98723829
17,2,0,0.596739681
17,0,10,0.715702659
13,2,25,0.778497875
13,0,20,0.629977709
15,0,30,0.816076153
13,2,20,0.658681647
17,0,25,1.236159354
13,0,30,0.937436209
13,0,10,0.748958371
13,2,15,0.718523074
17,0,40,0.751956231
13,2,40,1.119564476
13,0,20,0.553705643
15,0,25,0.891844406
13,0,20,0.782364061
13,2,20,0.605427264
17,0,15,0.796648914
13,2,10,0.587507184
13,2,25,0.905909628
13,2,35,0.916127181
13,2,25,0.608254363
15,2,30,0.972484816
17,2,20,1.001304001
17,2,10,0.582151504
15,0,40,0.953936414
17,2,30,0.351374904
13,0,40,0.501464698
13,0,35,0.46311745
13,0,35,0.861812432
13,2,35,0.590177635
13,2,40,0.714986542
17,2,0,0.737133307
13,2,25,0.518207588
17,0,40,0.751463405
17,0,40,0.643810114
13,2,30,0.657732316
13,0,40,1.179702223
15,2,40,0.802787102
