Letter,Direction,Eccentricity,Reaction Time (s)
E,2,10,0.266114245
E,2,20,0.317925048
E,0,10,0.197727558
E,0,0,0.22351206
E,2,10,0.041429855
E,0,10,0.146756298
E,0,40,0.057476962
E,2,0,0.313023225
E,2,20,0.072098029
E,0,40,0.225677857
E,0,20,0.217640091
E,0,0,0.214654612
E,0,40,0.1540097
E,2,10,0.104741198
E,2,20,0.244578064
E,0,20,0.213549116
E,0,10,0.181176479
E,0,10,0.075235871
E,2,40,0.08347359
E,0,10,0.039564623
E,2,10,0.167365876
E,2,20,0.08037871
E,2,40,0.40686743
E,0,0,0.243898455
E,0,20,0.139102543
E,2,20,0.26618216
E,2,20,0.215411782
E,2,10,0.116128474
E,2,20,0.200356832
E,2,30,0.235858467
E,0,20,0.181069689
E,2,30,0.20422379
E,0,20,0.174167604
E,0,10,0.004478793
E,2,0,0.202568149
E,0,30,0.064325599
E,2,0,0.214246368
E,2,0,0.203494981
E,2,40,0.133967988
E,0,0,0.348814131
E,0,20,0.283176307
E,2,30,0.177388192
E,2,30,0.165103267
E,2,10,0.215141294
E,0,30,0.196359972
E,0,30,0.212458227
E,2,0,0.124607672
E,0,0,0.007846966
E,2,40,0.238623651
E,2,30,0.263353454
E,2,10,0.05454034
E,0,0,0.222032684
E,2,40,0.387768239
E,0,20,0.126068168
E,0,40,0.187317037
E,2,40,0.245429341
E,0,10,0.24334956
E,0,40,0.457685453
E,0,40,0.376690528
E,0,20,0.054079229
E,0,10,0.250826655
E,2,30,0.231839566
E,0,30,0.01635934
E,0,0,0.163902291
E,0,0,0.082287177
E,2,0,0.167200945
E,2,20,0.105090476
E,2,40,0.22631497
E,2,30,0.30246386
E,2,30,0.232849703
E,0,20,0.055631327
E,0,30,0.176425032
E,0,0,0.185762486
E,2,20,0.377342071
E,2,0,0.028537389
E,0,40,0.036375649
E,2,40,0.100983785
E,0,30,0.238542005
E,0,40,0.198899114
E,2,20,0.216153295
E,0,10,0.238406619
E,2,0,0.21860012
E,0,40,0.055515573
E,0,20,0.003185148
E,2,10,0.053853054
E,2,40,0.239790525
E,0,30,0.133438243
E,0,30,0.393645325
E,2,40,0.237678469
E,2,30,0.048486647
E,0,0,0.082779624
E,0,30,0.245754492
E,0,10,0.171521477
E,2,10,0.067360106
E,0,40,0.402362443
E,2,30,0.326415557
E,2,10,0.250156673
E,2,0,0.223204708
E,2,0,0.191827426
E,0,30,0.219914077
