Letter,Direction,Eccentricity,Reaction Time (s)
E,0,30,0.225081796
E,2,40,0.225600505
E,0,30,0.34033711
E,0,0,0.212257933
E,0,10,0.278677458
E,0,10,0.092920466
E,0,20,0.046942895
E,0,40,0.241348318
E,0,40,0.124468397
E,0,0,0.229779547
E,0,10,0.323196319
E,2,30,0.214788748
E,2,20,0.186991345
E,0,20,0.325356406
E,2,30,0.249534951
E,2,0,0.259509028
E,0,30,0.202775154
E,0,40,0.030204504
E,2,0,0.053055185
E,2,30,0.198039925
E,0,20,0.115510669
E,0,20,0.401918835
E,0,0,0.232955965
E,2,10,0.042061441
E,2,20,0.118759579
E,0,30,0.273674841
E,2,20,0.387248787
E,0,30,0.397208976
E,2,10,0.300038207
E,2,20,0.345428681
E,2,30,0.144334001
E,2,40,0.219331924
E,2,40,0.249720581
E,0,10,0.22560973
E,2,40,0.372200855
E,0,10,0.235477689
E,2,20,0.209961944
E,2,30,0.03569822
E,0,30,0.256891764
E,0,10,0.228450056
E,2,0,0.249369518
E,0,30,0.217196626
E,2,0,0.033958635
E,2,0,0.245525114
E,2,10,0.233070167
E,2,30,0.150930226
E,0,0,0.212731985
E,2,10,0.013094721
E,2,30,0.013161405
E,0,0,0.192817989
E,2,30,0.182156852
E,0,40,0.40729488
E,0,20,0.23770293
E,0,0,0.204724719
E,2,20,0.378544146
E,0,0,0.234994528
E,0,40,0.055087788
E,0,30,0.231870023
E,0,20,0.22254448
E,2,0,0.135687793
E,0,40,0.370638971
E,2,30,0.210837808
E,2,0,0.300178837
E,2,40,0.22698849
E,0,20,0.187295224
E,0,30,0.290859107
E,0,0,0.209330532
E,2,20,0.236882026
E,0,20,0.048045853
E,0,40,0.203581299
E,0,0,0.240481576
E,2,30,0.046345602
E,2,40,0.020719595
E,0,10,0.276565559
E,0,40,0.040494103
E,2,10,0.363350848
E,2,0,0.255151074
E,0,10,0.203192144
E,2,40,0.119529223
E,0,20,0.009477465
E,0,10,0.30933641
E,2,0,0.212041737
E,0,0,0.21943107
E,2,40,0.220162005
E,0,20,0.068733254
E,2,10,0.336930074
E,2,10,0.288553857
E,2,10,0.258245306
E,2,20,0.204376034
E,0,10,0.24163974
E,2,20,0.258400526
E,2,10,0.435563082
E,2,10,0.236086215
E,0,40,0.258334095
E,0,40,0.237037112
E,2,40,0.233383645
E,0,30,0.247754574
E,2,0,0.313490406
E,2,40,0.228385599
E,2,20,0.269567953
