Character,Direction,Eccentricity,Reaction Time (s)
da,0,10,0.877994191
da,2,0,0.293242982
da,0,10,0.07702246
da,0,0,0.202379657
da,2,10,0.216153849
da,2,20,0.008820038
da,0,30,0.041924316
da,0,30,0.003604804
da,0,20,0.149029985
da,0,40,0.050944875
da,2,0,0.213498558
da,0,0,0.299363056
da,2,10,0.228444067
da,2,20,0.274782056
da,0,0,0.11212502
da,0,20,0.113886771
da,2,20,0.274135125
da,0,30,0.113563628
da,0,40,0.258057534
da,2,10,0.141234411
da,2,40,0.214474497
da,2,20,0.074759491
da,2,30,0.088404584
da,2,10,0.191782422
da,0,30,0.119712685
da,2,40,0.071161243
da,2,0,0.270601718
da,0,0,0.17451545
da,2,20,0.15127522
da,2,40,0.445072519
da,2,0,0.234468376
da,0,0,0.213990036
da,2,10,0.110520878
da,2,0,0.211598058
da,2,0,0.331977678
da,0,10,0.228334795
da,2,30,0.213149541
da,0,10,0.149279686
da,0,40,0.238768897
da,2,30,0.25005622
da,0,0,0.207505456
da,2,10,0.32052442
da,0,10,0.31634185
da,0,10,0.231875766
da,0,40,0.061722181
da,2,30,0.195463163
da,0,30,0.197124984
da,0,10,0.234353701
da,2,30,0.326273849
da,2,30,0.219242768
da,0,20,0.059816267
da,0,20,0.217070139
da,2,30,0.206302323
da,0,40,0.097206089
da,2,20,0.204597595
da,2,40,0.108689753
da,2,0,0.203900554
da,2,40,0.206480544
da,2,10,0.216056881
da,0,40,0.177318647
da,0,0,0.058246635
da,2,0,0.195803958
da,0,40,0.269088969
da,0,20,0.176981665
da,0,40,0.206127594
da,0,30,0.223349598
da,0,40,0.187507695
da,2,10,0.255616046
da,0,40,0.447493634
da,2,30,0.211289007
da,0,10,0.081007274
da,0,30,0.23776536
da,0,20,0.258187
da,2,40,0.403698229
da,2,20,0.173430315
da,2,0,0.25628441
da,0,20,0.220398188
da,2,10,0.21864777
da,2,40,0.227803757
da,2,0,0.227914686
da,0,30,0.303668878
da,2,40,0.07662676
da,2,20,0.190480329
da,0,0,0.060660563
da,2,30,0.186831607
da,0,20,0.222899643
da,2,40,0.040063655
da,0,10,0.20151189
da,0,30,0.07471062
da,2,20,0.385237954
da,2,20,0.031864343
da,0,10,0.053293112
da,2,40,0.247949493
da,0,20,0.066747341
da,0,20,0.331159614
da,2,30,0.241491698
da,0,0,0.243376948
da,0,30,0.1253388
da,0,0,0.19612871
da,2,10,0.260686592
