Character,Direction,Eccentricity,Reaction Time (s)
da,2,0,0.279317477
da,2,0,0.309331973
da,2,0,0.138590239
da,0,40,0.041285576
da,2,40,0.27051448
da,2,20,0.209379773
da,2,10,0.164921273
da,2,10,0.03480555
da,2,30,0.271176201
da,2,0,0.281852384
da,2,40,0.22679112
da,2,40,0.222456113
da,0,0,0.170178489
da,0,10,0.187317906
da,0,10,0.081016035
da,0,40,0.225040794
da,0,30,0.239423477
da,2,40,0.163624005
da,2,0,0.241946552
da,2,10,0.280314254
da,0,10,0.259269066
da,0,40,0.209279436
da,2,0,0.194268554
da,0,20,0.206661582
da,2,40,0.352850773
da,2,30,0.128810703
da,0,20,0.229422043
da,0,20,0.248953305
da,2,30,0.161730369
da,0,10,0.186640773
da,2,20,0.2069292
da,0,30,0.21196193
da,0,30,0.083925286
da,0,40,0.061840683
da,2,0,0.236712615
da,2,20,0.105056574
da,0,0,0.263464365
da,0,40,0.058077326
da,0,10,0.222987292
da,0,40,0.214674798
da,0,40,0.019720699
da,2,10,0.084468002
da,0,0,0.263062815
da,0,0,0.259722908
da,2,40,0.142631245
da,0,0,0.253698083
da,0,20,0.226913403
da,0,20,0.067281368
da,2,10,0.198260408
da,2,30,0.221892568
da,2,30,0.205100749
da,2,10,0.294726139
da,0,40,0.215385437
da,0,30,0.217381976
da,0,10,0.209042447
da,2,30,0.242617255
da,2,40,0.217377031
da,2,20,0.228898039
da,0,10,0.119461852
da,2,10,0.21422412
da,0,0,0.236598904
da,0,30,0.199276203
da,2,30,0.22367743
da,0,20,0.194474437
da,2,20,0.177287407
da,2,0,0.099950169
da,0,30,0.215701694
da,2,20,0.055139412
da,0,0,0.237837922
da,0,20,0.218822483
da,0,10,0.196528865
da,0,20,0.235333481
da,2,30,0.209065934
da,0,20,0.234311416
da,0,40,0.235416747
da,2,20,0.261447821
da,0,30,0.25437712
da,2,20,0.200922982
da,2,10,0.00606075
da,0,40,0.064437474
da,0,30,0.123905969
da,2,20,0.131899513
da,2,10,0.309448208
da,2,40,0.273242251
da,2,0,0.275846962
da,2,20,0.255455902
da,2,40,0.259947794
da,0,30,0.329011246
da,2,40,0.243830921
da,0,0,0.235532223
da,0,0,0.216164982
da,0,20,0.348084606
da,2,0,0.299670921
da,0,10,0.242544053
da,2,30,0.240175697
da,0,30,0.194892
da,0,0,0.0987131
da,2,30,0.110576915
da,0,10,0.009870173
da,2,10,0.208664564
