Character,Direction,Eccentricity,Reaction Time (s)
zhong,0,30,0.688193576
da,2,10,0.523659854
xiao,0,0,0.500035069
xiao,2,40,0.518434098
da,0,0,0.535849303
xiao,2,20,0.450218407
xiao,0,0,0.489145857
da,0,0,0.561357026
zhong,2,0,0.566927859
zhong,0,10,0.478539837
da,2,10,0.420320021
xiao,0,10,0.43877344
xiao,0,30,0.454485994
da,2,40,0.634900997
xiao,0,40,0.612478657
da,2,30,0.525662251
da,2,30,0.465881898
zhong,2,0,0.568651892
da,2,10,0.521530174
zhong,0,40,0.436291809
da,2,40,0.505322045
da,2,20,0.441040998
zhong,0,20,0.541113577
da,0,10,0.356952597
da,2,40,0.516615277
da,2,20,0.534515761
zhong,0,40,0.558406664
zhong,0,20,0.489610487
da,2,10,0.454564494
xiao,0,10,0.523246948
da,2,10,0.528476405
xiao,2,40,0.658668675
zhong,2,20,0.494890672
xiao,0,0,0.420487163
da,0,10,0.598583064
xiao,2,20,0.502497334
xiao,2,30,0.5278114
da,0,20,0.582917639
da,0,30,0.59778081
xiao,2,10,0.528630025
zhong,0,0,0.513798323
da,2,20,0.518148918
xiao,0,20,0.597727788
xiao,2,0,0.449920756
da,0,10,0.501278621
zhong,0,40,0.511963463
zhong,0,30,0.38143605
da,2,30,0.530809875
da,0,40,0.550309426
da,0,20,0.464318777
xiao,0,0,0.546883056
zhong,2,0,0.552171656
zhong,0,20,0.452491384
zhong,0,0,0.543613489
da,2,30,0.651636933
da,2,0,0.450000133
zhong,0,30,0.499936842
xiao,2,40,0.524027849
xiao,2,10,0.468474873
zhong,0,20,0.573848278
zhong,0,30,0.661285965
xiao,2,0,0.431924082
xiao,0,0,0.427893735
xiao,0,40,0.651096448
da,0,10,0.489091321
da,2,20,0.449940896
zhong,2,0,0.531985214
da,2,20,0.569202792
xiao,0,10,0.404827104
da,2,0,0.582563157
zhong,0,40,0.526816107
da,0,10,0.478259818
zhong,2,30,0.533811059
zhong,2,30,0.413770949
zhong,0,30,0.415838553
da,2,30,0.527475629
da,0,30,0.453013857
xiao,2,40,0.458575886
da,2,20,0.456107494
zhong,2,0,0.443160366
da,0,40,0.403650874
da,0,40,0.476218385
xiao,2,30,0.615859982
zhong,0,30,0.458078722
xiao,0,10,0.38660518
da,2,40,0.667279613
xiao,2,10,0.506924453
zhong,2,10,0.518071169
zhong,2,10,0.474023219
da,0,20,0.5287899
da,0,40,0.53460665
zhong,2,40,0.556187079
xiao,2,40,0.494300528
zhong,0,0,0.526716671
xiao,0,20,0.452458497
zhong,0,30,0.495863886
zhong,2,20,0.526684469
da,2,30,0.524303685
zhong,0,20,0.527963969
zhong,2,0,0.485919677
