Character,Direction,Eccentricity,Reaction Time (s)
da,0,10,0.534506702
xiao,0,0,0.448729148
xiao,0,0,0.504232289
da,0,20,0.616220727
da,2,20,0.497728981
xiao,2,40,0.542217425
da,0,0,0.487802977
da,0,0,0.576861179
xiao,2,20,0.594797762
zhong,2,40,0.619953787
da,2,10,0.526573655
da,2,20,0.55109759
xiao,0,40,0.778775961
xiao,0,30,0.523450186
xiao,2,10,0.50509504
da,2,0,0.622400485
da,0,30,0.49170344
zhong,2,0,0.559768986
xiao,0,10,0.630649943
xiao,2,10,0.577428837
zhong,2,10,0.6463459
xiao,0,0,0.688014909
xiao,0,20,0.62680486
zhong,2,10,0.651212417
xiao,0,10,0.579837632
zhong,0,0,0.593888033
xiao,2,30,0.781050056
da,0,40,0.737611271
zhong,0,30,0.647285743
zhong,2,20,0.634439249
zhong,0,30,0.5966354
xiao,2,0,0.559855356
xiao,2,30,0.623623691
da,0,40,0.590451666
da,2,20,0.58595399
xiao,2,20,0.662731523
da,2,10,0.556503433
zhong,0,10,0.603968089
xiao,2,0,0.572053932
da,0,0,0.586675216
zhong,2,30,0.652719507
xiao,0,30,0.479941259
zhong,0,30,0.500495905
zhong,0,40,0.591952969
da,0,20,0.622695425
da,0,40,0.486219432
zhong,0,20,0.43700464
xiao,0,30,0.546991776
zhong,2,30,0.587937838
xiao,2,20,0.592174899
da,0,0,0.610595808
zhong,2,20,0.56214715
xiao,2,10,0.548023631
zhong,2,10,0.451012997
zhong,2,30,0.535492941
da,0,20,0.523535301
xiao,2,0,0.460135827
da,2,40,0.591080632
da,2,40,0.593241625
zhong,2,40,0.71460362
da,2,40,0.598114873
da,0,30,0.560991249
zhong,0,30,0.579673744
zhong,2,0,0.55658112
da,0,10,0.586506316
da,2,30,0.445114726
zhong,2,40,0.550063474
da,0,20,0.526457426
zhong,0,10,0.474908283
zhong,2,30,0.66224419
xiao,0,40,0.542456404
xiao,0,40,0.486955358
zhong,0,0,0.544757033
zhong,0,10,0.524176604
da,0,10,0.555293559
da,0,20,0.693374148
xiao,2,10,0.519366175
zhong,2,0,0.592277974
da,0,20,0.575171608
xiao,2,10,0.540698744
xiao,2,30,0.557047687
xiao,2,20,0.600272126
da,2,40,0.839016461
xiao,0,40,0.621194683
zhong,0,0,0.516048972
da,0,30,0.673542762
zhong,0,20,0.675375303
xiao,0,10,0.54335698
xiao,2,0,0.435291205
da,2,40,0.473818329
da,2,40,0.57911725
xiao,0,40,0.760311646
zhong,0,20,0.547354513
zhong,2,30,0.566588932
da,2,20,0.515929648
xiao,2,30,0.572403734
xiao,0,10,0.414832946
da,2,0,0.429388816
zhong,0,40,0.614263061
da,2,0,0.517029025
