Character,Direction,Eccentricity,Reaction Time (s)
da,2,20,0.428730895
xiao,2,20,0.410283507
xiao,0,40,0.338932453
da,2,0,0.442854907
xiao,2,20,0.484285298
xiao,0,30,0.319056001
xiao,0,20,0.37212448
da,2,30,0.44152086
xiao,2,0,0.458832065
da,2,20,0.528221678
da,0,0,0.381162349
da,2,40,0.439914953
xiao,2,30,0.416175111
da,0,40,0.470300165
da,2,40,0.502616769
xiao,0,20,0.429501281
xiao,2,30,0.451866982
da,2,30,0.482867648
xiao,0,10,0.382623822
da,0,20,0.569375885
da,0,10,0.386989059
da,2,20,0.424319601
da,2,0,0.345925
xiao,0,10,0.315179117
xiao,2,20,0.534140406
da,0,0,0.502423737
da,2,10,0.40434772
xiao,2,10,0.442878662
xiao,2,10,0.405356582
da,0,0,0.509578681
da,0,20,0.41646009
xiao,0,0,0.506314365
da,2,40,0.603067867
xiao,2,40,0.452381063
da,0,20,0.467511805
da,0,30,0.481930815
da,0,30,0.415061873
xiao,2,0,0.443421217
xiao,0,0,0.538438751
xiao,0,30,0.443254209
xiao,0,40,0.402121474
xiao,0,0,0.452790926
xiao,0,40,0.469374917
xiao,0,0,0.432546802
xiao,2,10,0.494366054
da,2,10,0.458789279
xiao,0,10,0.432921252
xiao,0,10,0.36490877
xiao,0,30,0.401142768
da,0,0,0.502916953
xiao,0,20,0.393999267
xiao,2,40,0.514974646
da,0,10,0.511871958
xiao,0,20,0.472656215
da,2,30,0.426198943
xiao,0,30,0.42944192
xiao,2,0,0.405048792
xiao,2,40,0.481708308
xiao,0,10,0.413560011
da,2,20,0.504296803
da,0,30,0.356732442
xiao,2,30,0.370018072
da,2,0,0.418363613
da,0,30,0.412514092
da,0,20,0.412966622
da,2,40,0.333217931
da,2,40,0.409063073
da,0,20,0.340174471
xiao,0,10,0.394553522
da,2,0,0.398310332
da,2,40,0.504571225
da,2,20,0.422426931
da,0,10,0.428558169
da,0,40,0.493819872
xiao,0,10,0.467857186
da,0,40,0.661121188
da,2,10,0.389429654
da,0,20,0.366337057
xiao,2,30,0.497054236
da,2,10,0.420747074
da,0,30,0.468579275
da,2,30,0.591617215
da,0,0,0.389996454
xiao,2,0,0.291772488
xiao,2,10,0.393916158
da,0,40,0.536704884
da,0,40,0.396212836
da,2,30,0.428654135
da,0,30,0.561025485
da,2,40,0.393851168
da,0,40,0.450912405
da,0,0,0.418267266
da,2,10,0.362546581
xiao,2,10,0.43456713
xiao,2,0,0.484749178
xiao,2,30,0.454401812
xiao,2,20,0.451549346
xiao,2,20,0.418767342
da,0,40,0.515278177
xiao,2,0,0.436101925
