Character,Direction,Eccentricity,Reaction Time (s)
xiao,0,10,0.349427757
xiao,0,10,0.420078613
xiao,0,0,0.498717549
da,2,40,0.421672902
da,2,10,0.464989154
da,0,10,0.477779008
xiao,0,40,0.562475378
xiao,2,0,0.422030865
xiao,0,0,0.431121601
da,2,20,0.567621335
xiao,0,30,0.521712038
da,0,0,0.485775476
da,2,20,0.559888255
da,2,30,0.452515016
xiao,2,40,0.560491751
da,0,20,0.551773388
xiao,2,20,0.492000966
xiao,2,10,0.429305002
da,0,10,0.427678287
xiao,0,10,0.440092701
da,0,30,0.530587149
da,0,20,0.43291498
da,2,20,0.497285115
xiao,0,10,0.497031222
xiao,0,30,0.437088813
xiao,2,20,0.529173883
xiao,2,0,0.437045096
xiao,0,30,0.432913972
xiao,0,10,0.415622947
da,2,0,0.394483075
xiao,2,10,0.42975049
da,2,30,0.520129188
da,0,40,0.612262635
xiao,2,20,0.565050891
xiao,0,40,0.426803454
da,2,10,0.579811547
xiao,0,30,0.622550272
da,2,30,0.570645305
xiao,2,10,0.543847335
xiao,0,30,0.523728393
xiao,2,40,0.557489469
xiao,0,0,0.46667738
da,2,40,0.565167726
xiao,0,0,0.559085791
xiao,2,40,0.482916278
xiao,0,20,0.381033011
xiao,0,20,0.37968167
xiao,0,30,0.35975582
da,2,10,0.475396456
da,0,0,0.487602807
da,2,0,0.435948763
xiao,2,10,0.477001962
da,0,20,0.518208183
da,0,30,0.470802359
da,0,20,0.496299067
da,0,40,0.40501871
xiao,2,10,0.505710944
xiao,0,20,0.517707446
xiao,2,0,0.481813261
da,0,10,0.501121417
da,2,40,0.575043237
xiao,0,40,0.603018961
da,0,10,0.483888908
da,2,30,0.476478163
xiao,2,20,0.521905453
da,2,20,0.486799576
da,0,10,0.407941156
xiao,2,30,0.460081726
da,2,40,0.485581186
xiao,0,0,0.441087796
da,2,30,0.437857969
da,2,40,0.41047532
xiao,2,20,0.408472432
xiao,2,0,0.451933376
xiao,2,0,0.441059036
xiao,2,0,0.398059073
da,2,10,0.402970106
xiao,0,30,0.491751538
da,2,0,0.486381387
da,0,0,0.37915404
da,2,30,0.405220652
da,0,40,0.593818806
da,0,20,0.507737272
da,0,40,0.49475772
xiao,2,20,0.580018999
da,0,40,0.540004146
xiao,0,40,0.597260438
xiao,2,40,0.569675023
xiao,2,40,0.52432924
xiao,2,0,0.450212352
da,0,40,0.593263061
da,2,30,0.378781558
xiao,0,0,0.441240615
da,2,30,0.545964653
da,2,10,0.416441796
xiao,0,0,0.505416245
da,0,20,0.476200307
da,0,30,0.502918257
xiao,0,20,0.485099774
xiao,2,30,0.383601033
