Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90,2,25,0.395667455
0,2,0,0.313493148
0,2,35,0.394649672
90,0,25,0.321119611
90,2,0,0.400201881
90,2,30,0.477560152
90,2,15,0.39458852
90,0,15,0.428064894
0,0,0,0.431003848
0,2,0,0.350155162
90,0,40,0.377069467
0,0,30,0.468845034
90,0,5,0.462826921
90,0,20,0.424801675
90,2,40,0.452471581
0,0,30,0.479535987
0,0,35,0.638611463
0,0,25,0.518398537
90,0,30,0.538991746
90,0,35,0.578625428
90,0,10,0.382796845
0,0,40,0.506648053
90,2,30,0.562840846
90,2,10,0.416364496
90,2,10,0.419211903
0,0,10,0.557612599
0,0,0,0.295892035
90,2,35,0.463521893
90,2,40,0.487994557
0,0,25,0.439752416
0,2,0,0.387180132
90,0,10,0.403175214
90,0,40,0.452368013
0,2,40,0.262519213
0,2,40,0.291671031
0,0,35,0.447968443
0,2,35,0.353858887
90,0,5,0.440321509
90,0,15,0.387863616
0,0,30,0.464589158
0,0,40,0.541950736
0,2,35,0.451494588
90,2,40,0.470422832
0,0,20,0.432699098
90,2,15,0.494123646
90,0,20,0.448305745
0,2,10,0.471195183
90,2,35,0.490713807
0,0,10,0.420573039
0,2,0,0.433040253
90,2,25,0.40058515
0,2,20,0.611479277
0,2,10,0.412542365
90,2,30,0.513234298
0,0,35,0.230878356
0,2,30,0.557696125
90,2,5,0.123169903
0,2,10,0.415193619
90,2,5,0.427507362
90,2,15,0.458100612
90,2,30,0.562503267
0,2,10,0.393262691
90,0,35,0.390260377
90,0,15,0.381642578
90,0,5,0.456771945
90,2,30,0.481544704
90,0,20,0.353719711
0,0,25,0.47289549
90,2,20,0.431545712
0,0,30,0.482868176
90,2,0,0.247024199
90,0,40,0.477948988
90,2,0,0.474691427
90,0,0,0.434230289
0,0,20,0.512502334
90,0,0,0.384013837
90,2,20,0.5311198
90,0,0,0.343011669
90,2,20,0.369020234
90,0,25,0.417969943
0,0,15,0.423753861
0,0,30,0.479890881
0,2,0,0.33748366
0,0,30,0.396534159
90,0,0,0.343638995
0,2,35,0.388149297
90,2,20,0.599709727
0,2,15,0.25226149
0,2,20,0.366723306
90,0,10,0.397269072
90,2,10,0.424608115
0,2,15,0.564805632
0,2,5,0.368098844
90,0,10,0.452615648
90,0,35,0.415879797
90,0,15,0.372594223
90,2,25,0.5369437
90,0,5,0.414615916
90,2,15,0.440770184
90,2,40,0.483107527
0,2,35,0.523068428
0,2,20,0.391748749
90,0,0,0.34512
0,2,40,0.252310122
90,2,5,0.415649182
90,0,15,0.41629267
90,0,5,0.314930657
90,0,30,0.388873983
0,2,15,0.291119311
0,2,5,0.346601964
0,0,40,0.583207263
0,2,5,0.371546271
0,2,15,0.405005079
0,2,40,0.399800166
0,2,25,0.469925043
0,0,40,0.030276749
90,0,35,0.53435601
0,2,30,0.445806412
0,0,0,0.499158598
90,0,20,0.309124662
90,0,15,0.444362004
90,2,30,0.408210836
90,0,5,0.361282118
90,0,35,0.470343029
90,0,25,0.599067779
0,0,5,0.397819074
0,0,40,0.57926015
90,2,35,0.539617082
90,2,15,0.418939839
0,0,10,0.453639108
90,2,5,0.597399137
0,2,40,0.579069378
0,0,20,0.575543809
90,2,35,0.549900155
90,0,35,0.454749472
90,0,10,0.394482986
0,0,10,0.502282164
0,0,40,0.471803198
0,0,5,0.46765041
90,2,25,0.567036266
0,2,5,0.431491112
90,2,25,0.488082834
0,0,10,0.440714396
90,2,25,0.43009839
0,0,25,0.545256583
90,2,10,0.462374519
0,2,20,0.324008465
0,0,0,0.398297603
90,2,30,0.658249982
0,0,15,0.435228768
90,2,20,0.551650191
90,2,10,0.474406935
0,2,20,0.543681335
90,0,25,0.525265182
0,2,15,0.508181864
90,0,0,0.438485134
0,0,5,0.443746758
90,2,25,0.556124617
0,0,25,0.541407259
90,2,0,0.549310139
0,0,40,0.47403748
90,2,40,0.683887777
0,2,5,0.439244854
0,0,30,0.533785103
90,0,20,0.446860475
0,0,5,0.484043277
90,0,20,0.547015039
0,0,15,0.552626361
90,2,35,0.582361429
90,2,25,0.572579758
0,0,15,0.449476902
90,2,5,0.453030834
0,0,20,0.407824166
90,2,30,0.470554921
0,2,0,0.429747116
0,2,25,0.488921561
90,2,10,0.41788004
0,0,30,0.436827834
0,0,35,0.501729857
0,0,25,0.498800371
