Face,Direction,Eccentricity,Reaction Time (s)
5,2,15,0.319593993
5,2,5,0.261561928
5,0,35,0.258971179
5,0,30,0.09235813
5,0,20,0.195854017
5,2,5,0.156490388
5,2,20,0.129823262
5,0,10,0.137376316
5,2,40,0.385605876
5,0,40,0.12039962
5,0,10,0.236863675
5,2,40,0.201891274
5,0,0,0.146419555
5,2,35,0.152775603
5,0,20,0.235523766
5,2,15,0.225868555
5,2,5,0.248342703
5,0,0,0.162371192
5,2,25,0.19146857
5,0,0,0.267727641
5,0,25,0.217218207
5,0,35,0.290817674
5,2,15,0.225605453
5,0,40,0.191982745
5,0,20,0.241375592
5,0,5,0.074663751
5,2,15,0.038509291
5,0,15,0.311219313
5,2,30,0.146504521
5,0,25,0.140635849
5,2,0,0.217421903
5,0,10,0.038429456
5,0,35,0.558736194
5,2,15,0.221427299
5,0,0,0.117975379
5,2,30,0.21411353
5,2,35,0.212950278
5,2,30,0.236076025
5,2,40,0.248365389
5,2,20,0.247467499
5,2,30,0.082026735
5,0,25,0.33831891
5,0,10,0.278683278
5,2,0,0.300515047
5,0,35,0.248277071
5,0,30,0.121260455
5,0,40,0.025213496
5,2,20,0.191526016
5,0,35,0.196552934
5,0,40,0.085560899
5,2,10,0.37501595
5,0,10,0.277498075
5,0,5,0.203798855
5,2,35,0.252233264
5,0,5,0.19469099
5,0,0,0.223237409
5,0,5,0.059472235
5,0,20,0.248956975
5,0,20,0.11770338
5,0,5,0.256640426
5,2,35,0.226181838
5,2,10,0.212832554
5,0,30,0.138582518
5,2,20,0.21375508
5,0,5,0.018479309
5,0,20,0.315698254
5,0,15,0.227572728
5,0,15,0.231745177
5,2,25,0.014186355
5,2,35,0.266899301
5,2,10,0.262053681
5,0,10,0.130135501
5,2,25,0.191946087
5,2,0,0.206691616
5,2,40,0.224403617
5,0,40,0.470629486
5,0,25,0.394852095
5,2,35,0.142986996
5,0,40,0.036053263
5,2,10,0.029237985
5,2,5,0.337732819
5,0,35,0.037611094
5,2,0,0.253054405
5,2,5,0.017179224
5,0,30,0.028332709
5,2,20,0.312499858
5,2,30,0.085527314
5,0,15,0.250729952
5,0,30,0.226619458
5,0,5,0.125736798
5,0,10,0.140582255
5,2,40,0.216028047
5,0,0,0.026259096
5,0,25,0.059485117
5,2,20,0.346488625
5,0,20,0.289090935
5,0,15,0.263413725
5,2,40,0.237210576
5,2,25,0.076811293
5,0,25,0.315563086
5,0,25,0.280987608
5,2,25,0.210618475
5,0,30,0.353278837
5,0,25,0.178652938
5,0,0,0.205393279
5,2,10,0.206912802
5,2,10,0.156541159
5,2,40,0.242546972
5,0,5,0.185766049
5,0,15,0.004548101
5,0,30,0.190232975
5,2,25,0.227825968
5,2,10,0.446800825
5,2,15,0.126253279
5,2,30,0.257733759
5,2,25,0.259701327
5,2,30,0.199753351
5,0,10,0.259197913
5,2,0,0.277865488
5,2,0,0.332598822
5,0,30,0.220799212
5,2,15,0.288826271
5,2,35,0.279240092
5,0,25,0.247104586
5,0,35,0.04817248
5,2,15,0.105642805
5,2,35,0.142823916
5,2,30,0.220377707
5,2,10,0.111932436
5,2,5,0.045796159
5,2,35,0.031072555
5,0,0,0.224840591
5,2,15,0.155123833
5,2,20,0.311435619
5,2,40,0.231550852
5,2,30,0.144484402
5,2,15,0.164535154
5,2,0,0.329279859
5,2,30,0.187164572
5,2,20,0.019785541
5,0,0,0.169871416
5,0,35,0.261382237
5,0,35,0.200416239
5,2,20,0.310025653
5,2,35,0.222357062
5,2,5,0.298354171
5,2,25,0.202713194
5,2,10,0.342303932
5,2,40,0.172549527
5,0,20,0.273538005
5,0,10,0.297664887
5,2,25,0.264093859
5,0,40,0.33428754
5,2,10,0.362305553
5,2,25,0.322634867
5,0,15,0.289944355
5,2,0,0.41859354
5,0,40,0.28304477
5,2,40,0.257489697
5,2,5,0.050077264
5,2,0,0.204474972
5,0,30,0.249887369
5,2,5,0.128854812
5,0,20,0.125964267
5,0,35,0.218342958
5,0,15,0.226218392
5,0,5,0.480026456
5,0,40,0.166424416
5,2,0,0.242961429
5,0,40,0.190763688
5,0,30,0.215530008
5,2,20,0.021012641
5,0,15,0.211563752
5,2,5,0.114434679
5,0,0,0.284878375
5,0,10,0.199840008
5,0,25,0.051372384
5,0,15,0.20388319
5,0,20,0.033934278
5,0,5,0.221119543
