Face,Direction,Eccentricity,Reaction Time (s)
9,0,0,0.571394021
11,0,5,0.376256847
11,2,25,0.562307924
9,0,10,0.538208979
11,0,5,0.628629758
9,2,15,0.501114973
9,0,40,0.685859873
9,0,35,0.563512309
11,2,30,0.634643112
11,0,0,0.598027481
11,2,25,0.731726158
11,2,20,0.730173296
11,2,20,0.583944635
11,2,15,0.507240207
9,2,10,0.583184563
9,0,35,0.823199159
9,0,10,0.556994548
9,2,35,0.475946304
9,0,20,0.506889652
11,0,20,0.599338316
9,2,30,0.572375371
11,0,20,0.566933596
11,2,35,0.591247549
11,2,5,0.502297801
9,2,20,0.641219168
11,0,10,0.740613022
11,0,5,0.720006867
11,0,10,0.602218236
11,0,25,0.680065415
11,0,40,0.643555747
11,0,35,0.546064243
11,0,25,0.538672249
11,0,0,0.401653615
11,0,40,0.566027726
9,2,0,0.613617368
11,2,30,0.65404051
9,2,20,0.761911906
9,2,30,0.770508768
9,0,35,0.67660035
9,2,0,0.505773909
11,0,30,0.668856721
11,0,0,0.610978401
11,2,40,0.570594988
11,0,15,0.455376243
11,2,5,0.462576694
11,0,10,0.479029418
11,2,10,0.532809376
9,2,10,0.574949698
11,2,40,0.536524868
9,0,15,0.52773329
9,2,30,0.535193499
9,2,25,0.627331175
11,2,15,0.652182145
11,2,5,0.559733546
11,0,20,0.673580249
11,2,25,0.569579485
11,0,30,0.628799678
9,0,40,0.749545819
9,2,0,0.709917138
11,0,15,0.762781614
9,2,10,0.560347618
11,0,35,0.663116835
9,2,10,0.540680621
9,0,10,0.60085823
11,0,15,0.655452995
11,2,5,0.746391477
11,2,5,0.600475589
9,2,30,0.730126041
9,0,40,0.8901085
9,2,25,0.717336908
11,2,20,0.603565885
9,2,40,0.669091494
11,2,0,0.54069389
11,0,0,0.435517101
11,2,15,0.725692773
11,0,20,0.589346602
11,0,0,0.495346394
11,2,20,0.620176952
11,0,15,0.692683487
9,2,25,0.635403395
11,0,30,0.707972775
9,0,0,0.547819409
9,2,15,0.712390209
11,2,30,0.650878943
11,2,35,0.707734513
11,0,40,0.677470833
11,0,40,0.713221445
9,2,30,0.786441155
9,0,5,0.484385311
11,0,15,0.644749823
11,2,5,0.5116365
11,2,0,0.423454616
11,2,25,0.409663166
11,2,15,0.57937664
11,2,40,0.592144951
11,0,0,0.440433639
9,0,10,0.56930312
9,2,25,0.662401527
9,0,40,0.615461339
11,0,30,0.77353349
9,2,35,0.657861804
11,2,35,0.585007014
9,0,25,0.67703462
9,2,5,0.601772548
9,0,10,0.635326976
11,0,35,0.805367872
9,0,35,0.589746179
11,0,25,0.67712037
11,2,5,0.65933341
9,0,15,0.588583004
11,0,30,0.505579353
9,0,20,0.703641425
9,0,5,0.452652271
9,2,10,0.518725018
11,0,35,0.702578059
11,2,10,0.670608568
11,2,0,0.560381735
11,2,0,0.48328414
9,0,20,0.672034302
9,0,15,0.564914518
9,2,5,0.618406097
11,0,35,0.673487536
11,2,35,0.672815059
11,2,5,0.653298993
11,2,0,0.519705183
11,2,20,0.51904753
11,2,40,0.664116885
11,0,0,0.550890859
11,0,35,0.5482928
9,2,0,0.707392125
9,2,15,0.62939731
11,2,20,0.74716864
11,2,10,0.589817755
11,0,30,0.66510671
9,0,25,0.53452844
11,0,25,0.59311463
11,2,35,0.545188395
11,2,25,0.542354437
9,0,25,0.640381423
9,0,20,0.656519539
11,2,15,0.633991982
11,0,40,0.769884013
11,0,30,0.615464916
9,2,40,0.703143363
11,0,30,0.453998477
11,2,15,0.522643644
11,2,10,0.49968327
9,0,10,0.656425232
9,0,5,0.559838793
11,2,20,0.521894549
11,2,0,0.475925588
11,2,10,0.422022188
9,2,20,0.616988625
11,0,20,0.511288936
9,0,5,0.579245518
11,2,40,0.590831419
9,0,15,0.523532304
11,2,40,0.565442171
11,0,5,0.555455647
9,2,35,0.625690309
11,2,30,0.644445857
11,2,40,0.523071769
9,0,5,0.652852998
9,0,30,0.575943938
9,2,40,0.579354726
9,2,35,0.649913231
9,2,15,0.597486654
9,0,5,0.541940241
9,0,25,0.649809741
9,2,25,0.579884513
9,0,0,0.439795634
11,0,10,0.642323564
9,0,20,0.61121424
11,0,25,1.132500954
9,0,30,0.661356695
11,0,25,0.674021545
11,2,35,0.601140282
11,2,30,0.473356758
11,0,40,0.628432596
9,0,15,0.584785032
