Letter,Direction,Eccentricity,Reaction Time (s)
P,0,30,0.463256095
P,2,10,0.432843087
P,2,0,0.349279031
P,2,40,0.400225456
E,2,10,0.393176775
E,2,40,0.39343375
E,0,30,0.476177084
P,2,20,0.223005512
P,2,30,0.440601925
E,0,30,0.253346821
P,2,40,0.442938802
E,0,40,0.411075698
E,2,30,0.468589647
P,0,40,0.323818739
P,0,20,0.397849034
P,0,0,0.342401921
P,0,20,0.365156597
P,2,0,0.406033162
E,2,10,0.213422603
P,0,40,0.483246195
E,2,10,0.454824001
E,0,20,0.420248522
E,2,20,0.26900069
P,0,0,0.332408431
E,0,40,0.395101636
P,0,40,0.402273972
E,2,40,0.563622249
P,2,10,0.437931042
E,2,40,0.387094592
P,0,30,0.427070975
P,2,20,0.393066025
E,2,10,0.380116213
E,2,30,0.361296852
P,2,0,0.440803195
E,2,10,0.244292759
P,0,30,0.343237146
E,2,0,0.438010714
E,0,10,0.458892113
E,0,30,0.401741085
E,2,40,0.39957928
E,0,40,0.378620891
E,0,10,0.347090649
P,0,0,0.282595599
E,0,0,0.371522329
P,0,30,0.351600925
E,0,10,0.384346138
E,2,20,0.355589704
E,0,10,0.387396888
E,0,40,0.390714551
E,2,30,0.372344274
P,0,20,0.345268826
E,0,10,0.371372327
E,2,30,0.43463105
P,0,40,0.451125163
E,2,0,0.355550077
P,2,0,0.380452748
P,0,0,0.328638351
P,0,0,0.401453641
E,2,10,0.459076271
E,0,20,0.428414367
P,0,30,0.357091862
P,0,10,0.368001905
E,0,0,0.362719106
P,0,20,0.405223532
P,2,0,0.419454392
E,0,20,0.44550965
P,0,20,0.380481515
E,2,30,0.456744961
E,2,0,0.419731511
E,2,20,0.365603078
E,2,40,0.327041335
E,0,30,0.356038061
E,2,20,0.299612899
P,2,40,0.575401896
E,2,10,0.391246877
E,0,20,0.500181322
P,2,20,0.498410128
P,0,0,0.435111639
P,2,40,0.431497914
E,0,10,0.434548298
E,2,0,0.40597229
E,2,30,0.404375956
E,2,40,0.458087537
P,2,30,0.416822695
P,0,10,0.347563251
E,2,20,0.412356319
E,2,30,0.332170456
P,2,10,0.366257165
E,0,30,0.362505884
P,0,0,0.298379214
P,2,20,0.405690773
E,0,10,0.338323393
P,2,20,0.420458427
E,0,20,0.365317996
P,2,0,0.349942391
E,0,10,0.333790416
E,0,40,0.375566849
P,0,0,0.322512886
E,0,40,0.372553736
P,2,30,0.413214343
