Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,2,30,0.487317972
90,2,15,0.460326667
90,2,35,0.507733557
90,2,30,0.504185875
0,2,30,0.672107371
45,2,5,0.471582733
90,0,20,0.497887346
0,2,0,0.392645696
90,2,40,0.537362076
45,0,40,0.747707117
45,0,20,0.594379858
0,2,10,0.555659272
90,2,20,0.403728642
0,2,0,0.328948069
90,2,20,0.480623346
90,2,30,0.56183505
45,2,10,0.459191943
45,0,15,0.574575793
90,2,20,0.409033133
45,0,25,0.415803882
90,2,40,0.442366357
90,0,0,0.395044228
0,0,10,0.443416467
0,0,5,0.419559708
0,2,10,0.542852853
90,0,10,0.422737713
45,2,40,0.536625255
45,2,25,0.631844787
90,2,40,0.470853679
0,2,5,0.452998372
45,2,35,0.435786511
90,2,5,0.379574519
0,2,10,0.657210671
45,2,25,0.528822983
45,0,35,0.530108106
45,0,5,0.400442492
45,0,25,0.465567421
90,0,30,0.553129226
0,0,40,0.635799417
90,2,35,0.462916054
45,0,10,0.480084006
0,2,35,0.526251353
90,2,0,0.320080545
90,0,5,0.407722757
45,0,30,0.459822794
45,0,15,0.418193397
90,0,35,0.418203023
45,2,20,0.425981095
90,0,35,0.482094503
90,2,10,0.414381479
45,0,20,0.349814494
90,0,0,0.299870118
90,2,15,0.422973092
0,2,20,0.573199917
0,2,5,0.439871467
0,0,5,0.481125797
0,0,35,0.400899189
90,0,0,0.419891175
45,0,15,0.544708091
90,0,5,0.449741271
0,0,25,0.526001662
90,0,10,0.438956592
90,0,5,0.473712926
45,2,25,0.463673654
45,0,10,0.523738955
45,2,20,0.554164626
90,2,15,0.486558336
0,2,0,0.408269773
90,0,0,0.490577099
90,2,0,0.384720798
45,2,35,0.364236451
90,2,15,0.403469339
45,0,20,0.462532217
90,0,40,0.5088801
90,2,0,0.429583713
0,0,15,0.44496563
0,2,40,0.492384589
90,2,15,0.498163349
45,2,10,0.589407871
0,2,30,0.438451738
45,2,15,0.490487666
45,2,0,0.55209974
45,0,0,0.534237833
45,2,25,0.581766613
90,2,15,0.494770166
0,2,35,0.426577904
45,2,5,0.418396909
90,2,25,0.472751787
45,2,30,0.501529287
0,2,20,0.512752008
45,0,20,0.415436541
90,0,10,0.413378891
0,2,0,0.422698063
45,0,15,0.431544073
90,0,20,0.466368995
0,0,15,0.552556302
90,0,0,0.473377459
45,0,5,0.45462002
0,2,25,0.603526332
45,0,25,0.524092345
90,2,25,0.521493305
90,0,35,0.491687932
90,0,30,0.513943826
45,0,35,0.462309411
0,0,20,0.522512928
45,0,30,0.463766183
90,2,0,0.408607463
90,2,5,0.48696567
0,0,20,0.606664653
45,0,40,0.432478443
45,2,20,0.634833549
90,0,10,0.402187615
45,0,25,0.56816956
45,2,30,0.608814316
0,2,30,0.450470692
0,0,30,0.41008671
0,0,0,0.458147333
45,0,40,0.451278398
45,2,25,0.614558138
90,0,0,0.476191948
0,0,0,0.623008748
90,2,10,0.45945026
45,0,15,0.537856491
90,0,30,0.531342516
45,0,40,0.498938772
45,2,20,0.448993755
45,2,15,0.501480212
90,2,35,0.631701931
45,2,40,0.400569959
90,0,30,0.27915406
0,2,5,0.426389486
45,0,30,0.45531067
0,0,40,0.573872817
45,0,0,0.44254774
0,2,5,0.475081912
45,0,20,0.489069028
90,0,10,0.476886376
45,2,25,0.458519979
90,2,5,0.427518309
45,0,10,0.427495859
45,0,25,0.425939622
45,2,35,0.538380684
0,2,30,0.697907847
90,2,40,0.741211316
45,2,5,0.533082444
45,2,25,0.602569572
0,0,35,0.532700529
45,0,15,0.479017359
0,2,20,0.486368593
0,0,15,0.395327287
45,2,40,0.548151538
0,0,40,0.472709615
0,0,5,0.445853506
90,0,5,0.380564112
90,2,40,0.455666258
90,0,30,0.501050567
90,0,40,0.437384267
90,0,40,0.590256169
0,0,35,0.653668253
45,2,10,0.561583382
45,0,20,0.628275627
0,0,10,0.528665392
90,2,0,0.38401649
90,0,25,0.510360441
90,0,5,0.387538609
45,2,35,0.541783153
0,2,30,0.434222655
45,0,35,0.399648428
0,0,30,0.503312493
45,2,15,0.479884655
0,0,15,0.48728787
0,2,40,0.416699501
45,2,10,0.466598501
90,0,25,0.519881837
90,0,25,0.464229459
0,2,35,0.502278077
90,2,10,0.3789795
0,0,25,0.545112399
45,2,15,0.568599105
90,0,35,0.459741301
