Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,2,5,0.4015736
0,2,15,0.2138914
0,2,25,0.3126786
0,2,30,0.2529385
0,2,0,0.0015181
0,2,35,0.3238762
0,2,5,0.279333
0,2,30,0.2248367
0,2,5,0.2469494
0,2,40,0.3503703
0,2,35,0.2346202
0,2,30,0.2785941
0,2,0,0.2078888
0,2,10,0.211481
0,2,25,0.1129027
0,2,10,0.2870059
0,2,15,0.2665395
0,2,40,0.0686505
0,2,20,0.3137118
0,2,40,0.2652375
0,2,10,0.2481259
0,2,30,0.0223336
0,2,25,0.379389
0,2,0,0.345255
0,2,5,0.2493729
0,2,20,0.305335
0,2,25,0.2866885
0,2,30,0.252279
0,2,10,0.0570929
0,2,0,0.346905
0,2,15,0.2895073
0,2,40,0.3014954
0,2,20,0.3747517
0,2,40,0.2659612
0,2,30,0.2186848
0,2,10,0.2303864
0,2,15,0.2190619
0,2,40,0.1522885
0,2,0,0.2264047
0,2,35,0.2192317
0,2,35,0.220418
0,2,5,0.2528327
0,2,25,0.2170555
0,2,15,0.2280475
0,2,15,0.2671688
0,2,30,0.2022057
0,2,25,0.2312783
0,2,35,0.2351546
0,2,15,0.222173
0,2,15,0.0349559
0,2,20,0.2908659
0,2,0,0.2695401
0,2,35,0.2272176
0,2,30,0.2370928
0,2,15,0.2005079
0,2,25,0.3177691
0,2,5,0.3742572
0,2,0,0.3882906
0,2,20,0.2989422
0,2,5,0.147227
0,2,10,0.2474303
0,2,40,0.2251124
0,2,25,0.285369
0,2,20,0.2421863
0,2,0,0.2367329
0,2,5,0.228416
0,2,35,0.2533457
0,2,35,0.2935116
0,2,0,0.2832928
0,2,20,0.2291535
0,2,40,0.2620581
0,2,25,0.0233698
0,2,10,0.3001132
0,2,25,0.2425816
0,2,40,0.2939136
0,2,10,0.2792965
0,2,20,0.2075574
0,2,0,0.4018032
0,2,30,0.2324912
0,2,15,0.2102196
0,2,35,0.3741058
0,2,20,0.2771401
0,2,10,0.2206148
0,2,10,0.2706957
0,2,40,0.2436185
0,2,5,0.2528006
0,2,20,0.2218425
0,2,30,0.2558462
0,2,35,0.3069393
0,2,5,0.2440636
0.0,0,0,0.2900744000216946
0.0,0,40,0.2366698000114411
0.0,0,20,0.2757233999436721
0.0,0,25,0.31432250002399087
0.0,0,30,0.24445150000974536
0.0,0,25,0.21106329991016537
0.0,0,25,0.13671099999919534
0.0,0,15,0.18201510002836585
0.0,0,40,0.08709489996545017
0.0,0,20,0.2619016000535339
0.0,0,10,0.1921779999975115
0.0,0,15,0.43849209998734295
0.0,0,0,0.3390013000462204
0.0,0,35,0.23182230000384152
0.0,0,35,0.22631259995978326
0.0,0,25,0.2557683000341058
0.0,0,30,0.23061770002823323
0.0,0,15,0.19261599995661527
0.0,0,35,0.25283860007766634
0.0,0,0,0.04736960004083812
0.0,0,15,0.23177219997160137
0.0,0,5,0.2441124999895692
0.0,0,25,0.2783932000165805
0.0,0,35,0.19753000000491738
0.0,0,30,0.2198869000421837
0.0,0,40,0.08093870000448078
0.0,0,35,0.22233810008037835
0.0,0,40,0.27214430004823953
0.0,0,35,0.24227909999899566
0.0,0,0,0.22171019995585084
0.0,0,25,0.1454670000821352
0.0,0,35,0.23086080001667142
0.0,0,20,0.25057029991876334
0.0,0,0,0.07672799995634705
0.0,0,10,0.24029450002126396
0.0,0,10,0.25891269999556243
0.0,0,15,0.21747229993343353
0.0,0,25,0.10831920010969043
0.0,0,25,0.23752249998506159
0.0,0,10,0.19874220003839582
0.0,0,30,0.25376580003648996
0.0,0,20,0.2563038000371307
0.0,0,15,0.1754672999959439
0.0,0,15,0.04178159998264164
0.0,0,5,0.24902210000436753
0.0,0,5,0.29076360003091395
0.0,0,20,0.199937800061889
0.0,0,0,0.3028165999567136
0.0,0,10,0.18226930010132492
0.0,0,10,0.24437430000398308
0.0,0,20,0.10120440006721765
0.0,0,5,0.31385330006014556
0.0,0,40,0.19535529997665435
0.0,0,0,0.27515280002262443
0.0,0,40,0.21719220001250505
0.0,0,40,0.2852985999779776
0.0,0,5,0.23660489998292178
0.0,0,30,0.23398609994910657
0.0,0,35,0.4038336999947205
0.0,0,30,0.22499330004211515
0.0,0,40,0.06506409996654838
0.0,0,35,0.23333260009530932
0.0,0,30,0.23602259997278452
0.0,0,0,0.2040920000290498
0.0,0,5,0.2146940000820905
0.0,0,40,0.23676740005612373
0.0,0,5,0.32518389995675534
0.0,0,15,0.1838075000559911
0.0,0,25,0.23950329993385822
0.0,0,20,0.31333459995221347
0.0,0,15,0.2549886000342667
0.0,0,30,0.2378616000059992
0.0,0,20,0.27374089998193085
0.0,0,10,0.09027019992936403
0.0,0,30,0.2861046999460086
0.0,0,30,0.28739860001951456
0.0,0,5,0.2434949999442324
0.0,0,35,0.14372970000840724
0.0,0,0,0.34561389998998493
0.0,0,10,0.2696288999868557
0.0,0,5,0.14031300006899983
0.0,0,40,0.34869440004695207
0.0,0,10,0.2300628999946639
0.0,0,10,0.224086600006558
0.0,0,20,0.22719709994271398
0.0,0,5,0.2557874999474734
0.0,0,25,0.22795059997588396
0.0,0,0,0.15056650002952665
0.0,0,20,0.40476090006995946
0.0,0,15,0.21181610005442053
