Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,30,0.5201703000348061
0.0,2,30,0.47681260004173964
0.0,2,25,0.5710842000553384
90.0,2,10,0.4462700999574736
0.0,2,0,0.4521940000122413
0.0,2,30,0.6957080999854952
90.0,2,10,0.4544231001054868
90.0,2,30,0.5262081999098882
0.0,2,15,0.45000259997323155
90.0,2,5,0.5876339999958873
90.0,2,20,0.429750100011006
90.0,2,35,0.5107524000341073
90.0,2,30,0.49195629998575896
90.0,2,20,0.3780355000635609
90.0,2,5,0.37052640004549176
90.0,2,20,0.3964053000090644
90.0,2,0,0.4071179999737069
0.0,2,10,0.4209240999771282
90.0,2,25,0.4595235000597313
0.0,2,25,0.4705898000393063
0.0,2,15,0.4305410999804735
0.0,2,35,0.46525949996430427
0.0,2,30,0.4682677999371663
0.0,2,20,0.4062071000225842
0.0,2,35,0.38250260008499026
0.0,2,30,0.3823170999530703
90.0,2,5,0.42637589992955327
90.0,2,30,0.45342799997888505
0.0,2,15,0.45950799994170666
0.0,2,20,0.5157294999808073
0.0,2,20,0.4630018000025302
90.0,2,0,0.38452130008954555
90.0,2,25,0.4754338999046013
0.0,2,0,0.42314720002468675
90.0,2,5,0.47435440006665885
90.0,2,40,0.5406811001012102
0.0,2,15,0.5090801999904215
90.0,2,5,0.450441199936904
90.0,2,5,0.3845895000267774
0.0,2,10,0.4379709999775514
90.0,2,0,0.4155632999027148
0.0,2,0,0.46089250000659376
0.0,2,15,0.5369722000323236
90.0,2,10,0.37503589992411435
0.0,2,25,0.559486799989827
0.0,2,40,0.5429274000925943
90.0,2,15,0.530462000053376
0.0,2,25,0.5391496000811458
0.0,2,5,0.4609314000699669
90.0,2,20,0.638965200050734
90.0,2,40,0.5531444000080228
0.0,2,40,0.5015508999349549
90.0,2,35,0.5609738000202924
0.0,2,25,0.5503606999991462
0.0,2,35,0.8247797000221908
90.0,2,40,0.6401846000226215
0.0,2,35,0.6182293000165373
90.0,2,15,0.44335610000416636
90.0,2,20,0.46987340005580336
0.0,2,10,0.5099675001110882
90.0,2,15,0.4176775000523776
0.0,2,0,0.4587114000460133
90.0,2,5,0.45629560004454106
0.0,2,25,0.5659199999645352
90.0,2,30,0.42422799998894334
0.0,2,5,0.3146283000241965
0.0,2,15,0.49722290004137903
90.0,2,20,0.3668377000140026
0.0,2,10,0.3803467000834644
90.0,2,20,0.532234099926427
0.0,2,5,0.39059139997698367
90.0,2,40,0.5912236999720335
0.0,2,40,0.6627284999703988
90.0,2,10,0.3963946000440046
0.0,2,30,0.4630013999994844
0.0,2,35,0.6088536999886855
0.0,2,10,0.5222946000285447
90.0,2,15,0.4828331000171602
0.0,2,35,0.6333779999986291
0.0,2,25,0.4872303999727592
0.0,2,0,0.48146599996834993
0.0,2,35,0.5435194000601768
90.0,2,40,0.6261439999798313
90.0,2,25,0.5936403999803588
0.0,2,10,0.5227852999232709
0.0,2,0,0.5820792999584228
0.0,2,35,0.5357085999567062
0.0,2,40,0.6174427000805736
0.0,2,0,0.5698848000029102
90.0,2,40,0.5469988000113517
0.0,0,35,0.6619436999317259
90.0,0,35,0.5775712999748066
90.0,0,30,0.618877699947916
0.0,0,0,0.43425079993903637
90.0,0,30,0.4468855999875814
90.0,0,5,0.39869739999994636
90.0,0,10,0.45565260003786534
0.0,0,20,0.5761491999728605
90.0,0,20,0.32086819992400706
90.0,0,25,0.4668162999441847
90.0,0,25,0.4309589999029413
90.0,0,35,0.5042403000406921
0.0,0,25,0.6706246000248939
0.0,0,40,0.5861497999867424
90.0,0,5,0.5620564999990165
0.0,0,15,0.5369034999748692
0.0,0,0,0.4684024000307545
0.0,0,15,0.5685783000662923
0.0,0,40,0.5063939999090508
0.0,0,40,0.5954777000006288
90.0,0,0,0.5062012999551371
0.0,0,25,0.5111951000289991
0.0,0,40,0.4157556000864133
0.0,0,30,0.47271749994251877
90.0,0,20,0.45583840005565435
90.0,0,0,0.44158210000023246
0.0,0,5,0.4514584999997169
0.0,0,0,0.3902964999433607
0.0,0,25,0.4296635000500828
0.0,0,20,0.4551474000327289
90.0,0,30,0.43194639997091144
0.0,0,35,0.32766870001796633
0.0,0,5,0.5080613000318408
90.0,0,15,0.41440060001332313
90.0,0,40,0.5984893999993801
0.0,0,15,0.562550500035286
90.0,0,0,0.46140229993034154
0.0,0,30,0.41347899998072535
90.0,0,35,0.4012278999434784
0.0,0,20,0.46103419992141426
90.0,0,40,0.44700849999208003
0.0,0,10,0.38489640003535897
0.0,0,25,0.46478500007651746
0.0,0,10,0.4193147000623867
0.0,0,30,0.4821284000063315
0.0,0,30,0.48654040007386357
0.0,0,15,0.5024021998979151
90.0,0,25,0.4005425999639556
0.0,0,5,0.3826829999452457
0.0,0,10,0.4001241000369191
0.0,0,40,0.5146448999876156
0.0,0,20,0.45126559992786497
90.0,0,10,0.4634434999898076
0.0,0,0,0.4212291999720037
90.0,0,10,0.3159857999999076
0.0,0,10,0.5406222000019625
90.0,0,35,0.5611310000531375
90.0,0,30,0.5462951000081375
0.0,0,5,0.42252110003028065
0.0,0,30,0.5002276999875903
0.0,0,35,0.5172358000418171
