Face,Direction,Eccentricity,Reaction Time (s)
7,2,20,0.35643520002486184
7,2,0,0.3189444000017829
7,2,0,0.3333897000120487
7,2,10,0.26347160001751035
7,2,0,0.3247564999910537
7,2,40,0.31893439998384565
7,2,25,0.2653119000024162
7,2,10,0.3451778000162449
7,2,15,0.20992210000986233
7,2,30,0.299707700003637
7,2,20,0.24099079999723472
7,2,25,0.30163940001511946
7,2,5,0.25115009999717586
7,2,20,0.16579830000409856
7,2,20,0.29332669998984784
7,2,20,0.25038020001375116
7,2,25,0.22456470000906847
7,2,35,0.18632840001373552
7,2,20,0.30807940001250245
7,2,5,0.29950059999828227
7,2,40,0.18445369999972172
7,2,35,0.26941169999190606
7,2,5,0.2158280999865383
7,2,5,0.1853856999950949
7,2,25,0.23833920000470243
7,2,40,0.14220489998115227
7,2,15,0.23049650000757538
7,2,15,0.31705179999698885
7,2,10,0.22565079998457804
7,2,35,0.23160090000601485
7,2,15,0.19997369998600334
7,2,35,0.04320980000193231
7,2,25,0.2813016999862157
7,2,10,0.15442159998929128
7,2,30,0.21615920000476763
7,2,10,0.23353160000988282
7,2,0,0.2588345999829471
7,2,40,0.2531230000022333
7,2,25,0.3361086999939289
7,2,35,0.2561486999911722
7,2,0,0.3042624999943655
7,2,40,0.21755439997650683
7,2,5,0.32037250002031215
7,2,25,0.3160896000044886
7,2,5,0.2757256999902893
7,2,15,0.24526180000975728
7,2,0,0.2233639000041876
7,2,0,0.26825079999980517
7,2,30,0.2649817999918014
7,2,10,0.25974169999244623
7,2,30,0.2783097999927122
7,2,25,0.2683487000176683
7,2,15,0.32960409999941476
7,2,35,0.28598519999650307
7,2,5,0.2795957000053022
7,2,30,0.26312610000604764
7,2,35,0.3407069999957457
7,2,15,0.24780740001006052
7,2,10,0.2738412999897264
7,2,40,0.25553059999947436
7,2,30,0.3140367000014521
7,2,30,0.3587824999995064
7,2,10,0.2658481000107713
7,2,5,0.251673299993854
7,2,35,0.22446729999501258
7,2,15,0.28780699998605996
7,2,35,0.3070002000022214
7,2,30,0.2813058000174351
7,2,20,0.2950657999899704
7,2,40,0.25882660000934266
7,2,0,0.24184190001687966
7,2,40,0.31124469998758286
7,2,30,0.23737670000991784
7,2,0,0.22055870000622235
7,2,25,0.28930260002380237
7,2,30,0.20471290001296438
7,2,20,0.2838038000045344
7,2,40,0.2887031999998726
7,2,35,0.27534280001418665
7,2,15,0.24161019999883138
7,2,20,0.24227799999061972
7,2,5,0.3198346999997739
7,2,5,0.24279699998442084
7,2,40,0.2763744000112638
7,2,20,0.25473950000014156
7,2,10,0.2741690999828279
7,2,25,0.2531823000172153
7,2,0,0.2753359000198543
7,2,10,0.28194120002444834
7,2,15,0.2523944999848027
7,0,30,0.32001409999793395
7,0,20,0.30788269999902695
7,0,15,0.22487399997771718
7,0,10,0.018468800000846386
7,0,25,0.31140289999893866
7,0,35,0.3149283000093419
7,0,25,0.2642829999967944
7,0,15,0.2399145999806933
7,0,5,0.3328198000090197
7,0,15,0.25205820001428947
7,0,10,0.22328040000866167
7,0,30,0.22019359999103472
7,0,35,0.22126160000334494
7,0,40,0.321051200007787
7,0,0,0.3525519999966491
7,0,35,0.29914849999477156
7,0,5,0.25865950001752935
7,0,40,0.2080359999963548
7,0,0,0.3323939999972936
7,0,20,0.32861950001097284
7,0,5,0.2719076999928802
7,0,40,0.29007479999563657
7,0,15,0.2642980999953579
7,0,0,0.2926365000021178
7,0,0,0.2883152000140399
7,0,10,0.23860689997673035
7,0,25,0.23831889999564737
7,0,0,0.2675442000036128
7,0,0,0.35085350001463667
7,0,40,0.369091100001242
7,0,40,0.33755250001559034
7,0,10,0.32618480001110584
7,0,15,0.23903300001984462
7,0,35,0.23165939998580143
7,0,10,0.24296779997530393
7,0,15,0.24939589999848977
7,0,20,0.27000119999866
7,0,25,0.3348312000161968
7,0,40,0.2512289000151213
7,0,30,0.2846057999995537
7,0,15,0.2911290000192821
7,0,30,0.27179560001241043
7,0,25,0.2777080000087153
7,0,25,0.34638620002078824
7,0,25,0.28649159998167306
7,0,25,0.2819778000121005
7,0,0,0.3246141000126954
7,0,5,0.27933820002363063
7,0,30,0.2691919000062626
7,0,30,0.3633966999768745
7,0,20,0.24836269998922944
7,0,40,0.32331850001355633
7,0,35,0.31497289999970235
7,0,40,0.23576179999508895
7,0,20,0.28982589999213815
7,0,15,0.1629102000151761
7,0,30,0.21308509999653324
7,0,15,0.23517609998816624
7,0,20,0.2643652000115253
7,0,35,0.29338760001701303
7,0,25,0.2728917999775149
7,0,10,0.2629577000043355
7,0,5,0.2412927999976091
7,0,35,0.2750446000136435
7,0,40,0.25468179999734275
7,0,5,0.2694996999925934
7,0,0,0.34497210002155043
7,0,35,0.25095829999190755
7,0,40,0.30501619999995455
7,0,10,0.3356093000038527
7,0,20,0.24879569999757223
7,0,0,0.3228685999929439
7,0,10,0.2898171000124421
7,0,0,0.29788210001424886
7,0,30,0.303836200007936
7,0,20,0.2294110999791883
7,0,35,0.30551289999857545
7,0,20,0.281108299997868
7,0,25,0.26984289998654276
7,0,20,0.25085489999037236
7,0,5,0.24508170000626706
7,0,30,0.2849835999950301
7,0,10,0.24186809998354875
7,0,35,0.23240450001321733
7,0,5,0.30530380000709556
7,0,30,0.21785119999549352
7,0,5,0.21190049999859184
7,0,15,0.21949980000499636
7,0,5,0.2530644000216853
7,0,10,0.24862769999890588
