Face,Direction,Eccentricity,Reaction Time (s)
19,0,20,0.7121804000053089
19,0,40,0.8090318000176921
23,0,35,1.0124246000195853
21,0,0,0.5332624000147916
19,0,10,0.5767954000039026
21,0,0,0.6886703000054695
23,0,10,0.5550049000012223
19,0,35,0.728019400004996
19,0,10,0.729899199999636
19,0,30,0.6473561999737285
21,0,25,0.7933934000029694
19,0,10,0.6553437999973539
19,0,0,0.7270805999869481
21,0,15,0.7853309999918565
23,0,20,0.8033292000181973
19,0,25,0.7892448999918997
23,0,0,0.6762677999795415
23,0,40,0.9439791000040714
19,0,15,0.9282679000170901
23,0,15,0.7885077999962959
23,0,35,0.6986856000148691
19,0,25,0.821357300010277
23,0,20,0.680218599998625
23,0,35,0.6105807000130881
21,0,20,0.7465388999844436
19,0,15,0.6274925999750849
21,0,30,0.85214870001073
19,0,20,0.7956781999964733
21,0,5,0.6836453000141773
21,0,35,0.8270806000218727
23,0,30,0.7726121000014246
21,0,40,0.9183643999858759
21,0,30,0.6875273000041489
21,0,30,0.6686399999889545
23,0,10,0.6578912000113633
23,0,5,0.5543755999824498
19,0,40,0.9671995999815408
19,0,5,0.6680208000179846
21,0,10,0.6958083999925293
21,0,35,0.8064009000081569
21,0,0,0.5825374000123702
23,0,25,0.7250535000057425
23,0,5,0.5198573999805376
21,0,10,0.6288855999882799
21,0,5,0.524427199998172
21,0,30,0.7275050999887753
21,0,40,0.7932975000003353
21,0,15,0.6477137000183575
23,0,5,0.6805784000025596
21,0,10,0.5677485000051092
23,0,10,0.7327172999794129
19,0,5,0.6959839999908581
23,0,25,0.73580480000237
19,0,0,0.6688293000042904
23,0,25,0.6927768000168726
19,0,20,0.7169279999798164
19,0,15,0.5713492000068072
23,0,15,0.8238262999802828
23,0,40,0.7893660000117961
21,0,30,0.7162757000187412
19,0,15,0.6759231000032742
19,0,15,0.6468373000097927
19,0,40,0.7052930000063498
19,0,40,0.588110200013034
21,0,30,0.7797279999940656
19,0,35,0.8479612000228371
21,0,25,0.7962185000069439
21,0,20,0.7052948999917135
23,0,0,0.6074695999850519
19,0,40,0.9934450000000652
21,0,5,0.848389099992346
21,0,20,0.6945565000060014
21,0,0,0.6276176999963354
19,0,35,1.0058451000077184
19,0,5,0.6943598000216298
19,0,25,0.7858958999859169
21,0,5,0.6510351999895647
19,0,0,0.5701163000194356
23,0,20,0.7215787000022829
19,0,10,1.0037741999840364
21,0,30,0.8123396000009961
23,0,40,0.8898183999990579
19,0,15,1.0252175999921747
19,0,35,1.0001467999827582
23,0,25,0.8061449000088032
19,0,35,1.0384057000046596
19,0,0,0.615007099986542
23,0,30,0.8244934999966063
19,0,25,0.8411846999952104
21,0,20,0.7418818000005558
23,2,20,0.581770700024208
21,2,20,0.5296356999897398
19,2,0,0.6496645000006538
23,2,40,0.6764204999781214
19,2,0,0.5812962999916635
19,2,10,0.5594321999815293
23,2,10,0.7132689999998547
23,2,15,0.5296739999903366
23,2,30,0.8473913000198081
23,2,40,0.7054252999951132
19,2,30,0.9033929999859538
21,2,10,0.7514989000046626
23,2,0,0.5946428999886848
21,2,20,0.7442790000059176
23,2,30,0.7636861000210047
23,2,35,0.7490010999899823
19,2,0,0.6776935000088997
21,2,25,0.7218573999998625
21,2,30,0.7788459000003058
23,2,20,0.6634880999918096
21,2,0,0.7510467999964021
23,2,5,0.6715695000020787
21,2,0,0.7441069000051357
21,2,35,0.8323095999949146
23,2,40,0.815862699993886
19,2,30,0.7433216999925207
23,2,10,0.7904092999815475
19,2,0,0.757062600023346
19,2,5,0.634068399987882
23,2,25,0.8293997999862768
21,2,5,0.7163460000010673
23,2,10,0.7695359000063036
19,2,10,0.7020633000065573
23,2,10,0.7589093999995384
21,2,25,0.7245915000094101
21,2,0,0.7342172000207938
19,2,20,0.8529603999922983
19,2,25,0.6467596999718808
19,2,15,0.5851397999795154
21,2,35,0.8376030000217725
21,2,15,0.5845183999917936
23,2,5,0.5933605000027455
23,2,30,0.6786859999992885
23,2,35,0.7678600999934133
21,2,15,0.6702108999888878
23,2,20,0.7610929000074975
19,2,35,0.9147127000032924
23,2,15,0.8290264999959618
19,2,40,0.894844499998726
19,2,15,0.6094882000179496
21,2,40,0.8799436999834143
23,2,10,0.766974800004391
19,2,30,0.8509901000070386
19,2,5,0.8134714000043459
23,2,35,0.7801497000036761
21,2,5,0.688385899993591
21,2,20,0.7297201999754179
23,2,0,0.622301299998071
19,2,35,0.8342324000259396
23,2,5,0.5800314999942202
19,2,40,0.7048287999932654
19,2,15,0.8698975000006612
23,2,25,0.7980362999951467
21,2,20,0.6996207000047434
21,2,30,0.7583074999856763
21,2,20,0.594409600016661
21,2,15,0.533069599972805
23,2,25,0.7434259000001475
23,2,15,0.604923900013091
19,2,35,0.7283372999809217
19,2,30,0.6450012999994215
19,2,25,0.5281852000043727
21,2,0,0.7245372000033967
23,2,40,0.9219521000050008
19,2,5,0.860400200006552
19,2,25,0.740200600004755
21,2,5,0.6889421000087168
19,2,40,1.0905727000208572
23,2,25,0.7614941000065301
19,2,5,0.8998406000027899
21,2,35,0.7312891000183299
21,2,25,0.715169999981299
19,2,30,0.9381874999962747
19,2,15,0.7998024999978952
21,2,20,0.654768000007607
21,2,35,0.7065481999889016
21,2,10,0.6191772000165656
23,2,10,0.7625156999856699
21,2,40,0.6666119000001345
19,2,40,0.6295423999836203
