Face,Direction,Eccentricity,Reaction Time (s)
1,0,0,0.38095649995375425
1,0,5,0.3677832999965176
3,0,10,0.4440720000420697
3,0,5,0.4170892999973148
1,0,30,0.5700725000351667
3,0,10,0.5548022000002675
3,0,25,0.44637350004632026
1,0,0,0.4286837999825366
1,0,5,0.572769199963659
3,0,10,0.460418300004676
1,0,15,0.4648111999849789
1,0,20,0.613768000039272
1,0,20,0.580283600022085
3,0,20,0.48634050000691786
1,0,20,0.5380329999607056
3,0,5,0.45380809996277094
3,0,30,0.6439692999701947
1,0,20,0.6017023999593221
3,0,10,0.5666588000021875
1,0,30,0.6679849000065587
3,0,20,0.5480913000064902
1,0,20,0.5077080000191927
1,0,0,0.45826630003284663
1,0,30,0.5539514999836683
1,0,15,0.4678862000000663
3,0,0,0.4810095999855548
3,0,35,0.6685250999871641
1,0,25,0.7345909000141546
1,0,25,0.6883995999814942
1,0,5,0.46736130001954734
1,0,5,0.436464500031434
1,0,25,0.5876783999847248
1,0,30,0.5500051000271924
3,0,10,0.41618279996328056
3,0,0,0.46941329998662695
1,0,10,0.5244928000029176
3,0,15,0.5590978999971412
1,0,5,0.6198345999582671
3,0,0,0.4318564999848604
3,0,40,0.6497013000189327
3,0,40,0.542768600047566
1,0,15,0.6677518999786116
1,0,20,0.611428199976217
3,0,30,0.7149406999815255
3,0,25,0.41772229998605326
3,0,15,0.44054409995442256
3,0,20,0.5954256000113674
3,0,0,0.49404790002154186
3,0,25,0.5105751000228338
1,0,5,0.5455188000341877
1,0,15,0.7017467999830842
3,0,0,0.4677298999740742
1,0,10,0.6272588999709114
3,0,5,0.5006906000198796
1,0,0,0.5819197000237182
3,0,10,0.49680890003219247
1,0,10,0.6248761000460945
3,0,35,0.48932449996937066
1,0,15,0.5327922999858856
3,0,25,0.45588989998213947
3,0,35,0.5197772000101395
3,0,40,0.561288999975659
3,0,0,0.49815549998311326
1,0,35,0.7032602000399493
3,0,35,0.7754298000363633
1,0,35,0.5298831000109203
1,0,25,0.6559190999832936
3,0,30,0.6315054000006057
3,0,15,0.5629942999803461
1,0,30,0.5464850999996997
3,0,15,0.5992439000401646
3,0,25,0.4995393000426702
3,0,15,0.45644389995140955
1,0,40,0.603733399999328
1,0,10,0.5390536999912001
1,0,5,0.44497689994750544
3,0,30,0.6384285999811254
1,0,35,0.680693699978292
1,0,30,0.6665895999758504
1,0,35,0.624640800000634
1,0,40,0.5596996999811381
1,0,20,0.559057800041046
3,0,35,0.4848208999610506
1,0,40,0.6818475000327453
3,0,25,0.45861520001199096
1,0,40,0.4339433999848552
3,0,35,0.5143318999907933
1,0,40,0.7300672000274062
1,0,40,0.5469640999799594
1,0,40,0.7167522999807261
1,2,25,0.5386772999772802
1,2,15,0.4465788999805227
1,2,15,0.39401779999025166
1,2,15,0.43084990000352263
3,2,35,0.6287876000278629
1,2,20,0.46785100002307445
1,2,0,0.4885184000013396
1,2,15,0.3646338999969885
3,2,30,0.5257638999610208
1,2,5,0.5698986999923363
3,2,10,0.7905163000104949
1,2,20,0.6432189000188373
3,2,15,0.5120088999974541
1,2,10,0.5118549999897368
1,2,5,0.5959318000241183
3,2,30,0.5330789999570698
3,2,5,0.7253721000161022
3,2,0,0.45208120002644137
1,2,20,0.6613031000015326
1,2,20,0.6566032999544404
3,2,0,0.4932342999964021
3,2,40,0.5896480000228621
3,2,20,0.653873500006739
3,2,35,0.5536397999967448
3,2,10,0.5744488000054844
3,2,15,0.9668871000176296
3,2,35,0.5540802999748848
1,2,5,0.6062103000003844
1,2,5,0.45240920002106577
1,2,5,0.45729669998399913
1,2,0,0.47044839995214716
3,2,35,0.7956211999990046
3,2,15,0.50439010001719
3,2,30,0.47060569998575374
3,2,0,0.4776869000052102
1,2,40,0.7114448000211269
3,2,25,0.7379557000240311
3,2,25,0.8343320999993011
3,2,20,0.6769571999902837
3,2,15,0.5202213999582455
3,2,15,0.5894058999838307
3,2,25,0.9070598999969661
3,2,10,0.477660599979572
1,2,25,0.7178829999756999
1,2,35,0.6090067000477575
1,2,20,0.6394481000024825
3,2,40,0.4687192999990657
1,2,20,0.620428099995479
3,2,30,0.5738948000362143
1,2,0,0.7078907999675721
3,2,25,0.5020302000339143
1,2,40,0.79923519998556
3,2,40,0.7668826000299305
1,2,40,0.83659219997935
3,2,0,0.7188937999890186
3,2,10,0.4976969999843277
3,2,10,0.5535796000040136
3,2,25,0.6330455000279471
3,2,0,0.5323818000033498
3,2,35,0.5009133000276051
1,2,5,0.4857480000355281
3,2,35,0.8210129999788478
3,2,30,0.7252552999998443
1,2,0,0.5404909999924712
1,2,10,0.4495185000123456
3,2,10,0.5803663000115193
3,2,40,0.6160496000084095
3,2,0,0.45096609997563064
3,2,40,0.49772850004956126
3,2,25,0.4114349000155926
3,2,15,0.6186820999719203
1,2,5,0.5538266999647021
3,2,35,0.5776307000196539
3,2,20,0.7946612000232562
1,2,25,0.9778033000184223
3,2,30,1.0213815000024624
1,2,10,0.5364256000029854
3,2,5,0.520179699989967
1,2,35,0.7543529999675229
3,2,20,0.5090714999823831
3,2,10,0.6499416999868117
1,2,30,0.5683151999837719
1,2,40,0.8298385000089183
3,2,30,0.5010582000249997
3,2,25,0.5117271000053734
1,2,40,0.5511061999714002
3,2,30,0.7312578000128269
3,2,30,0.7279273999738507
1,2,5,0.5267015999997966
1,2,35,0.758172600006219
