Letter,Direction,Eccentricity,Reaction Time (s)
E,2,10,0.3343917999882251
E,2,0,0.42199070000788197
E,2,30,0.37432190001709387
E,2,40,0.2990326000144705
E,2,0,0.2431755000143312
E,2,0,0.3061644999543205
E,2,30,0.2743168999440968
E,2,30,0.2957781000295654
E,2,20,0.2755020000040531
E,2,10,0.27380010002525523
E,2,20,0.23824440001044422
E,2,40,0.19240520003950223
E,2,30,0.30091529997298494
E,2,40,0.3469656999805011
E,2,20,0.33958630001870915
E,2,40,0.22889070003293455
E,2,0,0.3812169000157155
E,2,0,0.35253500001272187
E,2,10,0.2235039999941364
E,2,0,0.27764960000058636
E,2,20,0.3058968000113964
E,2,30,0.3095810999511741
E,2,40,0.30118220002623275
E,2,0,0.2586852999520488
E,2,0,0.31165789999067783
E,2,20,0.2980019000242464
E,2,40,0.2918325000209734
E,2,10,0.303627300017979
E,2,30,0.3119717999943532
E,2,40,0.3687661000294611
E,2,30,0.40676430001622066
E,2,40,0.4288317000027746
E,2,20,0.2807872999692336
E,2,30,0.3041815999895334
E,2,20,0.3308371999883093
E,2,10,0.2803880000137724
E,2,40,0.3304591999622062
E,2,0,0.2945490999845788
E,2,40,0.29325370001606643
E,2,30,0.30587799998465925
E,2,20,0.31486290000611916
E,2,10,0.28970100003061816
E,2,30,0.32354069995926693
E,2,20,0.36201490001985803
E,2,10,0.3139909999445081
E,2,10,0.33213270001579076
E,2,10,0.3447015000274405
E,2,0,0.3052306000026874
E,2,10,0.33369040000252426
E,2,20,0.2597568000201136
E,0,30,0.5555712999776006
E,0,10,0.3780828000162728
E,0,20,0.3665065999957733
E,0,40,0.4624868000391871
E,0,40,0.3704095000284724
E,0,0,0.346907899947837
E,0,30,0.3074925999972038
E,0,20,0.358761899988167
E,0,20,0.3581897999974899
E,0,10,0.29977630003122613
E,0,0,0.3400763000245206
E,0,10,0.29768880002666265
E,0,30,0.3472081000218168
E,0,30,0.32883610000135377
E,0,40,0.334537899994757
E,0,10,0.26372549997176975
E,0,10,0.34275710000656545
E,0,30,0.35148049995768815
E,0,20,0.3121612999821082
E,0,40,0.3190951999858953
E,0,0,0.3343766999896616
E,0,20,0.2917664999840781
E,0,30,0.32173789996886626
E,0,40,0.33015829999931157
E,0,20,0.31215359998168424
E,0,0,0.3286847000126727
E,0,10,0.3070871999952942
E,0,10,0.3192982000182383
E,0,0,0.3175253999652341
E,0,40,0.2921650999924168
E,0,20,0.3535562999895774
E,0,30,0.3196401000022888
E,0,20,0.31688249995931983
E,0,40,0.334089599957224
E,0,0,0.3844911999767646
E,0,10,0.39651140000205487
E,0,0,0.36602319998200983
E,0,40,0.36300169996684417
E,0,30,0.2966535000014119
E,0,40,0.3853711999836378
E,0,0,0.30945570004405454
E,0,30,0.30957539996597916
E,0,20,0.2873293000156991
E,0,0,0.3823138000443578
E,0,10,0.2960337999975309
E,0,40,0.32212980004260316
E,0,10,0.28541800001403317
E,0,0,0.27064940001582727
E,0,30,0.23827670002356172
E,0,20,0.3580434000468813
