Letter,Direction,Eccentricity,Reaction Time (s)
P,2,0,0.5109583999728784
E,2,10,0.6156936999759637
E,2,10,0.4362117000273429
E,2,0,0.45638940000208095
E,2,20,0.4757122999872081
P,2,30,0.5105380999739282
P,2,40,0.5603786000283435
B,2,0,0.5554520000005141
B,2,40,0.5343823999864981
P,2,40,0.7570055999676697
B,2,30,0.5612392000039108
E,2,0,0.48231079999823123
B,2,20,0.517703799996525
E,2,20,0.7123150999541394
E,2,0,0.4975773000041954
P,2,40,0.6068383000092581
E,2,20,0.6041688999976031
E,2,40,0.4918768999632448
P,2,20,0.6248496999614872
P,2,40,0.5237974000046961
B,2,10,0.5303378000389785
P,2,30,0.5880403000046499
B,2,10,0.5073739999788813
E,2,30,0.6268637999892235
B,2,30,0.6267327999812551
P,2,20,0.6031677999999374
E,2,30,0.5908289999933913
B,2,20,0.6499539000215009
P,2,10,0.6026985999778844
E,2,0,0.5300233999732882
P,2,0,0.6176415999652818
E,2,40,0.4606670999783091
E,2,20,0.5159053999814205
B,2,0,0.4542446000268683
P,2,30,0.5708043000195175
E,2,10,0.5724328000214882
P,2,10,0.4764316999935545
B,2,10,0.41017839999403805
E,2,30,0.48129289998905733
B,2,30,0.5536966000217944
B,2,10,0.47138890001224354
P,2,20,0.51557040004991
E,2,20,0.6185555999982171
B,2,0,0.46306779998121783
P,2,0,0.4691729000187479
E,2,10,0.5671718000085093
E,2,40,0.4633380000013858
B,2,30,0.6537769999704324
P,2,40,0.6392461000359617
E,2,40,0.6662042000098154
B,0,0,0.583070199994836
P,0,40,0.634194300044328
P,0,20,0.5210303000058047
P,0,0,0.44664550002198666
P,0,20,0.48529430001508445
P,0,10,0.5095535999862477
E,0,0,0.4380255999858491
P,0,10,0.48275239998474717
B,0,30,0.5708894000272267
E,0,0,0.5579466000199318
P,0,0,0.4584131999872625
B,0,10,0.4952476000180468
P,0,30,0.6446269999723881
P,0,40,0.6504478999995627
P,0,10,0.4541606999700889
E,0,10,0.503680300025735
B,0,0,0.4958541999803856
B,0,10,0.506070000003092
B,0,20,0.4959375000325963
P,0,30,0.5567732999916188
E,0,20,0.5535113999503665
B,0,20,0.6888356000417843
B,0,40,0.5504248000215739
P,0,40,0.7048404000233859
P,0,40,0.7116526999743655
B,0,20,0.627592500008177
B,0,40,0.7003878999967128
E,0,10,0.5613937999587506
P,0,30,0.491885400027968
B,0,30,0.6451868999865837
E,0,10,0.46759519999613985
P,0,20,0.5082453999784775
P,0,20,0.595501699950546
B,0,40,0.47522600000957027
B,0,30,0.604070600005798
B,0,40,0.6153831999981776
P,0,0,0.6446082000038587
B,0,20,0.482494099996984
E,0,10,0.5740024999831803
E,0,0,0.5083508999668993
E,0,40,0.7602274999953806
E,0,30,0.6521115999785252
P,0,30,0.6248431999702007
E,0,10,0.5377121000201441
P,0,30,0.622821600001771
E,0,30,0.6738631000043824
B,0,20,0.6088252000045031
B,0,0,0.48612179997144267
P,0,40,0.6288878000341356
P,0,0,0.5013445999938995
