Character,Direction,Eccentricity,Reaction Time (s)
da,2,20,0.449117099866271
da,0,10,0.3075370998121798
da,2,40,0.24122019996866584
da,2,40,0.3890394000336528
da,2,30,0.3312911996617913
da,0,30,0.24071369972079992
da,0,20,0.19609700003638864
da,0,20,0.13764770003035665
da,2,0,0.2937465999275446
da,0,0,0.30999419977888465
da,0,30,0.3438833002001047
da,2,0,0.2578246998600662
da,0,0,0.20425620023161173
da,0,20,0.32991490000858903
da,0,30,0.33147400012239814
da,2,30,0.31659459974616766
da,2,30,0.27224940015003085
da,0,30,0.32767210016027093
da,2,40,0.33758849976584315
da,0,20,0.31470249965786934
da,2,10,0.14848560001701117
da,0,0,0.31602290039882064
da,2,0,0.24324330035597086
da,0,20,0.043776500038802624
da,2,10,0.34080819971859455
da,2,40,0.3246530997566879
da,0,40,0.18571170000359416
da,2,30,0.0565691995434463
da,2,0,0.340230000205338
da,2,40,0.357914499938488
da,0,30,0.2210059999488294
da,2,10,0.3428753996267915
da,2,10,0.0888030999340117
da,0,10,0.17957470007240772
da,2,0,0.17615489987656474
da,2,20,0.1881376001983881
da,2,40,0.3541578999720514
da,2,30,0.061079700011759996
da,0,10,0.29629410011693835
da,2,10,0.01155960001051426
da,2,40,0.05708559975028038
da,0,40,0.06632239976897836
da,0,10,0.3046102998778224
da,2,20,0.32347120018675923
da,2,30,0.22661060001701117
da,0,40,0.14176770020276308
da,0,10,0.3956498000770807
da,0,10,0.19689489994198084
da,2,0,0.16509560029953718
da,2,20,0.13969690026715398
da,2,10,0.2831360995769501
da,2,10,0.22272140020504594
da,0,0,0.21089430013671517
da,2,20,0.14485849998891354
da,2,0,0.2745926002971828
da,0,30,0.12469720002263784
da,0,40,0.29524980019778013
da,2,20,0.03953730035573244
da,0,40,0.3175762998871505
da,2,0,0.26162590039893985
da,0,10,0.05283420020714402
da,2,10,0.2218312001787126
da,2,30,0.06956470012664795
da,0,20,0.045133700128644705
da,2,0,0.13434150023385882
da,0,30,0.1973392004147172
da,2,20,0.044238099828362465
da,2,10,0.48289869958534837
da,0,30,0.10845219995826483
da,0,20,0.3312381999567151
da,2,20,0.35476090013980865
da,2,10,0.325116700027138
da,0,0,0.32839070027694106
da,2,30,0.3508140002377331
da,2,40,0.05466779973357916
da,0,40,0.2571624000556767
da,2,30,0.32071639969944954
da,0,0,0.07054190011695027
da,2,0,0.29009929997846484
da,2,40,0.2186064999550581
da,0,10,0.22766129998490214
da,0,0,0.033198199700564146
da,0,20,0.22071490017697215
da,2,40,0.15161240007728338
da,0,40,0.018413200043141842
da,0,0,0.33383410004898906
da,0,20,0.351853100117296
da,0,30,0.2743200999684632
da,0,30,0.028803400229662657
da,0,40,0.30535059981048107
da,0,10,0.278407100122422
da,0,40,0.34753999998793006
da,0,10,0.33093419997021556
da,2,30,0.35064269974827766
da,0,20,0.2649420998059213
da,2,20,0.3193714004009962
da,0,0,0.3391443002037704
da,2,20,0.29810679983347654
da,0,0,0.3083247998729348
da,0,40,0.05772099969908595
