Character,Direction,Eccentricity,Reaction Time (s)
da,0,30,0.37957309978082776
da,2,20,0.3292076997458935
da,2,0,0.32070580031722784
da,0,20,0.40533499978482723
da,0,40,0.37527590012177825
da,2,10,0.4000242999754846
da,0,0,0.3281471999362111
da,2,10,0.338523400016129
da,2,10,0.3245820999145508
da,0,0,0.3476189998909831
da,2,0,0.34064980037510395
da,0,20,0.34841859992593527
da,2,10,0.3384727998636663
da,0,20,0.30445679975673556
da,0,30,0.3364814999513328
da,0,20,0.3750940999016166
da,2,40,0.35573590034618974
da,0,10,0.3395206001587212
da,0,0,0.07646390004083514
da,0,40,0.36185500025749207
da,0,10,0.32948270021006465
da,2,10,0.31228179996833205
da,0,0,0.14024390000849962
da,2,20,0.16329329973086715
da,0,30,0.2732752999290824
da,0,30,0.2958574998192489
da,0,20,0.37578910030424595
da,2,0,0.3333570999093354
da,0,10,0.30744019988924265
da,0,10,0.2616913001984358
da,0,40,0.32785029988735914
da,0,0,0.35043259989470243
da,2,20,0.3512888001278043
da,0,0,0.3288947995752096
da,0,30,0.4571600998751819
da,0,0,0.35656810039654374
da,2,40,0.37851780001074076
da,0,10,0.3373379996046424
da,0,10,0.32326050009578466
da,0,40,0.3743088999763131
da,2,0,0.3470796998590231
da,2,20,0.303175600245595
da,0,30,0.31906779995188117
da,2,0,0.36663269996643066
da,2,30,0.33867300022393465
da,2,40,0.36157969990745187
da,0,0,0.0938061997294426
da,2,20,0.3035591999068856
da,2,40,0.19863290013745427
da,0,40,0.19247990008443594
da,0,30,0.368911299854517
da,2,0,0.32258200040087104
da,2,10,0.11400859989225864
da,0,10,0.3200628999620676
da,2,20,0.2636497998610139
da,0,10,0.3642845996655524
da,0,0,0.2489303001202643
da,2,30,0.36076899990439415
da,0,40,0.33801360009238124
da,0,40,0.197870799805969
da,2,40,0.025920999702066183
da,0,20,0.3102298998273909
da,2,10,0.1233772998675704
da,2,40,0.3428857000544667
da,2,10,0.10127539979293942
da,0,30,0.19862379971891642
da,2,20,0.48854919988662004
da,2,30,0.3207636000588536
da,0,40,0.26944380020722747
da,2,40,0.10768100013956428
da,0,20,0.0668283998966217
da,2,40,0.2402391000650823
da,0,10,0.3697484000585973
da,2,0,0.33033259958028793
da,2,30,0.37605890026316047
da,2,30,0.26653930032625794
da,2,0,0.17233739979565144
da,0,30,0.39145980030298233
da,2,10,0.20531810028478503
da,2,40,0.3203164003789425
da,2,20,0.19475240027531981
da,2,0,0.2735027000308037
da,0,10,0.4397825999185443
da,0,40,0.3641666998155415
da,2,30,0.19841509964317083
da,2,30,0.321359199937433
da,2,10,0.3620764999650419
da,2,30,0.37014030013233423
da,2,40,0.2598747001029551
da,2,0,0.3225019001401961
da,2,30,0.24821999995037913
da,0,20,0.1482050996273756
da,0,20,0.3215665998868644
da,2,20,0.16418409999459982
da,0,20,0.06086920015513897
da,0,0,0.3160109999589622
da,2,30,0.27648819983005524
da,0,30,0.338612399995327
da,0,40,0.17993139987811446
da,2,20,0.33523610001429915
