Character,Direction,Eccentricity,Reaction Time (s)
zhong,0,20,0.53747390024364
zhong,2,30,0.6823741998523474
zhong,0,40,0.6837303000502288
zhong,2,40,0.6085355998948216
zhong,0,30,0.5396658997051418
zhong,2,0,0.5016944999806583
xiao,0,40,0.6484544002451003
xiao,0,30,0.5763079999014735
xiao,2,30,0.6899674995802343
xiao,2,40,0.5459351995959878
zhong,2,10,0.6505126999691129
zhong,2,30,0.4939986001700163
da,2,20,0.6687642000615597
zhong,2,20,0.6708978000096977
xiao,2,0,0.5671127000823617
da,2,0,0.620830399915576
xiao,2,30,0.6455471999943256
zhong,0,30,0.6734572998248041
xiao,0,30,0.5833582999184728
zhong,2,10,0.6253321999683976
xiao,2,20,0.6763355997391045
da,0,10,0.5754040000028908
xiao,2,20,0.6710696001537144
xiao,0,10,0.5412222999148071
zhong,2,30,0.6204869002103806
zhong,0,30,0.7264403002336621
da,2,10,0.6355685000307858
xiao,0,10,0.5970536000095308
xiao,2,40,0.6344111999496818
da,2,30,0.7587148998863995
zhong,2,20,0.7053559003397822
xiao,0,0,0.5652509997598827
zhong,2,40,0.6139452001079917
zhong,2,30,0.7455763998441398
da,2,0,0.7708783000707626
xiao,0,10,0.6132290000095963
xiao,2,20,0.601874599698931
zhong,0,0,0.5822250000201166
xiao,0,0,0.5331008997745812
xiao,2,20,0.4568492998369038
zhong,0,40,0.5621621999889612
da,2,30,0.723517999984324
zhong,0,0,0.5645236000418663
xiao,2,20,0.5869913003407419
da,0,10,0.5668403999879956
da,2,10,0.694354800041765
da,0,30,0.6641204999759793
xiao,0,20,0.5893728001974523
da,2,10,0.5876632002182305
zhong,2,10,0.5263959001749754
da,2,40,0.6488903001882136
zhong,0,40,0.7221800000406802
da,0,10,0.5973518998362124
zhong,0,20,0.641138999722898
zhong,2,30,0.6408176999539137
da,2,40,0.7019219999201596
zhong,0,20,0.611750400159508
zhong,2,40,0.5900527001358569
zhong,0,40,0.5360459997318685
zhong,2,0,0.5395161001943052
da,0,20,0.6319325002841651
zhong,0,20,0.5465592998079956
xiao,0,0,0.6172627001069486
xiao,2,10,0.4790248000063002
zhong,0,40,0.5949059999547899
zhong,0,40,0.626594299916178
zhong,2,20,0.559657400008291
da,0,40,0.7748362999409437
da,0,40,0.7976267002522945
da,2,20,0.5787235000170767
da,2,0,0.5515452004037797
da,0,0,0.5382195003330708
da,0,10,0.5733302002772689
xiao,0,20,0.6751202000305057
da,0,0,0.6352563998661935
zhong,0,30,0.6614906000904739
da,2,0,0.6390871996991336
xiao,2,0,0.5571133000776172
zhong,0,40,0.6388532998971641
zhong,0,10,0.5939467996358871
zhong,0,0,0.5316244000568986
xiao,0,0,0.7365728998556733
da,0,20,0.7096859999001026
da,0,30,0.7631878000684083
xiao,0,0,0.6116096996702254
da,0,20,0.5792247001081705
zhong,2,30,0.7225533002056181
zhong,0,20,0.6303514996543527
zhong,2,10,0.6848216997459531
zhong,0,30,0.545250500086695
xiao,2,10,0.6484885001555085
da,2,10,0.5656795003451407
xiao,2,0,0.4698228002525866
xiao,2,0,0.47420019982382655
da,0,10,0.7562628001905978
da,2,40,0.587954199872911
zhong,2,40,0.7389697995968163
zhong,0,30,0.6787542998790741
da,2,40,0.635412700008601
da,0,10,0.5179290999658406
