Character,Direction,Eccentricity,Reaction Time (s)
zhong,0,0,0.5769877000711858
da,2,40,0.7049801996909082
xiao,2,0,0.5578620000742376
zhong,2,10,0.6499252999201417
xiao,2,20,0.6156073999591172
da,2,40,0.6102634998969734
da,0,10,0.49375509982928634
xiao,2,40,0.5818023001775146
zhong,2,0,0.5843739998526871
xiao,2,0,0.676889699883759
xiao,2,40,0.6597861996851861
da,2,30,0.659608599729836
xiao,2,30,0.5639784997329116
zhong,0,10,0.6167974998243153
zhong,2,10,0.6129856999032199
xiao,0,30,0.5777973001822829
zhong,0,10,0.5422640000469983
xiao,0,0,0.5197553001344204
zhong,0,20,0.6924588000401855
zhong,2,20,0.5394918001256883
xiao,2,10,0.5611974997445941
zhong,0,0,0.6165903997607529
xiao,0,40,0.6856424999423325
zhong,0,30,0.6877810000441968
xiao,2,20,0.5809404002502561
da,0,30,0.7524782996624708
da,0,30,0.6559607000090182
da,0,0,0.4969685999676585
da,2,10,0.525373799726367
da,2,0,0.6531967003829777
da,0,20,0.5524321999400854
da,2,10,0.6412797002121806
da,2,10,0.5680498997680843
xiao,0,10,0.6523585999384522
zhong,2,30,0.5420721000991762
da,0,30,0.753687399905175
xiao,0,40,0.672564999666065
xiao,2,10,0.5450765998102725
da,0,20,0.6616110000759363
zhong,2,20,0.6442623999901116
da,0,10,0.6421380997635424
da,2,30,0.6849405998364091
xiao,0,30,0.6148211001418531
da,2,30,0.6030961000360548
xiao,2,30,0.6534390999004245
xiao,0,0,0.5595599999651313
xiao,0,0,0.5737801999785006
xiao,2,0,0.5604950999841094
da,2,20,0.5647110003046691
xiao,0,30,0.6725387000478804
xiao,0,10,0.5902638998813927
da,0,30,0.6877442002296448
da,0,30,0.5290004997514188
zhong,2,20,0.6658109002746642
xiao,0,20,0.5857526999898255
xiao,0,30,0.610712899826467
xiao,0,40,0.6033757999539375
da,0,40,0.6664916002191603
xiao,2,0,0.5754869002848864
zhong,0,20,0.6208891998976469
xiao,2,40,0.6404988998547196
xiao,2,30,0.6160992998629808
da,0,0,0.418111199978739
xiao,0,40,0.5820137998089194
zhong,2,20,0.5989989996887743
zhong,2,20,0.49538949970155954
zhong,0,20,0.5229724999517202
zhong,2,0,0.5309771001338959
zhong,0,0,0.43407620023936033
xiao,0,40,0.5461792997084558
xiao,0,40,0.6150813000276685
zhong,0,20,0.6458378997631371
xiao,2,10,0.5814807000569999
da,0,10,0.6200624001212418
da,0,10,0.6762554999440908
xiao,2,40,0.6693535996600986
da,2,40,0.6261903997510672
zhong,2,40,0.7091188998892903
da,2,30,0.7372048003599048
zhong,0,20,0.634638300165534
xiao,2,20,0.6742571000941098
da,2,0,0.6186170000582933
zhong,2,40,0.6001483001746237
xiao,0,20,0.5973163000307977
zhong,0,40,0.7180024995468557
zhong,0,0,0.5232147998176515
da,2,0,0.6108769001439214
zhong,2,30,0.7198907998390496
zhong,0,40,0.7812296999618411
da,2,20,0.5569255999289453
da,2,0,0.6276477999053895
da,2,10,0.4422339997254312
zhong,0,10,0.5041141002438962
da,2,30,0.5633990000933409
da,2,10,0.49550139997154474
zhong,2,40,0.7212121998891234
da,0,40,0.6071335999295115
da,0,10,0.4971393998712301
zhong,0,20,0.5690955999307334
da,0,0,0.5647531002759933
