Character,Direction,Eccentricity,Reaction Time (s)
da,2,0,0.59383329981938
da,2,40,0.5768271000124514
xiao,2,10,0.4979892000555992
xiao,2,20,0.5072596999816597
xiao,0,30,0.46980659989640117
xiao,2,20,0.47750330017879605
xiao,2,0,0.5107897999696434
xiao,0,20,0.5209646997973323
da,0,20,0.5054395999759436
xiao,0,30,0.5066193998791277
da,2,30,0.5530702001415193
xiao,2,10,0.4557671998627484
xiao,0,30,0.5134887001477182
xiao,0,40,0.48424809984862804
da,2,10,0.5435915002599359
xiao,2,40,0.5128770000301301
xiao,2,20,0.48927500005811453
xiao,0,40,0.6243996997363865
da,2,40,0.5745625998824835
da,2,20,0.49494530027732253
xiao,2,20,0.5013450002297759
da,2,0,0.4514425001107156
xiao,2,20,0.4811209999024868
da,0,40,0.5542526999488473
da,2,10,0.5497556999325752
xiao,0,0,0.41858529997989535
xiao,2,0,0.47188339987769723
xiao,2,40,0.5510436003096402
xiao,2,30,0.47508740006014705
da,0,20,0.5497455997392535
da,2,10,0.4192609000019729
xiao,0,0,0.47832390014082193
xiao,2,40,0.549730300437659
da,2,20,0.5300729000009596
da,0,10,0.47263680025935173
da,2,0,0.45428150007501245
da,0,0,0.4372979002073407
xiao,0,20,0.45474169962108135
da,0,40,0.5302396002225578
xiao,2,40,0.5266010998748243
xiao,0,0,0.4474198999814689
xiao,0,30,0.4553045001812279
xiao,0,40,0.4451763001270592
da,0,10,0.4608159000054002
xiao,0,20,0.5765912998467684
xiao,0,0,0.4780234000645578
da,2,40,0.44229030003771186
da,2,40,0.5490536000579596
xiao,0,10,0.5422147000208497
xiao,2,10,0.4963181996718049
da,2,10,0.5471908003091812
xiao,0,40,0.608105800114572
xiao,0,20,0.42830560030415654
da,2,30,0.49000569991767406
xiao,2,20,0.4752042000181973
da,2,0,0.47939349990338087
xiao,0,0,0.44733630027621984
xiao,0,40,0.5456389999017119
da,0,10,0.467620600014925
da,0,20,0.5531512997113168
xiao,2,30,0.5004547997377813
da,0,10,0.5328047000803053
da,0,10,0.4986276999115944
da,2,30,0.4379886998794973
xiao,2,10,0.487338500097394
xiao,0,10,0.5744499997235835
da,0,30,0.49266650015488267
xiao,2,30,0.557923000305891
xiao,0,30,0.5614319001324475
da,0,10,0.477379800286144
da,0,30,0.5374380997382104
da,0,0,0.4697397002018988
xiao,2,0,0.4070830997079611
da,2,30,0.48640709975734353
xiao,2,30,0.47107570013031363
xiao,2,10,0.5590611998923123
xiao,2,10,0.48544330010190606
da,0,10,0.4796796003356576
xiao,0,0,0.440920100081712
da,2,20,0.43500779988244176
xiao,2,0,0.5504270000383258
da,2,30,0.5135954995639622
da,2,0,0.5418525002896786
xiao,0,20,0.5103770000860095
xiao,2,40,0.5400065002031624
xiao,2,20,0.572824299801141
da,0,30,0.4883141000755131
da,0,40,0.4903457001782954
da,0,40,0.5304314000532031
da,0,20,0.5040076998993754
xiao,0,10,0.4589938996359706
da,0,20,0.5178799000568688
da,2,30,0.6182277002371848
xiao,2,0,0.5980815999209881
da,2,40,0.48892279993742704
da,0,30,0.5583209004253149
da,0,30,0.5454155998304486
da,0,0,0.5911857997998595
da,0,40,0.5159785002470016
da,0,0,0.4577731001190841
