Character,Direction,Eccentricity,Reaction Time (s)
da,0,20,0.5201191999949515
xiao,2,30,0.5055091995745897
da,2,30,0.5367097998969257
da,0,20,0.5853552999906242
da,0,0,0.47867880016565323
xiao,2,10,0.46851890021935105
xiao,2,30,0.4931923998519778
xiao,0,40,0.5429812003858387
xiao,2,0,0.46667009964585304
xiao,2,30,0.43902019970119
xiao,0,0,0.7082336000166833
xiao,2,10,0.5445948000997305
da,2,10,0.6980810002423823
da,0,30,0.5813710000365973
xiao,0,40,0.5597271001897752
da,0,0,0.4634524001739919
xiao,2,20,0.4851000001654029
xiao,2,10,0.5389311998151243
xiao,0,40,0.4809797997586429
xiao,0,20,0.49252270022407174
xiao,2,0,0.47026249999180436
xiao,0,10,0.47328920010477304
xiao,2,20,0.48063600016757846
xiao,2,0,0.49739280017092824
da,2,30,0.46964369993656874
xiao,0,10,0.39730359986424446
xiao,2,20,0.516369900200516
xiao,0,30,0.44997609965503216
da,0,40,0.5240766000933945
da,2,10,0.48575029987841845
da,0,10,0.4697283999994397
xiao,0,40,0.4985150001011789
da,2,0,0.47946610022336245
xiao,2,30,0.5606502001173794
da,0,20,0.45024440018460155
xiao,2,10,0.5073657999746501
da,2,10,0.5020658997818828
da,2,10,0.4560938002541661
da,2,40,0.5720957997255027
xiao,2,40,0.5520036001689732
xiao,0,30,0.6065674000419676
xiao,0,0,0.577734399586916
xiao,2,20,0.44372420012950897
da,0,0,0.5155249000526965
da,2,30,0.5096078999340534
xiao,0,30,0.5923142000101507
xiao,0,30,0.45431340020149946
da,0,40,0.6106557999737561
da,0,10,0.4762172996997833
da,0,10,0.4445286998525262
da,0,40,0.5384497996419668
xiao,2,20,0.5111945997923613
xiao,0,10,0.46502110036090016
xiao,2,30,0.541847700253129
da,0,20,0.6442201999016106
da,2,20,0.49818250024691224
da,2,20,0.4404147998429835
xiao,2,40,0.5777376000769436
da,2,30,0.5112020000815392
xiao,2,40,0.5703942999243736
da,2,20,0.5561247002333403
xiao,0,10,0.4893292998895049
xiao,2,0,0.4999792999587953
da,0,30,0.5312512000091374
xiao,0,10,0.576226900331676
xiao,0,0,0.4902673000469804
da,2,0,0.6116770999506116
xiao,0,20,0.48200409999117255
xiao,0,10,0.48729069996625185
da,2,0,0.47849459992721677
xiao,0,0,0.486043400131166
da,2,20,0.6572130997665226
da,2,20,0.48577710008248687
xiao,2,40,0.5982968001626432
da,2,40,0.6292659998871386
xiao,0,20,0.5572335999459028
xiao,0,30,0.6121865999884903
xiao,2,10,0.5005076001398265
xiao,2,0,0.47245300002396107
da,2,0,0.5831176000647247
xiao,2,40,0.5610245000571012
xiao,0,20,0.5149827999994159
da,2,40,0.5716858999803662
da,0,20,0.44903980009257793
da,0,0,0.4782023001462221
xiao,0,30,0.4340556999668479
da,2,30,0.616157699842006
xiao,0,30,0.4942087000235915
da,0,40,0.5089266998693347
xiao,2,0,0.4895270001143217
da,0,30,0.611285500228405
da,2,10,0.4615310998633504
da,0,40,0.5711583998054266
xiao,0,0,0.4782500001601875
da,0,0,0.532410700339824
xiao,0,20,0.5124058001674712
da,2,40,0.5233065001666546
xiao,2,40,0.6725186998955905
xiao,0,40,0.631137799937278
da,0,10,0.44257150031626225
