Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.3371568000293337
0.0,2,40,0.3704645999823697
0.0,0,20,0.34771669999463484
0.0,2,0,0.2824858999811113
0.0,0,40,0.32450669998070225
0.0,0,30,0.31841059995349497
0.0,0,40,0.30637649999698624
0.0,0,30,0.3415503000142053
0.0,2,0,0.10437960003037006
0.0,0,40,0.33116629999130964
0.0,0,20,0.35711779998382553
0.0,0,30,0.27504579996457323
0.0,2,20,0.31041380000533536
0.0,0,0,0.3520179000333883
0.0,0,30,0.0260065000038594
0.0,0,10,0.04896450001979247
0.0,2,20,0.3165076999575831
0.0,0,0,0.24546050000935793
0.0,0,10,0.29450389998964965
0.0,2,40,0.3171909999800846
0.0,0,30,0.30333249998511747
0.0,0,40,0.33112280000932515
0.0,0,30,0.3128772000200115
0.0,2,40,0.32955690001836047
0.0,2,10,0.13634589995490387
0.0,2,20,0.30266770004527643
0.0,2,10,0.3599470999906771
0.0,2,20,0.30511650000698864
0.0,0,10,0.316682500008028
0.0,2,10,0.3174643999664113
0.0,2,30,0.17776320001576096
0.0,0,40,0.21082879998721182
0.0,2,0,0.07467729999916628
0.0,2,20,0.1340768999652937
0.0,0,20,0.23573009995743632
0.0,0,10,0.4124218000215478
0.0,0,10,0.1908378000371158
0.0,2,30,0.27227890002541244
0.0,0,30,0.33578880003187805
0.0,2,20,0.31470599997555837
0.0,2,20,0.3395467000082135
0.0,0,20,0.018356400018092245
0.0,0,40,0.3930572000099346
0.0,2,30,0.34055979998083785
0.0,0,40,0.3350619999691844
0.0,2,0,0.3497516000061296
0.0,2,0,0.28843130002496764
0.0,2,30,0.22220940003171563
0.0,2,10,0.17584989999886602
0.0,2,0,0.27585089998319745
0.0,2,0,0.05394130002241582
0.0,2,10,0.2942930000135675
0.0,0,30,0.33013410004787147
0.0,0,20,0.33833219995722175
0.0,0,10,0.08972880005603656
0.0,0,0,0.24491939996369183
0.0,2,40,0.2972450000233948
0.0,2,20,0.33752719999756664
0.0,0,20,0.34451899997657165
0.0,0,0,0.3003125000395812
0.0,2,40,0.36879249999765307
0.0,0,0,0.19596840004669502
0.0,2,40,0.25508629996329546
0.0,2,10,0.27512409997871146
0.0,2,40,0.3519529000041075
0.0,2,30,0.33880510000744835
0.0,0,0,0.09550180000951514
0.0,0,20,0.06774979998590425
0.0,0,0,0.2937514000223018
0.0,2,10,0.38347959995735437
0.0,2,40,0.3337353999959305
0.0,0,10,0.3388540999731049
0.0,0,0,0.2691968000144698
0.0,2,0,0.1854474000283517
0.0,0,10,0.32087210001191124
0.0,2,30,0.28057390003232285
0.0,2,30,0.25754419999429956
0.0,0,10,0.38033779995748773
0.0,0,10,0.4018832999863662
0.0,0,0,0.3252288999501616
0.0,2,0,0.10895419999724254
0.0,0,40,0.3344655999680981
0.0,0,40,0.1813630000106059
0.0,2,30,0.39659519999986514
0.0,2,0,0.3270879000192508
0.0,2,10,0.09325859998352826
0.0,2,20,0.3190050999983214
0.0,2,10,0.28766600001836196
0.0,2,40,0.36459760001162067
0.0,0,40,0.32234049995895475
0.0,2,30,0.21328690001973882
0.0,0,20,0.32769000000553206
0.0,2,40,0.404140800004825
0.0,0,20,0.3665828999946825
0.0,2,20,0.33300319995032623
0.0,0,30,0.36833289999049157
0.0,2,30,0.11147740000160411
0.0,2,10,0.2522127000265755
0.0,0,20,0.18290209997212514
0.0,0,30,0.28004730003885925
