Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.36849580000853166
0.0,2,40,0.38753249996807426
0.0,2,30,0.35628880001604557
0.0,2,0,0.31319000001531094
0.0,0,10,0.33870509994449094
0.0,0,0,0.3160271000233479
0.0,0,20,0.3195088999927975
0.0,2,30,0.370063400012441
0.0,0,40,0.3348130999947898
0.0,2,30,0.2052900000126101
0.0,0,30,0.36130879999836907
0.0,2,30,0.32472899998538196
0.0,2,10,0.31018750002840534
0.0,2,40,0.3749995999969542
0.0,0,20,0.32346240000333637
0.0,0,40,0.36460069997701794
0.0,0,10,0.3157772999838926
0.0,2,30,0.18651269999099895
0.0,2,40,0.3589371000416577
0.0,0,10,0.35563420003745705
0.0,2,40,0.34221730002900586
0.0,0,40,0.2510527000413276
0.0,2,30,0.35183160001179203
0.0,2,0,0.3473901000106707
0.0,0,0,0.3114974000491202
0.0,2,40,0.31019629997899756
0.0,0,30,0.42994189995806664
0.0,2,10,0.2897355000022799
0.0,0,40,0.3406791999586858
0.0,2,10,0.3332720000180416
0.0,2,20,0.3058146000257693
0.0,0,30,0.3132624999852851
0.0,2,20,0.36525580001762137
0.0,2,40,0.3554297999944538
0.0,0,20,0.14526209997711703
0.0,2,30,0.12569839996285737
0.0,0,10,0.26237290003336966
0.0,0,10,0.3268586000194773
0.0,2,10,0.31557420000899583
0.0,0,30,0.018932700040750206
0.0,2,30,0.20576730003813282
0.0,0,0,0.3852355999988504
0.0,2,20,0.36176050000358373
0.0,0,30,0.35359660000540316
0.0,2,20,0.3348863000283018
0.0,0,10,0.21923220000462607
0.0,2,20,0.3416567999520339
0.0,0,10,0.35862890002317727
0.0,2,10,0.34414609998930246
0.0,0,40,0.3482715000282042
0.0,2,20,0.3398968999972567
0.0,0,30,0.3676995999994688
0.0,0,0,0.3932591999764554
0.0,2,40,0.43573740002466366
0.0,2,0,0.4547831000527367
0.0,2,0,0.3433278000447899
0.0,0,0,0.255023000005167
0.0,0,30,0.4043987999903038
0.0,2,40,0.32433040003525093
0.0,0,10,0.3170368999708444
0.0,2,0,0.358538500033319
0.0,2,40,0.45316639996599406
0.0,2,10,0.3437147999648005
0.0,0,40,0.39200990000972524
0.0,2,0,0.34827580000273883
0.0,2,10,0.3062581999693066
0.0,2,10,0.368952699995134
0.0,0,30,0.40097650000825524
0.0,0,20,0.35555100004421547
0.0,0,0,0.40542029996868223
0.0,2,0,0.36910370003897697
0.0,0,0,0.15053089999128133
0.0,2,0,0.018715100013650954
0.0,2,20,0.036186099983751774
0.0,0,10,0.3324235000181943
0.0,2,10,0.3847661000327207
0.0,2,20,0.38164650002727285
0.0,2,0,0.3586013999884017
0.0,0,20,0.05991150002228096
0.0,2,40,0.37804330000653863
0.0,2,10,0.3608621000312269
0.0,2,20,0.37654680002015084
0.0,0,20,0.38691020000260323
0.0,0,40,0.3964421999990009
0.0,2,30,0.5051758000045083
0.0,0,30,0.3499354000086896
0.0,0,40,0.39683729998068884
0.0,0,20,0.4279852000181563
0.0,0,10,0.3510225000209175
0.0,0,40,0.2553402000339702
0.0,0,40,0.19346369995037094
0.0,0,20,0.5584503000136465
0.0,0,30,0.39754390000598505
0.0,0,20,0.4553785000462085
0.0,2,20,0.41225709998980165
0.0,0,0,0.32575989997712895
0.0,2,30,0.3491434000316076
0.0,0,0,0.19255889998748899
0.0,0,20,0.38827580003999174
0.0,2,0,0.511922100035008
