Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,40,0.639886699966155
90.0,2,20,0.5861144000082277
90.0,2,0,0.52456119999988
0.0,2,30,0.7566282000043429
90.0,0,10,0.5418685000040568
45.0,0,30,0.5763308999594301
45.0,0,40,0.4630963000236079
90.0,0,40,0.6393108000047505
0.0,2,40,0.5438417000113986
90.0,2,10,0.5063796999747865
45.0,0,0,0.5660102000110783
0.0,2,20,0.7539545000181533
0.0,2,10,0.5101925000199117
90.0,2,40,0.6362223000032827
45.0,0,40,0.48052690003532916
90.0,2,20,0.5426412000088021
90.0,2,20,0.5598570999572985
45.0,2,0,0.5523749999701977
90.0,0,30,0.5519838000182062
0.0,0,20,0.5862482000375167
90.0,0,40,0.5460651000030339
90.0,0,0,0.4244713999796659
45.0,2,0,0.5395530000096187
45.0,2,20,0.5573624999960884
45.0,2,40,0.6224377999897115
45.0,0,30,0.4882639999850653
45.0,0,0,0.5224282999988645
45.0,0,10,0.5522990999743342
90.0,2,10,0.5628473000251688
90.0,2,30,0.5604065000079572
45.0,0,40,0.5620432000141591
0.0,0,10,0.6423719999729656
90.0,2,10,0.5440255000139587
45.0,2,20,0.5575957999681123
90.0,0,10,0.5563071999931708
45.0,0,30,0.6376394999679178
45.0,0,0,0.4993438000092283
90.0,2,40,0.5910556000308134
45.0,2,40,0.6004890000331216
90.0,0,20,0.5908260000287555
0.0,0,40,0.6271962000173517
90.0,0,30,0.5376072999788448
90.0,0,0,0.49638989998493344
90.0,0,30,0.5595485999947414
45.0,0,30,0.6724810000159778
45.0,0,20,0.5231941999518313
90.0,0,0,0.5037854999536648
0.0,2,30,0.5961404000408947
0.0,2,30,0.5421738000004552
0.0,0,10,0.5871891000424512
45.0,2,30,0.6447889000410214
45.0,2,30,0.5148641999694519
90.0,2,0,0.502640699967742
0.0,2,0,0.581561499973759
0.0,0,30,0.5431742999935523
90.0,2,10,0.5495300000184216
90.0,2,30,0.5181901000323705
0.0,2,40,0.6442953000077978
0.0,2,30,0.5534732000087388
0.0,0,0,0.5037673999904655
0.0,0,20,0.5479581000399776
45.0,2,10,0.6450820000027306
90.0,2,10,0.6376388000207953
45.0,0,30,0.6982796999509446
0.0,0,20,0.5564472999540158
90.0,2,20,0.5791298000258394
45.0,2,40,0.613402999995742
90.0,2,30,0.5770443999790587
90.0,2,0,0.45963310002116486
90.0,2,0,0.4766634000116028
90.0,0,40,0.5694713999982923
45.0,2,0,0.46444890002021566
45.0,2,0,0.5625419999705628
90.0,0,10,0.5772642999654636
0.0,0,10,0.5674086000071838
45.0,2,10,0.5678068000124767
90.0,0,20,0.5602877999772318
90.0,2,30,0.5099432999850251
45.0,2,20,0.5460666000144556
45.0,0,0,0.5088006999576464
90.0,0,20,0.5639099999680184
90.0,0,20,0.584664200025145
0.0,0,0,0.6094790999777615
90.0,2,10,0.49179780000122264
45.0,2,20,0.5377081999904476
0.0,2,40,0.6619699000148103
45.0,2,40,0.6209196000127122
0.0,0,0,0.5877082999795675
45.0,0,20,0.6091115000308491
90.0,0,10,0.5775511999963783
90.0,0,40,0.6255590000073425
0.0,0,40,0.635840900009498
0.0,2,20,0.5844150999910198
0.0,0,10,0.5110577999730594
0.0,0,30,0.5649906999897212
0.0,2,10,0.4808168000308797
45.0,0,10,0.5387879000045359
0.0,0,40,0.5652591999969445
0.0,0,20,0.5623300000443123
0.0,2,0,0.47385860001668334
