Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.5178650000016205
90.0,2,30,0.6045009000226855
90.0,0,0,0.41184710001107305
90.0,0,0,0.4944785000407137
45.0,0,10,0.5375054000178352
90.0,0,30,0.6081599000026472
45.0,0,30,0.4867495000362396
45.0,0,10,0.424480699992273
90.0,2,40,0.6201701000100002
45.0,0,10,0.576260200003162
90.0,2,10,0.4960075000417419
45.0,0,20,0.46886090002954006
90.0,2,30,0.520248899993021
45.0,2,10,0.5090425999951549
0.0,0,40,0.7189040000084788
0.0,0,30,0.5397471999749541
0.0,2,40,0.5486481999978423
45.0,2,0,0.5299222000176087
90.0,2,30,0.49888349999673665
0.0,2,30,0.6297434000298381
90.0,2,10,0.5703603999572806
0.0,2,20,0.4631857000058517
90.0,0,40,0.5512782000005245
0.0,2,40,0.6597691999631934
90.0,2,40,0.5769052000250667
0.0,2,10,0.5204511999618262
45.0,2,30,0.5165855999803171
0.0,2,20,0.6040363000356592
0.0,0,30,0.4958475000457838
0.0,0,0,0.43065779999597
45.0,0,20,0.4624820000026375
45.0,0,10,0.41323529998771846
0.0,0,10,0.48940280004171655
0.0,0,0,0.482299699971918
45.0,0,20,0.5881299000466242
90.0,2,20,0.5908839000039734
0.0,2,30,0.5062626000144519
45.0,0,30,0.6210836000391282
0.0,2,40,0.5142887000110932
90.0,2,30,0.5362043000059202
0.0,2,40,0.587526399991475
0.0,2,0,0.4791224999935366
90.0,0,30,0.5450791000039317
45.0,0,40,0.5321376000065356
0.0,0,10,0.5326737999566831
90.0,2,40,0.5599897000356577
0.0,0,20,0.5573408000054769
45.0,0,0,0.5134418000234291
45.0,0,40,0.5484797000535764
45.0,2,10,0.53135140001541
45.0,0,40,0.5283979999949224
45.0,0,0,0.43695999996270984
45.0,2,0,0.4844890999956988
90.0,2,40,0.5443416999769397
90.0,2,30,0.4908655000035651
90.0,2,10,0.45833429996855557
45.0,0,0,0.55800590000581
0.0,2,30,0.5514216999872588
0.0,0,40,0.5772645000251941
90.0,2,20,0.517542899993714
0.0,2,30,0.4981944999890402
90.0,2,10,0.4998438999755308
90.0,2,40,0.5619250999880023
90.0,0,10,0.4777866000076756
0.0,0,20,0.5395398999680765
45.0,0,30,0.6420333000132814
90.0,0,20,0.4759889999986626
45.0,2,0,0.5372947999858297
0.0,2,20,0.5413224999792874
0.0,2,20,0.49060379998991266
45.0,2,0,0.567534199974034
0.0,2,0,0.5601718000252731
0.0,2,10,0.5037585999816656
90.0,0,10,0.5010461999918334
90.0,0,20,0.5410763000254519
90.0,0,40,0.5510666000191122
0.0,2,10,0.5937234000302851
90.0,2,0,0.5229119000141509
90.0,0,10,0.521318799990695
45.0,2,20,0.5571650000056252
45.0,0,0,0.5036410000175238
45.0,0,0,0.5812424999894574
45.0,0,40,0.5314269000082277
0.0,2,10,0.5610203000251204
0.0,2,20,0.5610159999923781
0.0,0,40,0.6016938000102527
90.0,2,0,0.5327392999897711
45.0,0,20,0.5230903000338003
45.0,2,20,0.5441031999653205
0.0,0,20,0.5882427000324242
90.0,0,30,0.5633033000049181
0.0,0,10,0.5820258000167087
45.0,2,40,0.6053613999974914
90.0,0,20,0.5215514000155963
90.0,0,30,0.539566499995999
90.0,2,0,0.4085412000422366
45.0,2,0,0.5513179999543354
0.0,0,40,0.5533387999748811
90.0,2,20,0.6942593000130728
0.0,0,30,0.6369396999944001
