Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.49163189996033907
0.0,2,30,0.4765350000234321
0.0,2,20,0.5429568000254221
90.0,2,10,0.45301820000167936
0.0,2,30,0.4814277000259608
0.0,2,0,0.6706897999974899
90.0,2,40,0.46073679998517036
90.0,2,0,0.3850415999768302
0.0,0,40,0.43190229998435825
0.0,2,0,0.41153569996822625
90.0,2,0,0.43631090002600104
0.0,2,0,0.43640740000410005
90.0,2,10,0.5203946999972686
0.0,2,40,0.4715375000378117
90.0,2,20,0.49537890002829954
90.0,0,20,0.3969420000212267
0.0,0,0,0.4368096999824047
0.0,2,30,0.4828336000209674
90.0,2,40,0.45743729994865134
0.0,2,40,0.6603098000050522
90.0,2,20,0.5225634000380524
90.0,0,0,0.42275300004985183
0.0,2,30,0.49518770002759993
90.0,0,20,0.49995500000659376
90.0,0,10,0.4860764999757521
0.0,2,0,0.5118621999863535
90.0,0,30,0.4198882000055164
0.0,0,40,0.48149450001074
0.0,0,0,0.4254914000048302
0.0,2,40,0.5305361000355333
90.0,0,10,0.4164386999909766
90.0,0,40,0.5666387000237592
90.0,2,20,0.5236915000132285
90.0,0,20,0.46302780002588406
90.0,0,40,0.5176380000193603
90.0,2,30,0.5051625999622047
0.0,0,20,0.5078494000481442
90.0,0,10,0.4744555000215769
90.0,0,10,0.42611549998400733
0.0,2,20,0.4503163000335917
90.0,0,20,0.6285940000088885
0.0,0,30,0.5148806999786757
0.0,2,20,0.47615200001746416
0.0,0,0,0.5161743999924511
0.0,2,10,0.5046825000317767
0.0,0,40,0.5862840000190772
0.0,2,10,0.39499400003114715
0.0,0,20,0.48104240000247955
90.0,0,0,0.44151390000479296
90.0,0,0,0.41932779998751357
0.0,2,20,0.5095053999684751
0.0,0,30,0.535664499970153
0.0,0,40,0.49180730001535267
90.0,2,30,0.5087356999865733
0.0,0,40,0.52374619996408
90.0,0,20,0.474007899989374
0.0,0,0,0.4806012000190094
90.0,0,40,0.4279094999656081
90.0,2,0,0.4526649999897927
0.0,2,20,0.4585202000453137
90.0,2,30,0.5080108999973163
0.0,2,40,0.5353407000075094
0.0,2,10,0.561387800029479
90.0,2,20,0.4872825000202283
0.0,2,10,0.4451177000300959
0.0,2,10,0.4339985999977216
90.0,0,30,0.47893219999969006
90.0,0,30,0.4813682999811135
0.0,2,0,0.45290939998812973
90.0,0,30,0.5447492999956012
0.0,0,10,0.4874106999486685
90.0,0,0,0.5678417999879457
90.0,0,30,0.5722430000314489
0.0,0,10,0.4626538999727927
0.0,0,20,0.4752310999901965
0.0,0,10,0.4473415000247769
90.0,0,0,0.4410146999871358
90.0,0,40,0.4347931999946013
90.0,0,10,0.5277821000199765
90.0,0,20,0.4335274000186473
90.0,0,40,0.5640025999746285
90.0,0,30,0.4674257999868132
90.0,0,0,0.4678359999670647
0.0,2,20,0.45078559999819845
90.0,0,30,0.4393471999792382
0.0,2,10,0.46306039998307824
90.0,2,40,0.5143189000082202
0.0,0,10,0.40646700002253056
90.0,2,10,0.4652835999731906
90.0,2,30,0.5092860999866389
90.0,0,30,0.43345319997752085
0.0,2,30,0.43039130000397563
0.0,2,40,0.4705882000271231
0.0,2,30,0.5042141999583691
0.0,2,0,0.44758350000483915
90.0,2,40,0.47511319996556267
0.0,2,40,0.6161578999599442
0.0,0,20,0.49816860002465546
0.0,0,10,0.443382500030566
0.0,2,10,0.5545568000525236
