Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,30,0.5188318999717012
0.0,0,20,0.514493599999696
0.0,0,30,0.4806728000403382
90.0,2,40,0.4704353000270203
90.0,0,10,0.44901839998783544
90.0,2,20,0.520661199989263
0.0,0,40,0.5037902999902144
90.0,0,30,0.5254918999853544
90.0,0,30,0.5252632000483572
90.0,2,0,0.4533561999560334
90.0,0,40,0.5734957000240684
0.0,2,30,0.48248920001788065
90.0,0,20,0.5478836999973282
90.0,2,20,0.5294084000051953
90.0,2,20,0.5120768999913707
90.0,0,40,0.5662348999758251
0.0,2,20,0.4861003000405617
90.0,0,20,0.520123100024648
0.0,0,0,0.4335298999794759
0.0,0,10,0.5355958999716677
90.0,0,10,0.410907200013753
90.0,0,10,0.5558367999619804
90.0,2,0,0.41403129999525845
90.0,0,30,0.6230057000066154
90.0,0,40,0.5121012000017799
0.0,0,0,0.5096039999625646
90.0,2,10,0.5006938999867998
90.0,2,40,0.5730541999801062
0.0,2,40,0.598505700007081
0.0,0,0,0.3819989999756217
0.0,2,20,0.4495642999536358
0.0,2,20,0.45018659997731447
90.0,0,40,0.49275909998686984
90.0,0,20,0.43330049997894093
0.0,2,20,0.5548871999490075
0.0,2,30,0.4443141999654472
0.0,0,20,0.4536384000093676
0.0,0,40,0.4852461999980733
90.0,0,30,0.54003539995756
0.0,0,30,0.5160762000014074
90.0,0,40,0.5364777999930084
90.0,2,0,0.48945090000052005
90.0,0,10,0.38636349997250363
90.0,2,40,0.49124369997298345
0.0,2,30,0.5282957999734208
0.0,2,10,0.386015199997928
90.0,2,0,0.507835199998226
0.0,2,40,0.4616740999626927
90.0,2,10,0.5013460999471135
0.0,0,0,0.4431707999901846
0.0,0,10,0.47506699996301904
90.0,2,30,0.5444062000024132
0.0,0,20,0.5138200999936089
90.0,2,10,0.5664470999618061
90.0,2,40,0.5713922000140883
0.0,2,20,0.4970057000173256
90.0,2,10,0.451489600003697
0.0,0,20,0.47707969998009503
90.0,2,10,0.4668234999990091
90.0,0,10,0.46683319995645434
0.0,0,20,0.477305400010664
0.0,0,30,0.5145079999929294
0.0,2,40,0.5318273000302725
90.0,0,40,0.46327330003259704
0.0,2,0,0.6086684000329114
90.0,0,20,0.44807819998823106
90.0,0,40,0.5869060000404716
0.0,2,30,0.5246301000006497
0.0,2,10,0.5291286999708973
90.0,2,30,0.4669281000387855
0.0,2,0,0.544952199968975
90.0,0,30,0.5675509000429884
90.0,2,10,0.5036983999889344
90.0,2,20,0.509755100007169
0.0,2,10,0.4784262999892235
90.0,0,10,0.5284623000188731
90.0,2,40,0.6296839999849908
0.0,2,0,0.5593253000406548
90.0,0,0,0.5121757999877445
0.0,0,40,0.5437592000234872
0.0,0,20,0.4718089000089094
90.0,0,30,0.5340893000247888
0.0,0,10,0.5707029000041075
90.0,0,10,0.48564860003534704
90.0,0,0,0.5108142000390217
90.0,2,0,0.5625039000296965
90.0,0,0,0.48756259999936447
0.0,2,20,0.4747938000364229
90.0,0,0,0.42870679998304695
90.0,2,0,0.44850810000207275
0.0,2,40,0.5014666999923065
90.0,2,30,0.5388041999540292
0.0,2,0,0.5221950000268407
90.0,0,0,0.5363388999830931
0.0,0,0,0.5232473000069149
0.0,0,30,0.5745491000125185
0.0,2,10,0.459625200019218
90.0,2,30,0.5972961999941617
90.0,2,30,0.5532549999770708
90.0,2,40,0.4971763999783434
