Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,25,0.3778796999977203
0.0,0,15,0.38768340001115575
0.0,0,40,0.3675636999978451
0.0,2,0,0.33975460000510793
0.0,0,25,0.35340359999099746
0.0,2,0,0.31899450000491925
0.0,0,15,0.334916499996325
0.0,2,10,0.31828069999755826
0.0,2,30,0.34237080000457354
0.0,2,5,0.36034010000003036
0.0,0,20,0.3140029000060167
0.0,2,10,0.33774309999716934
0.0,2,25,0.28235780000977684
0.0,2,30,0.35070539999287575
0.0,0,35,0.3489272000006167
0.0,0,30,0.34555130000808276
0.0,2,5,0.3098494000005303
0.0,0,35,0.3428442000003997
0.0,0,40,0.3530423000047449
0.0,0,20,0.17036559998814482
0.0,0,15,0.34183789999224246
0.0,0,25,0.3131649999995716
0.0,2,30,0.3666712000122061
0.0,2,35,0.35518129999400117
0.0,0,25,0.3094051999942167
0.0,2,0,0.33772390001104213
0.0,2,35,0.32374880000134
0.0,2,30,0.35384110000450164
0.0,2,35,0.32929790001071524
0.0,0,15,0.29110610000498127
0.0,0,10,0.4065388000017265
0.0,2,20,0.3245988999988185
0.0,2,35,0.33586819999618456
0.0,0,5,0.14465100000961684
0.0,2,20,0.19824050000170246
0.0,2,10,0.3226732000039192
0.0,0,30,0.34291310000116937
0.0,0,10,0.30531200001132675
0.0,0,25,0.305771300001652
0.0,0,0,0.3354512999940198
0.0,2,20,0.30646549999073613
0.0,2,30,0.34145549999084324
0.0,2,30,0.3342220000049565
0.0,2,40,0.3400896999955876
0.0,0,35,0.3197109000029741
0.0,2,25,0.30231449998973403
0.0,0,20,0.3265936999960104
0.0,0,30,0.29646409999986645
0.0,0,15,0.27724700000544544
0.0,0,40,0.14977260000887327
0.0,2,25,0.3172123999975156
0.0,2,10,0.28386769999633543
0.0,2,15,0.3327259000070626
0.0,0,15,0.33620560000417754
0.0,0,0,0.3109712000004947
0.0,0,10,0.25316279999969993
0.0,2,0,0.3306460000021616
0.0,2,40,0.13625519999186508
0.0,0,30,0.3165282000118168
0.0,2,20,0.32952149999618996
0.0,0,25,0.3374274000088917
0.0,2,40,0.09384040000441018
0.0,0,40,0.34222849999787286
0.0,2,20,0.3273114000039641
0.0,0,0,0.3531347999960417
0.0,2,25,0.3474681999941822
0.0,2,10,0.3313505000114674
0.0,2,20,0.34601690000272356
0.0,0,5,0.3591350000060629
0.0,0,5,0.3049154000036651
0.0,2,35,0.13562230000388809
0.0,2,25,0.30893230000219774
0.0,2,40,0.3066824999987148
0.0,0,0,0.3143232000002172
0.0,2,15,0.3065567000012379
0.0,2,25,0.03625010000541806
0.0,0,25,0.24030499999935273
0.0,0,25,0.30342019999807235
0.0,0,5,0.2797915999981342
0.0,2,10,0.31319399998756126
0.0,0,40,0.3163613000069745
0.0,0,10,0.21155399999406654
0.0,2,5,0.3197037000063574
0.0,2,5,0.017477699992014095
0.0,0,5,0.4224848000012571
0.0,2,0,0.28628839999146294
0.0,2,35,0.355846600010409
0.0,0,0,0.2990818000107538
0.0,2,20,0.3285505999956513
0.0,0,15,0.24095870000019204
0.0,2,35,0.3054876999958651
0.0,2,30,0.18871129999752156
0.0,0,25,0.18760449999535922
0.0,0,15,0.3211849999934202
0.0,0,30,0.1660494999960065
0.0,2,20,0.3138332999951672
0.0,2,40,0.20349470000655856
0.0,2,30,0.1317410000046948
0.0,0,40,0.31199699999706354
0.0,2,40,0.31730640000023413
0.0,0,10,0.21600559999933466
0.0,0,0,0.2749766999913845
0.0,0,25,0.35842020000563934
0.0,2,15,0.3047095000074478
0.0,2,25,0.4182604000088759
0.0,0,30,0.3550843000120949
0.0,0,10,0.2471021999954246
0.0,0,35,0.3500220999994781
0.0,0,30,0.31265480000001844
0.0,0,20,0.3044110999908298
0.0,2,15,0.023245699994731694
0.0,0,0,0.22634690000268165
0.0,2,10,0.2984954999992624
0.0,2,30,0.2857971000048565
0.0,2,0,0.3372916000080295
0.0,0,35,0.3369654999987688
0.0,2,0,0.28438150000874884
0.0,0,40,0.23514010000508279
0.0,0,35,0.06830700000864454
0.0,0,20,0.5705794999958016
0.0,2,0,0.2067215999995824
0.0,2,0,0.21303189999889582
0.0,0,35,0.31936120000318624
0.0,0,15,0.34541179999359883
0.0,0,5,0.08016630000201985
0.0,0,0,0.36509079999814276
0.0,2,30,0.2921014000021387
0.0,0,20,0.31373929999244865
0.0,2,15,0.22384900000179186
