Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.5315073000092525
90.0,2,40,0.5399937000038335
45.0,0,30,0.5244977999973344
45.0,2,20,0.5160289000050398
90.0,2,40,0.6162642999988748
0.0,0,5,0.4350511000084225
45.0,2,35,0.502573299992946
45.0,2,5,0.47534030000679195
45.0,0,35,0.5628835000097752
45.0,0,0,0.4706039000011515
0.0,2,35,0.4674014000047464
90.0,2,10,0.45791169999574777
45.0,0,40,0.47435580000455957
90.0,0,30,0.5437034999922616
90.0,2,25,0.47771069999726024
45.0,0,15,0.590508499997668
45.0,2,25,0.5067127999936929
45.0,2,30,0.5122018999973079
45.0,2,20,0.5201900999963982
0.0,0,25,0.70756490000349
90.0,2,0,0.43340290000196546
0.0,2,25,0.6575951000122586
45.0,0,35,0.5280448999983491
45.0,2,15,0.5543959000060568
45.0,0,15,0.47195320000173524
0.0,2,20,0.6701801999879535
90.0,0,25,0.5792111999908229
90.0,0,25,0.5041919999930542
90.0,0,30,0.4782390000036685
45.0,0,20,0.5940832000051159
45.0,2,35,0.5289377000008244
45.0,2,10,0.580687299996498
0.0,0,20,0.489445600003819
0.0,2,15,0.7358992000081344
90.0,2,0,0.5545124000054784
45.0,2,0,0.3967471999931149
90.0,2,35,0.5613172000012128
45.0,0,40,0.6193023000087123
90.0,0,35,0.5468666999950074
90.0,0,25,0.5512323000002652
90.0,2,30,0.48253969999495894
90.0,2,10,0.44390260000363924
45.0,2,15,0.5107931999955326
0.0,0,20,0.7322123000049032
90.0,2,5,0.5054239000019152
45.0,2,25,0.692169300004025
45.0,2,20,0.4618743000028189
90.0,2,10,0.4865315999923041
90.0,0,35,0.49702070000057574
90.0,2,5,0.5228993999917293
90.0,0,0,0.4954742999980226
45.0,2,25,0.5882541000028141
0.0,2,25,0.5848513999953866
45.0,0,25,0.5829202999884728
90.0,2,30,0.6043474000034621
90.0,0,0,0.48118930000055116
90.0,0,10,0.5925682999950368
90.0,0,20,0.5027377999940654
0.0,2,15,0.5616774000081932
45.0,0,15,0.46359810000285506
45.0,2,25,0.4993789000000106
90.0,2,15,0.5276369000057457
0.0,2,40,0.6263886999950046
0.0,0,30,0.5525481999939075
90.0,2,10,0.5498217999993358
0.0,0,0,0.5854277999897022
45.0,2,20,0.5695259000058286
0.0,2,30,0.5863526000030106
90.0,2,40,0.6665177999966545
0.0,0,5,0.5602686000056565
45.0,2,0,0.6959848000115016
45.0,2,20,0.5749589000042761
90.0,0,10,0.5090546999999788
90.0,0,35,0.5386562999919988
45.0,0,25,0.4155724000011105
45.0,2,5,0.6507290999870747
45.0,2,10,0.41273520000686403
45.0,0,35,0.5327238000027137
90.0,0,25,0.5455179999989923
90.0,2,40,0.5034007000067504
90.0,0,30,0.4769273999991128
45.0,2,0,0.5064093000110006
90.0,0,25,0.518919599999208
45.0,0,30,0.46533189999172464
90.0,2,15,0.5145922999945469
90.0,2,20,0.42108279999229126
45.0,0,15,0.5070483000017703
0.0,2,35,0.6736169000068912
90.0,0,40,0.5021071000082884
90.0,2,35,0.5106513000064297
45.0,0,20,0.44277239999792073
90.0,0,15,0.4841778999980306
90.0,2,35,0.5408663999987766
90.0,2,5,0.38819720000901725
45.0,0,40,0.5375449000130175
45.0,0,15,0.60718469999847
45.0,0,40,0.45187479999731295
45.0,2,25,0.560828899993794
45.0,2,15,0.46278139999776613
45.0,0,0,0.4552941000001738
90.0,0,40,0.5716237999877194
90.0,0,5,0.4575741000007838
90.0,0,30,0.5013933000009274
0.0,2,30,0.4968360000057146
45.0,0,35,0.628722800000105
45.0,0,25,0.6248873000004096
90.0,0,15,0.5414548999979161
90.0,0,15,0.4445389000029536
45.0,0,10,0.47722539999813307
0.0,2,5,0.5688827999983914
90.0,2,15,0.5240857000026153
90.0,0,40,0.5527261999959592
0.0,0,20,0.5524106999946525
90.0,0,40,0.5585553999990225
90.0,2,5,0.47734709999349434
45.0,0,10,0.48774380001123063
0.0,2,40,0.6124528000073042
45.0,2,40,0.6711810999986483
90.0,0,15,0.5339027000009082
90.0,0,0,0.4705580000008922
90.0,0,20,0.5170579999976326
90.0,2,15,0.4860793999978341
0.0,0,35,0.6080072999902768
90.0,2,25,0.46192919999884907
45.0,0,10,0.48821440000028815
90.0,0,5,0.4687479000131134
0.0,2,40,0.615480500011472
0.0,0,35,0.5514590000093449
0.0,2,0,0.42701269999088254
45.0,0,20,0.5152839999936987
0.0,2,15,0.4673977000056766
45.0,2,5,0.5920374999986961
0.0,2,30,0.5819025000091642
90.0,2,0,0.4872444000066025
0.0,0,25,0.5421197999967262
90.0,0,5,0.5185835000011139
0.0,0,5,0.5501158999977633
0.0,0,10,0.574656299999333
90.0,0,20,0.5282463999901665
90.0,2,35,0.4888451000006171
90.0,2,20,0.4623573999997461
90.0,0,30,0.5093576000072062
0.0,0,5,0.4896234000043478
90.0,2,35,0.5249698999978136
0.0,0,5,0.5667451000044821
90.0,0,15,0.49526920000789687
0.0,0,10,0.6249139999999898
45.0,2,30,0.5780916000076104
0.0,2,10,0.5324890000047162
0.0,2,40,0.5860267999960342
90.0,0,40,0.5688860000082059
45.0,2,20,0.5607216000062181
90.0,0,30,0.5128888999897754
90.0,2,10,0.5046372000069823
0.0,2,5,0.5399480000050971
90.0,2,0,0.5351478999946266
45.0,2,25,0.5642151000065496
45.0,0,0,0.5295158000080846
90.0,2,10,0.4957441000005929
90.0,2,30,0.5360884999972768
45.0,0,0,0.5684990000008838
45.0,0,10,0.4716539999935776
45.0,0,40,0.49219600000651553
45.0,2,5,0.5294136000011349
90.0,0,35,0.5383187999977963
0.0,2,20,0.5008383999957005
45.0,2,30,0.5836553999979515
0.0,0,30,0.5828994000039529
0.0,0,0,0.4453956999932416
45.0,0,5,0.6168469999975059
45.0,0,10,0.5121011000010185
0.0,2,0,0.4419737999996869
0.0,0,10,0.5656107000104384
90.0,2,40,0.5828166999999667
0.0,0,0,0.4972784999990836
0.0,0,5,0.45542460000433493
45.0,0,20,0.5812446000054479
90.0,2,30,0.5599070000025677
0.0,2,35,0.591914300006465
0.0,2,10,0.5442252000066219
