Face,Direction,Eccentricity,Reaction Time (s)
5,0,15,0.42197650019079447
5,2,15,0.3505603999365121
5,2,5,0.05382629996165633
5,2,5,0.17750030010938644
5,0,0,0.3275108998641372
5,2,30,0.34419380011968315
5,2,15,0.3078195999842137
5,2,20,0.3060703999362886
5,2,0,0.27658189996145666
5,0,35,0.3434649999253452
5,2,40,0.293737200088799
5,2,5,0.27510259998962283
5,0,35,0.13067860016599298
5,2,25,0.30048299999907613
5,2,35,0.3078286999370903
5,2,30,0.20520419999957085
5,0,10,0.318704100092873
5,2,20,0.2867363002151251
5,0,10,0.02461829991079867
5,0,40,0.35125039983540773
5,2,5,0.21775939990766346
5,2,10,0.29431580007076263
5,0,20,0.30148849985562265
5,2,15,0.31515999999828637
5,2,40,0.3043614001944661
5,2,10,0.3152968001086265
5,0,40,0.3208848999347538
5,0,20,0.3378222999162972
5,2,0,0.3439523000270128
5,2,5,0.31614400004036725
5,0,40,0.3152942000888288
5,0,25,0.32778090005740523
5,2,0,0.32757010008208454
5,0,15,0.33174070017412305
5,2,20,0.32919180020689964
5,0,25,0.3208729999605566
5,0,15,0.23770010005682707
5,2,20,0.2970778001472354
5,2,40,0.3409389001317322
5,0,5,0.3446159998420626
5,0,35,0.3380229000467807
5,0,15,0.35233890009112656
5,2,25,0.32875260012224317
5,2,15,0.23208010010421276
5,0,30,0.34643479995429516
5,0,25,0.3030861997976899
5,2,10,0.3305555998813361
5,0,10,0.3150374998804182
5,2,35,0.3412057999521494
5,2,10,0.04911769996397197
5,0,5,0.18201849982142448
5,0,40,0.2661013000179082
5,0,30,0.3379452000372112
5,2,0,0.31641339999623597
5,2,30,0.30478479992598295
5,2,40,0.3509982000105083
5,0,30,0.3199986000545323
5,0,20,0.30707480013370514
5,2,10,0.21175580006092787
5,2,20,0.30410970002412796
5,0,5,0.29849769989959896
5,2,10,0.3307787000667304
5,2,35,0.32486029993742704
5,2,40,0.36153759993612766
5,2,35,0.199452199973166
5,0,35,0.10133020021021366
5,0,35,0.3421777000185102
5,0,0,0.2730167000554502
5,2,10,0.2921321999747306
5,2,25,0.33145659998990595
5,2,35,0.2959685998503119
5,2,30,0.1265048999339342
5,0,30,0.16210279986262321
5,2,30,0.12109020003117621
5,0,20,0.31318000005558133
5,2,15,0.32073680008761585
5,2,40,0.22144550015218556
5,0,5,0.3490047000814229
5,0,5,0.3098033000715077
5,0,15,0.09229140006937087
5,0,25,0.3278656001202762
5,0,5,0.2926721000112593
5,2,20,0.20337800006382167
5,2,25,0.34756259992718697
5,0,20,0.0572999999858439
5,2,15,0.060416500084102154
5,0,15,0.29684090008959174
5,0,25,0.27459549997001886
5,0,0,0.36960359988734126
5,0,15,0.3110093001741916
5,0,10,0.33263069996610284
5,2,30,0.35268679982982576
5,2,25,0.212614799849689
5,2,5,0.29637920018285513
5,0,5,0.3227681000716984
5,0,30,0.41346700000576675
5,2,10,0.20767669985070825
5,2,0,0.07443729997612536
5,0,10,0.33629109989851713
5,2,0,0.32435639994218946
5,0,15,0.30896939989179373
5,0,30,0.338703699875623
5,2,5,0.3120261998847127
5,0,25,0.2639309000223875
5,0,10,0.3463641998823732
5,2,40,0.36383849987760186
5,2,25,0.11838489980436862
5,2,10,0.3157746000215411
5,0,5,0.3086616999935359
5,0,30,0.3601484999526292
5,2,5,0.3209267999045551
5,2,25,0.30268290010280907
5,2,20,0.09372409991919994
5,0,25,0.3175518000498414
5,2,15,0.21790909999981523
5,2,35,0.25105579989030957
5,0,20,0.337377900024876
5,2,0,0.3005790999159217
5,2,0,0.30127459997311234
5,2,35,0.2593131000176072
5,2,35,0.31721899984404445
5,2,40,0.3436385001987219
5,2,40,0.34485080000013113
5,2,35,0.32204089988954365
5,2,30,0.33624989981763065
5,0,0,0.2961121001280844
5,0,35,0.3118684000801295
5,0,40,0.2600251999683678
5,2,10,0.27132329996675253
5,0,10,0.28802859992720187
5,0,15,0.1732538000214845
5,0,35,0.3643708999734372
5,0,30,0.34865659987553954
5,2,40,0.3547332000453025
5,0,40,0.3302842997945845
5,0,20,0.35480580013245344
5,0,0,0.14495819993317127
5,0,20,0.33736580004915595
5,0,35,0.22311109979636967
5,2,5,0.3088529999367893
5,2,25,0.28822670015506446
5,0,0,0.24496070016175508
5,0,10,0.0999598999042064
5,0,30,0.3166067998390645
5,2,0,0.3181504001840949
5,2,15,0.3127331000287086
5,0,40,0.3485960001125932
5,0,5,0.355122699867934
5,2,30,0.3297942001372576
5,0,20,0.058353699976578355
5,2,20,0.327545200008899
5,2,30,0.34936769981868565
5,0,35,0.4731342000886798
5,0,40,0.32525769993662834
5,2,5,0.2177711999975145
5,2,15,0.2054437999613583
5,2,35,0.358166899997741
5,0,10,0.299462900031358
5,0,30,0.31748359999619424
5,2,25,0.30855630012229085
5,0,40,0.33722230000421405
5,2,15,0.33435460017062724
5,0,40,0.2063302998431027
5,0,0,0.28759519988670945
5,2,30,0.19337889994494617
5,0,0,0.31219849991612136
5,0,25,0.34860519994981587
5,0,35,0.2617529002018273
5,0,10,0.3056240000296384
5,2,20,0.33718879986554384
5,2,20,0.25324070011265576
5,2,0,0.3242428000085056
5,0,0,0.23414050019346178
5,0,25,0.31569880014285445
5,0,20,0.31537629989907146
5,0,0,0.12205869983881712
5,0,15,0.3498348998837173
5,0,25,0.3144242998678237
5,2,25,0.0192650998942554
5,0,5,0.14976599998772144
