Face,Direction,Eccentricity,Reaction Time (s)
1,0,40,0.7341564001981169
3,0,25,0.9637412000447512
1,0,10,1.1891443999484181
1,2,0,0.7966031001415104
3,0,20,1.63593740016222
3,0,15,1.222823399817571
1,0,20,0.9805474001914263
3,0,10,0.8104951998684555
1,2,25,0.8138453999999911
1,2,10,0.7477631999645382
1,2,10,0.6507237998303026
1,2,0,0.6455196000169963
1,2,30,0.8258372000418603
3,2,10,0.5720029000658542
3,0,10,0.6547149999532849
1,2,40,0.8516867998987436
3,2,15,0.66291270009242
1,0,20,0.8141799999866635
1,2,20,0.6977979000657797
3,0,20,0.610629899892956
3,0,0,0.6938668000511825
3,0,10,0.6677473001182079
3,0,25,0.7999625001102686
1,2,40,0.7352919999975711
3,2,5,0.6032072000671178
1,0,10,0.8576106999535114
3,2,40,1.4145869000349194
1,2,40,1.4572261001449078
3,2,15,0.749024200020358
1,0,30,0.7819021998438984
3,0,40,1.1477373000234365
1,2,25,0.8285525999963284
3,2,10,0.6056305000092834
3,0,5,0.5398514999542385
3,2,15,0.6827247999608517
3,0,0,0.46535030007362366
1,0,0,0.5592648000456393
3,2,30,0.8501695999875665
3,0,10,0.5842415001243353
1,0,0,0.608162899967283
3,0,15,0.6357416000682861
1,0,25,0.6918613000307232
1,0,5,0.6795817997772247
1,0,15,0.5311389998532832
3,2,15,0.4732470999006182
1,0,0,0.5013623998966068
1,2,0,0.4992196001112461
1,2,20,0.5772631999570876
1,2,5,0.5345740998163819
1,2,5,0.5240953001193702
1,0,15,0.5582672001328319
3,2,30,0.5865722999442369
1,2,30,0.6333524000365287
3,0,15,0.6601303999777883
1,2,40,0.6353426000569016
1,0,5,0.6941666000057012
1,0,0,0.5031594000756741
1,0,25,0.7177019000519067
3,2,0,0.5102196000516415
3,0,20,0.6262276999186724
1,2,10,0.920500900130719
3,2,25,0.7481458999682218
3,2,15,0.7358401999808848
1,2,35,0.7809343999251723
3,2,35,0.699767799815163
3,2,40,0.6996077999938279
3,2,15,0.5680144999641925
1,2,10,0.6694833999499679
3,2,15,0.6247081998735666
1,2,0,0.590737400110811
3,0,35,1.0673307999968529
3,0,20,0.7115599000826478
1,0,40,0.7544932998716831
1,0,40,0.5952645000070333
3,2,25,0.6100139999762177
1,2,20,0.7930277001578361
1,2,25,0.7739139997866005
1,2,35,0.7028612999711186
3,0,25,0.6091889999806881
3,0,5,0.5300855000969023
3,0,15,0.5794452999252826
3,0,30,0.7425493001937866
1,2,35,0.6724869001191109
1,0,5,0.5350924998056144
1,0,5,0.5108499000780284
3,0,0,0.5168779001105577
3,2,5,0.5567101000342518
3,0,25,0.557487600017339
1,0,35,0.654801300028339
3,2,30,0.592376200016588
1,2,5,0.5669458999764174
1,0,5,0.5437473000492901
3,2,25,0.7823687999043614
1,2,0,0.49456819985061884
1,0,30,0.5431260999757797
1,2,30,0.6720825000666082
1,0,0,0.46862970013171434
1,2,0,0.42989309993572533
1,2,5,0.4651146999094635
3,0,30,0.4946757999714464
1,2,30,0.9318902001250535
1,0,30,0.566758300177753
3,0,25,0.7310138999018818
1,2,10,0.6219407001044601
1,2,0,0.47836649999953806
1,0,10,0.4848327001091093
3,2,5,0.45146699994802475
3,2,10,0.4585921000689268
1,2,35,0.5459049998316914
1,0,35,0.5733900000341237
1,0,15,0.48097870009951293
1,0,40,0.627927899826318
1,0,35,0.5018156999722123
3,2,15,0.524464099900797
1,2,40,0.6843332001008093
1,0,30,0.8025362000335008
1,0,35,0.8665087998379022
3,2,20,0.5065844000782818
1,0,40,0.8076623000670224
3,2,20,0.6097566999960691
1,0,15,0.9692699001170695
1,2,15,0.6539167000446469
1,0,20,0.8047694999258965
3,2,25,0.6425055998843163
3,2,35,0.5422172998078167
3,0,20,0.5659342999570072
3,2,40,0.6736767999827862
3,0,35,0.6047563999891281
1,0,5,0.8532089001964778
1,2,35,0.6378964998293668
1,0,25,0.9235031998250633
3,0,30,0.8988183999899775
3,2,5,0.7242288000416011
3,0,30,0.6165887000970542
3,2,20,0.7565779001452029
3,0,5,0.5588495000265539
3,2,30,0.7615253000985831
1,0,35,0.6505839999299496
3,2,0,0.6789940998423845
3,0,30,1.241959000006318
3,2,20,0.6266603001859039
3,0,0,0.5660527998115867
1,2,0,0.5360148998443037
3,0,5,0.5824118999298662
1,0,20,0.5154824000783265
3,2,20,0.5093580998945981
1,2,30,0.5729388000909239
3,0,35,0.6343127000145614
3,2,10,0.6152651000302285
3,0,25,0.7081586001440883
1,2,20,0.6233483999967575
3,0,30,0.6328573001082987
1,0,15,0.6745952998753637
1,0,10,0.8522540999110788
3,0,10,0.5729140001349151
3,2,30,1.2323797000572085
1,2,40,0.7414786999579519
1,2,35,0.6285109999589622
3,2,5,0.5310488999821246
3,2,15,0.5086648999713361
3,2,20,0.5231596999801695
1,0,0,0.5356451000552624
1,2,25,0.7086541999597102
3,2,5,0.5586949998978525
1,0,20,0.5774498998653144
1,0,10,0.5463591997977346
3,2,35,0.7535138998646289
3,0,35,0.6854987000115216
3,2,35,0.8020645999349654
3,0,40,1.1037965998984873
1,0,15,0.7446959998924285
1,2,25,0.6747638001106679
1,2,25,0.6975757000036538
1,2,10,0.6780508998781443
1,0,25,0.6399849001318216
3,0,40,0.4308803998865187
3,0,35,0.5032658001873642
3,2,40,0.9457465999294072
3,0,40,0.7025693000759929
3,0,40,0.4927375998813659
