Face,Direction,Eccentricity,Reaction Time (s)
15,2,30,1.579762400004256
17,0,0,0.82648319999862
15,2,15,1.4221045000012964
15,0,40,0.9839470000006258
13,0,35,1.5940772000030847
17,0,20,1.5923815999994986
15,0,20,0.9858963000006042
15,0,5,0.6733879000021261
15,2,40,1.4870999999984633
15,0,30,1.844248899993545
15,0,5,0.7402122999992571
15,0,30,1.2795066999970004
13,2,5,0.811171600005764
13,0,25,1.1796373999968637
17,0,0,0.9243430999995326
13,0,20,1.7679272999957902
17,0,0,0.9566523000030429
17,2,15,1.1603889000034542
15,2,10,0.6422991000072216
15,2,20,0.7842717999956221
17,0,35,0.9936445999992429
17,2,0,0.8803460999988602
15,0,5,0.7470488999970257
15,2,10,0.7979284999964875
15,2,25,1.800862700001744
17,2,0,0.7413989000051515
13,0,25,1.1397808999972767
13,2,20,0.952961700000742
17,0,35,1.3941278999991482
17,0,40,1.29632429999765
13,2,10,0.8494043000027887
13,2,35,1.431333699998504
13,0,15,0.6801780000023427
13,2,10,0.9462738000001991
13,2,5,0.6103285999997752
13,2,30,1.132951999999932
15,2,30,1.6617126999990433
13,0,25,0.9978526999984751
13,0,0,0.6281231999964803
15,2,40,0.8912800000034622
13,0,5,0.7331491000004462
17,2,0,0.815832499996759
13,2,25,0.7960524000009173
15,0,15,0.9002241000052891
17,2,0,0.8206515000056243
15,2,15,0.8462597999969148
13,0,25,0.750910800001293
13,0,20,0.6920500999985961
13,0,10,0.6169870000012452
17,0,5,0.9162037999994936
17,0,10,1.3275668999995105
13,0,20,1.030261599997175
17,0,40,1.9142259000000195
13,2,0,0.7394246999974712
15,0,35,1.218458199997258
13,2,20,0.9324714000031236
13,2,25,0.8842345999946701
17,0,40,1.444040700000187
13,2,10,0.6176932000016677
15,2,5,0.8433178000050248
15,2,20,1.0386713000043528
15,0,25,0.8815430000031483
15,0,25,0.769023400003789
17,0,35,0.9906388000017614
13,2,5,0.6527084000044852
17,2,0,0.744889300003706
13,2,35,0.9322492999999668
13,2,30,0.962178000001586
17,0,30,1.4369032000031439
15,0,10,0.8135043000002042
15,2,35,1.2565510000058566
15,2,10,0.6574247000025935
13,2,15,0.8320093000002089
15,0,5,0.8473675999994157
15,2,20,1.0585628999979235
15,2,5,0.6683175999933155
13,2,15,0.9893996999962837
15,2,40,1.4502108000015141
15,2,5,0.6722177999981795
17,0,0,0.6166733999998542
13,0,5,0.7011318000004394
13,0,30,0.9533546000020579
13,2,20,0.7433968000041205
17,0,20,0.8189168000026257
15,2,30,1.1279531999971368
17,2,15,0.9444183999949018
17,2,20,0.7470291999998153
17,2,25,0.7716193000014755
15,0,40,1.080746799998451
15,2,35,1.0803697999945143
15,0,5,0.8034163999982411
15,0,10,0.7601781999983359
15,2,5,0.6000626999957603
17,0,25,1.1093053000004147
15,2,35,1.0849809000064852
15,0,0,0.7767779999994673
17,2,25,0.7879904000001261
15,2,5,0.663101900005131
17,2,35,0.7383354999983567
15,2,0,0.7410873000044376
15,0,25,0.9003917000009096
17,2,40,1.1024907999963034
13,2,0,0.7610954999981914
13,0,10,0.7001251000037882
15,2,0,0.6351853000014671
15,2,20,0.8235199999980978
13,2,5,0.7313587999960873
17,0,40,1.025495999994746
13,2,30,1.2284615999960806
17,0,15,1.2454338999959873
13,2,35,0.942625700001372
13,2,0,0.6213260000004084
17,0,35,1.4720358999984455
15,2,15,0.6333101000054739
17,0,10,0.7372930999990785
17,2,30,0.9824138000039966
13,2,20,0.6386648999978206
13,0,15,0.9342983000024105
13,2,25,0.8641317000001436
13,2,10,0.5713603000040166
13,0,5,0.531140699997195
17,0,5,0.8223412000006647
17,2,30,1.417635199999495
13,0,20,0.8443501000001561
17,0,0,0.5986789999951725
13,0,0,0.6579552999974112
13,0,0,0.6096656000008807
17,2,30,0.9783125999965705
17,2,15,0.8770663000032073
13,0,30,0.9169572000027983
17,0,0,0.7453574999963166
17,0,15,0.7742417000044952
17,2,10,0.8819253000037861
13,2,40,1.254284499998903
17,2,15,1.288470999999845
17,0,10,0.8675013000029139
13,0,10,0.7772879999974975
13,0,40,1.1605407999959425
15,0,30,1.2596177000013995
17,2,5,0.7075292000008631
17,2,15,0.9081015999981901
13,0,30,0.8476212000023224
15,0,15,0.73780799999804
17,0,20,0.7784553000019514
17,2,10,0.8952464000030886
15,0,20,0.814935800000967
17,0,25,0.9726020000016433
17,2,35,1.2521040999999968
15,0,30,0.9621188000019174
15,2,25,0.9063154999967082
13,0,15,0.8447897000005469
17,0,15,1.1117337999967276
13,2,40,0.7964225999967312
15,2,30,1.2457186000028742
15,0,35,1.0680085999993025
13,2,40,0.8681389999983367
15,0,25,1.0256024999980582
17,0,10,0.8957433999967179
15,2,25,0.907768600001873
15,0,35,0.9195643999992171
13,2,25,0.8077601999975741
13,2,40,0.7755729000054998
17,0,15,1.0193429000064498
15,0,30,1.212390000000596
13,0,10,0.8399572999987868
13,0,30,0.8311745999963023
13,2,35,0.903161000002001
15,2,10,0.8412657000008039
15,2,40,1.527951900003245
17,2,20,1.0755712000027415
15,0,40,1.7554021999967517
17,2,40,1.3162893000044278
17,0,15,1.053561600005196
15,2,35,1.26681460000691
17,2,25,0.8228450000024168
15,0,35,1.3487759999989066
17,0,40,1.5718688999986625
17,0,20,1.4807045999987167
15,0,40,1.1450872999994317
15,0,35,0.9217314999987138
