Face,Direction,Eccentricity,Reaction Time (s)
19,0,25,0.912877099995967
21,0,40,0.9384046999985003
19,0,15,0.9400385999979335
19,2,40,0.7747954000005848
21,2,15,0.686925699999847
21,0,20,0.7618321999980253
19,0,40,0.8461861999967368
21,2,5,0.6588334000043687
21,0,30,0.8237802000003285
23,2,0,0.5944776000033016
21,2,15,0.7511881000027643
23,0,5,0.7077939999944647
23,2,35,0.7829149999961373
21,0,15,0.730489800000214
23,2,40,0.865112899999076
23,2,40,0.7620727999965311
21,0,0,0.6720671999937622
21,2,0,0.7070173000029172
23,0,5,0.7005071000021417
23,0,35,1.110275700004422
19,2,10,0.7697986000057426
19,0,40,0.8378469999952358
19,0,5,0.6985506000055466
21,0,20,0.6229233000049135
21,0,15,1.1702941000039573
19,2,0,0.8116362000000663
19,2,40,1.0055881999942358
23,2,0,0.7191634999981034
23,2,30,1.5475218999999925
21,0,30,1.0477475000006962
21,2,15,0.8084846000056132
23,2,15,0.7715373000028194
23,2,25,0.8028771000026609
23,0,40,0.7317731000002823
19,2,15,0.8411164999997709
23,0,15,0.7393532999994932
19,2,5,0.7452140000023064
21,0,10,0.7365376999950968
19,2,20,0.7987229999998817
19,2,15,0.8629985000006855
19,0,10,0.6629123999955482
19,0,20,0.6773488000035286
21,2,20,0.8269770999977482
19,2,25,0.7538312999968184
21,2,25,0.7757308000000194
19,2,20,0.856994499998109
19,2,20,0.9083778999993228
23,0,20,0.8407252999968478
21,2,10,0.6969538999983342
19,0,5,0.6044793999972171
19,2,30,0.8676898999983678
23,0,10,0.858640699996613
23,2,30,0.8312540000042645
21,0,30,0.9042527999990853
23,2,40,0.7491909000018495
19,0,5,0.6872893999970984
23,0,20,0.669510600004287
21,0,20,0.8942081999994116
23,2,40,0.7372104000023683
23,0,5,0.7388121999974828
19,0,35,0.8554842000012286
19,0,10,0.9030892000009771
23,0,20,0.6902196000010008
23,2,5,0.6887100000021746
21,2,35,1.0280649999986053
19,0,40,0.8517191999999341
23,2,0,0.6752909000060754
21,0,25,0.8013329000023077
19,2,10,0.8073446999987937
19,2,30,0.9019428999963566
19,0,25,0.841427899998962
23,0,30,0.8981817000021692
19,0,0,0.626839899996412
23,2,25,0.6613577999960398
19,2,0,0.6387123999957112
19,0,5,0.5971731999961776
19,0,20,0.7479711999985739
23,0,15,0.6661698000025353
19,2,15,0.6825590000007651
23,0,15,0.8276735000035842
23,0,30,0.8410563999932492
21,0,35,0.8424486000003526
19,2,20,0.8500127000006614
23,0,5,0.7085567000031006
23,0,35,0.8573931999999331
21,2,15,0.7988409999961732
19,2,5,0.7294005999938236
21,2,40,0.8674485000010463
21,2,30,0.7259063000019523
23,0,30,0.737451200002397
23,0,10,0.7111531999980798
23,2,0,0.5498663999969722
21,0,0,0.7096897000010358
19,0,30,0.7428590999988955
23,0,35,0.757942299998831
23,2,35,0.903760199995304
19,0,40,0.8165135000017472
19,2,35,0.7057062000021688
23,2,5,0.6762881000031484
23,2,35,0.6991109000009601
23,2,10,0.5714518000022508
19,0,15,0.683057900001586
19,0,25,0.7266639000008581
21,0,0,0.6784622000050149
21,2,0,0.6476334999970277
19,2,0,0.6741871999984141
23,2,40,0.870535199996084
23,0,25,0.8131388000037987
23,2,25,0.8518046000026516
19,2,10,0.7663468000027933
19,0,25,0.7682041000007303
23,0,10,0.7020807999942917
23,0,0,0.6735304000030737
19,2,5,0.6539763000037055
23,0,30,0.9170101000054274
21,0,25,0.703897200000938
19,2,25,0.6708751000041957
21,0,0,0.6858760000031907
19,2,30,0.8691720000060741
21,0,5,0.7641010000006645
23,0,30,0.7901146000003791
21,0,10,0.9593047000016668
23,0,40,0.8300711000047158
21,2,5,0.6591872999997577
21,2,20,0.698042500000156
23,0,40,0.7864135000054375
23,0,15,0.6704637000002549
19,2,10,0.7971072000000277
21,2,40,0.7994158000001335
21,2,20,0.7196478999976534
21,2,15,0.5656286000012187
23,0,0,0.6409170999977505
19,0,25,0.86004139999568
21,2,35,0.8648656000004848
21,2,35,0.6320698999988963
19,2,40,0.9535221999976784
21,0,0,0.6728521000040928
21,2,0,0.5608626999965054
23,0,30,0.8198456999962218
21,0,35,0.8487527000033879
19,0,40,1.0512091999989934
19,2,20,0.7597167000058107
21,2,35,0.6701668000023346
23,0,35,0.8460517000057735
23,0,40,0.9236307999963174
21,2,25,0.7573646000018925
19,2,30,0.7937320000055479
19,0,10,0.5802298999988125
21,0,20,0.7614893999998458
19,2,5,0.6224824999953853
19,2,20,0.63090010000451
23,0,15,0.7233444000012241
21,2,30,1.1565860000046086
21,2,10,0.5880323000019416
21,2,5,0.5856964999984484
19,0,35,0.6343009000047459
23,2,20,0.5448565999977291
19,2,35,0.6246385999984341
19,2,25,0.6558895000052871
21,0,25,0.7298146000030101
19,0,20,0.889418899998418
19,2,10,0.6453275000021677
21,0,10,0.620994700002484
23,0,5,0.6702370999992127
23,2,25,0.6933501000021352
23,0,25,0.7072628999958397
21,2,30,0.7366514000023017
23,0,15,0.6642260000007809
21,2,10,0.8360398000004352
19,0,35,0.813687599998957
21,2,5,0.6779968999981065
23,2,25,0.63399699999718
21,0,0,0.6308389000041643
23,0,0,0.686632600001758
19,2,10,0.8367186999967089
21,2,30,0.8283994000012171
19,2,15,0.7185663000054774
23,0,10,0.7718670000031125
19,2,35,0.8258435000025202
23,0,35,0.6933847000036621
