Letter,Direction,Eccentricity,Reaction Time (s)
E,2,0,0.46236529999987397
E,2,10,0.5372256999999081
E,0,40,0.7674281999998129
P,0,40,0.8017391000003045
B,0,10,0.5446689999998853
B,0,10,0.4924865999996655
B,0,30,0.44521009999971284
P,0,40,0.6486221999998634
P,2,10,0.5314267000003383
E,2,20,0.6460452999999688
P,0,0,0.5956268999998429
P,2,40,0.6201151000000209
E,0,20,0.5785660999999891
B,0,30,0.6441875000000437
E,2,30,0.5647914000001037
E,2,40,0.5377684000000045
B,2,30,0.7052364999999554
B,0,40,0.7782088000003569
B,0,0,0.4811461999997846
E,2,30,0.6138536999997086
E,2,20,0.6845723000001271
E,0,10,0.49110129999962737
E,2,0,0.4461710000000494
B,0,10,0.595219299999826
P,2,10,0.646318699999938
E,0,20,0.5308512999999948
E,2,30,0.47859840000000986
P,2,0,0.563259399999879
B,0,40,0.5175248999998985
E,0,0,0.5378782000002502
B,2,10,0.5990661000000728
B,2,40,0.6217008000003261
B,2,30,0.6652005999999346
P,0,0,0.6168551999999181
E,2,10,0.5346369999997478
P,0,10,0.6090303000000858
B,0,10,0.5937504999997145
P,0,0,0.5488603000003422
B,0,40,0.6903618999999708
E,2,30,0.5624611000002915
B,2,10,0.5835760999998456
B,0,30,0.4914978000001611
E,2,10,0.5316181000002871
E,2,20,0.5233713000002354
B,2,40,0.5521873000002415
P,0,40,0.6936181999999462
E,0,10,0.5990468999998484
B,2,10,0.5539499000001342
E,0,30,0.5438348000002406
P,0,10,0.6934737999999925
B,0,20,0.5985892000003332
B,2,40,0.5670117999998183
E,2,40,0.6291842000000543
B,2,20,0.6037627999999131
B,2,20,0.6727365000001555
E,2,40,0.5767839999998614
E,2,10,0.6358178999998927
B,0,20,0.6143858000000364
E,2,40,0.6523803999998563
B,2,0,0.5811274000002413
P,2,30,0.619479500000125
P,0,10,0.5553583000000799
B,0,0,0.5563938000000235
P,0,0,0.5746079000000464
B,2,30,0.7187794000001304
P,0,30,0.6608314000000064
E,0,30,0.5928493999999773
P,2,30,0.7253258000000642
P,0,20,0.5283905000001141
P,2,0,0.4629429000001437
P,2,0,0.5598777999998674
E,0,30,0.5234089000000495
B,0,20,0.6401685000000725
B,2,30,0.7833644999996068
E,2,20,0.7935380999997506
E,2,40,0.6350376999998844
E,2,20,0.6129205000002003
E,2,0,0.47747019999997065
E,2,20,0.5565102999998999
B,2,20,0.5109938000000511
E,2,40,0.5794846000003417
P,0,30,0.6292911000000458
E,0,40,0.5998585999996067
B,0,20,0.5801261000001432
B,0,20,0.6241941999996925
P,0,10,0.5826370999998289
B,0,0,0.6108509000000595
E,2,0,0.6008209999999963
E,0,20,0.587562600000183
E,2,10,0.4385161000000153
E,2,0,0.43683740000005855
B,0,0,0.6271185999999034
B,0,30,0.6636217999998735
B,0,0,0.5838095999997677
P,0,40,0.7349107999998523
E,0,30,0.6297958000000108
B,0,20,0.6770027000002301
B,2,0,0.5641432000002169
E,2,20,0.5617879999999786
E,0,40,0.44102469999961613
