Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.49433010001666844
0.0,2,0,0.2982731999945827
0.0,2,5,0.6432661999715492
0.0,2,10,0.4112877000006847
0.0,2,20,0.2150340999942273
0.0,2,0,0.28341370000271127
0.0,2,0,0.2405293000047095
0.0,2,30,0.23336559999734163
0.0,2,5,0.26286610000533983
0.0,2,10,0.2435280000208877
0.0,2,30,0.25584060000255704
0.0,2,35,0.2996868999907747
0.0,2,20,0.20329380000475794
0.0,2,15,0.2548323000082746
0.0,2,25,0.2415801999741234
0.0,2,30,0.23978709999937564
0.0,2,20,0.26302000001305714
0.0,2,5,0.27212259999942034
0.0,2,20,0.2383278000052087
0.0,2,40,0.19671669998206198
0.0,2,10,0.28361909999512136
0.0,2,30,0.30100899998797104
0.0,2,10,0.2752176999929361
0.0,2,40,0.22450840001692995
0.0,2,35,0.25700560002587736
0.0,2,35,0.2702763000270352
0.0,2,5,0.30676669999957085
0.0,2,15,0.0808979999856092
0.0,2,25,0.3171089999959804
0.0,2,40,0.314094900037162
0.0,2,30,0.34198780002770945
0.0,2,5,0.2521973999682814
0.0,2,35,0.38426520000211895
0.0,2,30,0.28388030000496656
0.0,2,25,0.26197900000261143
0.0,2,20,0.23972870002035052
0.0,2,0,0.22583249997114763
0.0,2,15,0.24819390004267916
0.0,2,35,0.2915657000266947
0.0,2,10,0.2852283000247553
0.0,2,35,0.30805759999202564
0.0,2,40,0.2814727000077255
0.0,2,40,0.26961390004726127
0.0,2,20,0.24767690000589937
0.0,2,5,0.25612809997983277
0.0,2,5,0.24443150003207847
0.0,2,10,0.1354488999932073
0.0,2,25,0.31102399999508634
0.0,2,0,0.32230040000285953
0.0,2,25,0.25816039997152984
0.0,2,10,0.2813708999892697
0.0,2,20,0.29504050000105053
0.0,2,15,0.26069329999154434
0.0,2,10,0.3220972999697551
0.0,2,15,0.31077330000698566
0.0,2,15,0.23764009994920343
0.0,2,40,0.2575479000224732
0.0,2,40,0.3261924000107683
0.0,2,40,0.2938035000115633
0.0,2,0,0.4591417000046931
0.0,2,15,0.28628229995956644
0.0,2,30,0.2730864000041038
0.0,2,30,0.27241519995732233
0.0,2,0,0.2506201000069268
0.0,2,25,0.26882570004090667
0.0,2,0,0.3041957999812439
0.0,2,15,0.35683829995105043
0.0,2,15,0.27194890001555905
0.0,2,20,0.3698656000196934
0.0,2,10,0.28625350003130734
0.0,2,35,0.2120812000357546
0.0,2,20,0.25024990004021674
0.0,2,35,0.24688290001358837
0.0,2,25,0.5567149000125937
0.0,2,15,0.25914759997976944
0.0,2,25,0.23887190001551062
0.0,2,25,0.2523716999567114
0.0,2,20,0.2360122000100091
0.0,2,0,0.24730410001939163
0.0,2,40,0.2650199999916367
0.0,2,30,0.3032777999760583
0.0,2,35,0.2627195999957621
0.0,2,5,0.2507865999941714
0.0,2,25,0.272361200011801
0.0,2,10,0.29258629999822006
0.0,2,5,0.30654870002763346
0.0,2,35,0.2656407000031322
0.0,2,30,0.3263472000253387
0.0,2,40,0.29072019999148324
0.0,2,5,0.3756483999895863
0.0,0,20,0.423890600039158
0.0,0,0,0.41489269997691736
0.0,0,10,0.26837499998509884
0.0,0,40,0.23755860002711415
0.0,0,20,0.2773299999535084
0.0,0,5,0.28449109999928623
0.0,0,35,0.293723700044211
0.0,0,30,0.2348902000230737
0.0,0,30,0.04490319994511083
0.0,0,40,0.33302889997139573
0.0,0,40,0.276783199980855
0.0,0,40,0.2747042000410147
0.0,0,10,0.26714670000365004
0.0,0,20,0.261650100001134
0.0,0,35,0.2841943000094034
0.0,0,30,0.26336190005531535
0.0,0,25,0.2739327999879606
0.0,0,30,0.3401122000068426
0.0,0,30,0.23911379999481142
0.0,0,20,0.39321200002450496
0.0,0,15,0.24171580001711845
0.0,0,5,0.30688910000026226
0.0,0,15,0.26386220002314076
0.0,0,5,0.2789589000167325
0.0,0,0,0.4703542999923229
0.0,0,10,0.2157349999761209
0.0,0,5,0.25145149999298155
0.0,0,5,0.32146750000538304
0.0,0,15,0.30024809995666146
0.0,0,15,0.24571430002106354
0.0,0,15,0.3334657000377774
0.0,0,0,0.22364979999838397
0.0,0,35,0.2762838000198826
0.0,0,40,0.2304401000146754
0.0,0,15,0.25250629999209195
0.0,0,0,0.15232420002575964
0.0,0,5,0.2172112999833189
0.0,0,20,0.24544239998795092
0.0,0,40,0.2896059000049718
0.0,0,30,0.27253239997662604
0.0,0,10,0.28940539999166504
0.0,0,25,0.23139309999532998
0.0,0,0,0.2938986000372097
