Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.5268024999531917
0.0,0,25,0.631789300008677
0.0,0,25,0.43423299997812137
90.0,0,30,0.47703060001367703
0.0,0,15,0.4856660999939777
0.0,0,10,0.45871989999432117
90.0,0,15,0.49597330001415685
90.0,0,20,0.4117590999812819
0.0,0,35,0.5830002000438981
0.0,0,35,0.5019128000130877
0.0,0,5,0.617354099988006
0.0,0,5,0.4497020000126213
0.0,0,30,0.45166930003324524
0.0,0,15,0.39191259996732697
90.0,0,40,0.6734057000139728
90.0,0,20,0.4628489000024274
0.0,0,35,0.5766603000229225
90.0,0,10,0.508281700022053
90.0,0,20,0.4438858000212349
0.0,0,10,0.4888523999834433
90.0,0,20,0.3325334000401199
90.0,0,40,0.5047285999753512
90.0,0,25,0.4361331000109203
0.0,0,15,0.5469751000055112
90.0,0,35,0.436268099991139
90.0,0,10,0.3942455999786034
0.0,0,0,0.430718399991747
0.0,0,5,0.48807249998208135
90.0,0,0,0.533774400013499
0.0,0,10,0.5401102000032552
0.0,0,40,0.6648329999879934
0.0,0,15,0.4513944999780506
0.0,0,5,0.48940500000026077
90.0,0,30,0.48716889997012913
90.0,0,40,0.437097400019411
90.0,0,30,0.4594703000038862
90.0,0,25,0.327004799968563
90.0,0,30,0.3757905999664217
0.0,0,15,0.5284733999869786
0.0,0,5,0.5404202999779955
0.0,0,20,0.5192799999495037
0.0,0,15,0.4834368000156246
0.0,0,0,0.44969049998326227
0.0,0,30,0.61731930001406
90.0,0,20,0.5640292999451049
0.0,0,35,0.5933710999670438
90.0,0,10,0.48621939995791763
90.0,0,15,0.5346021999721415
0.0,0,5,0.5897669999976642
0.0,0,30,0.45189560001017526
0.0,0,20,0.44575169996824116
0.0,0,35,0.4071781999664381
0.0,0,15,0.42438609997043386
0.0,0,0,0.410913800005801
90.0,0,25,0.4960700999945402
0.0,0,30,0.5575104999588802
90.0,0,0,0.4959495000075549
90.0,0,20,0.4934881000081077
0.0,0,15,0.5143569999490865
90.0,0,0,0.4689300000318326
0.0,0,40,0.6903374000103213
0.0,0,10,0.5833001999999397
90.0,0,35,0.4306840999634005
90.0,0,40,0.4647625000216067
90.0,0,10,0.46957029995974153
0.0,0,5,0.4422830000403337
90.0,0,10,0.5174546999623999
0.0,0,35,0.5845439999829978
90.0,0,30,0.7095986000495031
90.0,0,25,0.5085206999792717
90.0,0,10,0.43340639997040853
90.0,0,0,0.4530430000158958
90.0,0,20,0.49399550002999604
90.0,0,40,0.4821170999784954
0.0,0,40,0.605799000011757
0.0,0,20,0.509086899983231
0.0,0,25,0.3955304999835789
0.0,0,5,0.6759355000103824
0.0,0,5,0.3622995999758132
90.0,0,40,0.5739697000244632
0.0,0,25,0.6515646000043489
90.0,0,25,0.4213160999934189
0.0,0,5,0.48296999995363876
90.0,0,35,0.6850018000113778
90.0,0,30,0.5497707999893464
0.0,0,40,0.6202715000254102
90.0,0,0,0.5179425000096671
0.0,0,25,0.5260600000037812
90.0,0,0,0.5001101000234485
0.0,0,35,0.5478497000294738
90.0,2,25,0.5835751999984495
90.0,2,30,0.4913589999778196
90.0,2,5,0.48373569996329024
0.0,2,25,0.47066970000742003
90.0,2,0,0.39443079999182373
90.0,2,10,0.4388684000005014
0.0,2,5,0.45206969999708235
90.0,2,20,0.4587094000307843
90.0,2,0,0.4150343000073917
90.0,2,10,0.4231421999866143
90.0,2,40,0.4691854999982752
90.0,2,30,0.4284007999813184
90.0,2,20,0.4467370000202209
0.0,2,35,0.5884138999972492
