Face,Direction,Eccentricity,Reaction Time (s)
21,2,10,0.7311080000072252
23,2,25,0.8084106000023894
21,2,15,0.7622397000086494
21,2,10,0.544671899988316
23,2,15,0.7429321999952663
21,2,15,0.7005663000163622
23,2,10,0.7452312000095844
19,2,40,1.5872133999946527
21,2,30,0.8907283000007737
21,2,5,0.6768952999846078
23,2,20,0.8617962999851443
23,2,5,0.7728061999951024
19,2,15,0.7921195999952033
23,2,25,0.8036334000062197
21,2,15,0.613632399996277
19,2,5,0.6941457999928389
21,2,15,0.7530499999993481
21,2,5,0.8083651000051759
19,2,10,0.6339170999999624
23,2,20,0.8619561000086833
19,2,25,0.8623250999953598
23,2,35,0.8714666999876499
21,2,30,0.8671763000020292
19,2,25,0.7182290999917313
19,2,35,1.016436900012195
23,2,5,0.7293224000022747
23,2,30,0.8870075999875553
19,2,40,1.0105695000092965
19,2,0,0.7033969000040088
23,2,10,0.7546511999971699
19,2,15,0.6305957000004128
19,2,0,0.5919487999926787
21,2,25,0.8289474000048358
19,2,35,1.0199732000182848
19,2,10,0.7524428000033367
19,2,10,0.6528507999901194
23,2,0,0.5970938999962527
19,2,10,0.60406400001375
21,2,25,0.8949039000144694
19,2,40,0.9453209999774117
23,2,20,0.8497590000042692
23,2,10,0.8220672000024933
21,2,20,0.7845236999855842
23,2,25,0.7737046000256669
23,2,25,0.6120163000014145
21,2,10,0.6835392999928445
23,2,40,0.9825536000134889
19,2,35,0.8713764999993145
23,2,35,0.7633640999847557
19,2,35,0.8930627000227105
21,2,35,0.6391822999867145
21,2,25,0.7590525999839883
21,2,0,0.5686622000066563
21,2,0,0.42837300000246614
19,2,20,0.7425035999913234
21,2,25,0.8248250000178814
21,2,35,0.676727000012761
21,2,40,0.7196196999866515
19,2,20,0.7785947000083979
23,2,40,0.9906864000076894
19,2,20,0.8838948000047822
23,2,5,0.6226297000248451
21,2,20,0.7037632999999914
23,2,30,0.8651146999909543
21,2,40,1.185946799989324
23,2,30,0.837180200003786
19,2,30,0.8442424999957439
21,2,40,0.7422129000187851
19,2,30,0.8192284999822732
23,2,30,0.780312299990328
23,2,0,0.8982221999904141
19,2,15,0.7164286999905016
21,2,30,0.6443696000205819
19,2,40,0.8333771999750752
21,2,0,0.594949300022563
23,2,30,0.8602711999847088
19,2,5,0.7713402999797836
21,2,5,0.745104799978435
19,2,0,0.6403917999996338
21,2,5,0.5601775999821257
21,2,20,0.6245094000187237
19,2,0,0.7195302000036463
21,2,15,0.7552763000130653
23,2,15,0.6939298000070266
19,2,40,0.9455017000145745
19,2,35,1.2945220000110567
21,2,5,0.6822019999963231
19,2,0,0.8046638999949209
21,2,35,0.9902695999771822
23,2,20,0.7834430999937467
19,0,10,1.1986650000035297
19,0,20,0.7381918999890331
19,0,40,0.9053904000029434
19,0,35,0.7742343000136316
21,0,15,0.8499323000141885
23,0,30,0.7280695000081323
23,0,30,0.582036000007065
23,0,35,0.6101193000213243
19,0,20,0.8135125999979209
23,0,35,0.6608203999930993
21,0,40,0.9008693000068888
19,0,35,0.9097713000082877
21,0,40,0.7530171000107657
21,0,20,0.7517179000133183
23,0,10,0.687466300005326
23,0,40,0.7770394000108354
23,0,0,0.5285420999862254
19,0,30,0.856802800000878
19,0,25,0.5516899999929592
23,0,10,0.6151688999962062
23,0,10,0.48455930000636727
19,0,30,0.8165480000025127
19,0,15,0.741920400003437
23,0,20,0.576448400010122
21,0,35,0.724114600016037
21,0,30,0.6170075999980327
19,0,5,0.6976082999899518
19,0,25,0.850934900023276
19,0,15,0.7728585999866482
23,0,25,0.7707828999846242
23,0,5,0.5996619999932591
19,0,0,0.664177099999506
21,0,30,0.7402487999934237
19,0,20,0.8181755999976303
19,0,40,0.8560187999974005
23,0,15,0.6021113000169862
23,0,15,0.6361704999872018
19,0,0,0.6100689999875613
19,0,5,1.1768573999870569
23,0,10,0.7841128000000026
19,0,5,0.6604961999983061
19,0,0,0.5791405999916606
21,0,15,0.6490945999976248
23,0,15,0.7055177000002004
19,0,20,0.6718181000032928
21,0,0,0.5699480999901425
19,0,40,0.9005146000126842
21,0,20,0.6604823999805376
21,0,15,0.6158604000229388
19,0,0,0.6466619000129867
19,0,15,0.7357793000119273
19,0,0,0.7168044999998529
23,0,25,0.7792301000154112
23,0,30,0.6559106000058819
21,0,25,0.6627434999973048
21,0,35,0.6429823999933433
23,0,5,0.6957503000157885
23,0,10,0.5107766000146512
19,0,35,0.8359853999863844
21,0,10,0.6009118999936618
23,0,20,0.6944503999839071
23,0,40,0.7270331000036094
19,0,40,0.8213366999989375
21,0,5,0.7333381999924313
19,0,0,0.760230700019747
21,0,35,0.9271929000096861
21,0,25,0.8270321000018157
21,0,5,0.5474131999944802
21,0,20,0.5911940999794751
23,0,5,0.7048509999876842
23,0,30,0.6752310999727342
19,0,5,0.6078687999979593
23,0,25,0.6862231999984942
23,0,10,0.5235417000076268
23,0,10,0.8389241000113543
23,0,30,0.7416725999792106
19,0,15,0.643936800013762
19,0,10,0.6552464999840595
19,0,20,0.5680933000112418
19,0,40,1.0875517000094987
21,0,25,0.7248461999988649
19,0,40,0.7889178000041284
19,0,30,0.6294043000089005
21,0,25,0.6062135999964084
23,0,0,0.8719278000062332
19,0,25,0.7927486000116915
23,0,35,0.7880425000039395
21,0,0,0.8985265000083018
19,0,5,0.6694882999872789
19,0,35,0.6058049999992363
