Face,Direction,Eccentricity,Reaction Time (s)
5,0,20,0.2960582000669092
5,0,10,0.3193741000723094
5,0,20,0.264085799921304
5,0,0,0.246280400082469
5,0,0,0.2512952999677509
5,0,30,0.23280559992417693
5,0,20,0.24161919998005033
5,0,10,0.2805157001130283
5,0,0,0.3138399999588728
5,0,5,0.2777269999496639
5,0,15,0.3036613001022488
5,0,40,0.2833095001988113
5,0,10,0.2859414000995457
5,0,30,0.26143419998697937
5,0,0,0.25999759999103844
5,0,15,0.26557120005600154
5,0,10,0.39727710001170635
5,0,25,0.29757869988679886
5,0,35,0.27484910003840923
5,0,0,0.27392100007273257
5,0,0,0.2845989998895675
5,0,5,0.2548942998982966
5,0,20,0.26129779987968504
5,0,40,0.23901739995926619
5,0,15,0.27457170002162457
5,0,5,0.1665022000670433
5,0,40,0.28966339980252087
5,0,15,0.26962479995563626
5,0,20,0.2954967000987381
5,0,25,0.23908139998093247
5,0,35,0.29651269991882145
5,0,30,0.2849131999537349
5,0,30,0.3014885999727994
5,0,30,0.2359182999935001
5,0,25,0.29098099982365966
5,0,0,0.29876550007611513
5,0,30,0.31645050016231835
5,0,25,0.2873570001684129
5,0,25,0.2560582999140024
5,0,5,0.3387105001602322
5,0,10,0.2543013000395149
5,0,10,0.279096300015226
5,0,35,0.28197759995236993
5,0,5,0.2946934001520276
5,0,30,0.3072485998272896
5,0,10,0.27277490007691085
5,0,35,0.2887159001547843
5,0,15,0.3035275998990983
5,0,15,0.2852781000547111
5,0,30,0.2742278999648988
5,0,40,0.27908500004559755
5,0,35,0.28045389987528324
5,0,20,0.4320892998948693
5,0,20,0.29080799990333617
5,0,40,0.282567499903962
5,0,15,0.2248525999020785
5,0,0,0.30963630019687116
5,0,35,0.27208380005322397
5,0,40,0.30967860016971827
5,0,15,0.2855163000058383
5,0,5,0.31305520003661513
5,0,40,0.2561007000040263
5,0,10,0.2950009999331087
5,0,35,0.2919002000708133
5,0,0,0.3233449999243021
5,0,25,0.23909370019100606
5,0,35,0.29695920017547905
5,0,35,0.24493249994702637
5,0,40,0.21282180002890527
5,0,5,0.25711530004628
5,0,15,0.2792565000709146
5,0,5,0.28463169978931546
5,0,30,0.2807487000245601
5,0,10,0.30455100000835955
5,0,30,0.2223841999657452
5,0,40,0.2777176999952644
5,0,20,0.30990149988792837
5,0,10,0.27204550011083484
5,0,5,0.2828740000259131
5,0,20,0.23485279991291463
5,0,20,0.26732140011154115
5,0,25,0.2661813001614064
5,0,25,0.28406329988501966
5,0,25,0.2655325001105666
5,0,5,0.25102910003624856
5,0,15,0.2291319000069052
5,0,25,0.22596920002251863
5,0,40,0.28286270005628467
5,0,0,0.20670989993959665
5,0,35,0.3041422001551837
5,2,35,0.27613990008831024
5,2,20,0.24723770003765821
5,2,10,0.3099575999658555
5,2,0,0.35890639992430806
5,2,25,0.2298179001081735
5,2,15,0.28592319996096194
5,2,35,0.22829369991086423
5,2,30,0.2483201001305133
5,2,10,0.38259429996833205
5,2,40,0.23834109981544316
5,2,0,0.32280860003083944
5,2,25,0.2787039999384433
5,2,15,0.2527497000992298
5,2,25,0.20866360003128648
5,2,30,0.2547761001624167
5,2,30,0.2766710000578314
5,2,10,0.2421017000451684
5,2,35,0.20622140006162226
5,2,20,0.29905210016295314
5,2,10,0.24418279994279146
5,2,30,0.2888634998816997
5,2,15,0.0761355001013726
5,2,25,0.3135842999909073
5,2,5,0.27699240017682314
5,2,5,0.38407929986715317
5,2,20,0.2709387999493629
5,2,10,0.3243295999709517
5,2,30,0.2200948998797685
5,2,0,0.2634749000426382
5,2,35,0.2994280999992043
5,2,20,0.2841918000485748
5,2,35,0.3279214999638498
5,2,40,0.2811885999981314
5,2,40,0.28503990010358393
5,2,30,0.2755832001566887
5,2,25,0.2713669000659138
5,2,30,0.3486265998799354
5,2,40,0.2885118001140654
5,2,25,0.2632893999107182
5,2,35,0.29747250000946224
5,2,0,0.2975870999507606
5,2,35,0.29669840005226433
5,2,35,0.28269740007817745
5,2,35,0.27938429987989366
5,2,20,0.025159399956464767
5,2,0,0.3101349000353366
5,2,40,0.3405695999972522
5,2,10,0.3190856999717653
5,2,15,0.274411000078544
5,2,40,0.29881049995310605
5,2,5,0.29792420007288456
5,2,10,0.3006044998764992
5,2,40,0.3022648000624031
5,2,15,0.29268900002352893
5,2,10,0.2464022000785917
5,2,20,0.31568420003168285
5,2,0,0.31378010008484125
5,2,0,0.29423130000941455
5,2,15,0.22697519999928772
5,2,5,0.2675211001187563
5,2,15,0.2913800999522209
5,2,15,0.25717390002682805
5,2,0,0.3207905001472682
5,2,35,0.2811032000463456
5,2,30,0.25811739987693727
5,2,25,0.26787599991075695
5,2,20,0.2917593000456691
5,2,25,0.2728983999695629
5,2,30,0.27835080004297197
5,2,30,0.3166360000614077
5,2,25,0.1780822998844087
5,2,25,0.23981840000487864
5,2,0,0.3181815000716597
5,2,5,0.2844977001659572
5,2,5,0.25242680008523166
5,2,15,0.40989629994146526
5,2,5,0.33228660002350807
5,2,40,0.34336329996585846
5,2,20,0.5624689999967813
5,2,20,0.292242499999702
5,2,5,0.2742333000060171
5,2,40,0.2793672000989318
5,2,5,0.2877245999407023
5,2,40,0.2299533998593688
5,2,20,0.2711996000725776
5,2,0,0.24721189984120429
5,2,10,0.2667262000031769
5,2,15,0.2469528999645263
5,2,10,0.26885020011104643
5,2,5,0.3381428001448512
