Letter,Direction,Eccentricity,Reaction Time (s)
B,2,0,0.5594781000399962
P,2,20,0.6192500999895856
B,2,40,0.5219201999716461
E,2,30,0.6043802000349388
B,2,10,0.4972886999603361
P,2,40,0.6154817999340594
B,2,20,0.4897358000744134
B,2,30,0.5136021999642253
B,2,30,0.5694285999052227
P,2,20,0.6091432000976056
B,2,20,0.4868883000453934
B,2,40,0.5045484999427572
B,2,40,0.5186716000316665
B,2,10,0.5867009999928996
P,2,40,0.6245792000554502
E,2,30,0.5821716000791639
B,2,40,0.5137144000036642
P,2,0,0.5956282000988722
E,2,10,0.6749871000647545
E,2,30,0.5459540999727324
E,2,0,0.5197229000041261
E,2,10,0.6293473000405356
E,2,10,0.41678259999025613
P,2,40,0.7285104999318719
B,2,0,0.4628097000531852
E,2,0,0.7103836999740452
B,2,20,0.5149075000081211
P,2,10,0.6116523999953642
B,2,10,0.5270870999665931
B,2,30,0.45461899996735156
P,2,20,0.5600877000251785
P,2,20,0.5625445999903604
E,2,0,0.5262852000305429
E,2,30,0.5845140001038089
E,2,0,0.48000950005371124
P,2,0,0.51490880001802
B,2,20,0.5354589000344276
P,2,10,0.48521379998419434
E,2,40,0.5927567000035197
B,2,30,0.7181289999280125
P,2,40,0.6420815999154001
P,2,40,0.5395974999992177
E,2,20,0.5478500999743119
E,2,0,0.5895242999540642
P,2,20,0.5853891000151634
B,2,30,0.5151776999700814
B,2,30,0.5077434000559151
P,2,0,0.8091582999331877
P,2,10,0.5241761999204755
B,2,10,0.6303159999661148
E,0,30,0.6200521000428125
P,0,0,0.5948287000646815
E,0,30,0.6164173999568447
P,0,0,0.4777341999579221
E,0,30,0.5343146999366581
P,0,20,0.5897266000974923
P,0,40,0.5372978000668809
B,0,40,0.7497914000414312
P,0,10,0.5187016999116167
B,0,40,0.6732419000472873
E,0,10,0.5677260999800637
E,0,40,0.6716393000679091
B,0,10,0.5794980999780819
B,0,0,0.6421055999817327
P,0,0,0.5480950000928715
E,0,30,0.5328314999351278
B,0,20,0.5257199000334367
E,0,30,0.7323129000142217
B,0,20,0.504971000016667
P,0,40,0.5550243000034243
P,0,10,0.4055159999988973
B,0,0,0.4949932999443263
E,0,30,0.5332360999891534
E,0,30,0.5304581000236794
P,0,10,0.5382046999875456
B,0,20,0.5601984999375418
E,0,10,0.5304081999929622
P,0,40,0.6278036000439897
B,0,0,0.4956480000400916
P,0,10,0.48928540002088994
P,0,20,0.6107164000859484
B,0,0,0.5028350000502542
B,0,20,0.48277839994989336
E,0,0,0.4951945999637246
E,0,40,0.7008560999529436
P,0,0,0.5617683000164106
P,0,10,0.611354700056836
B,0,10,0.6080078000668436
P,0,20,0.6624309999169782
P,0,40,0.6229487000964582
B,0,20,0.509017699980177
B,0,0,0.527172299916856
B,0,40,0.5944815999828279
B,0,30,0.5630572999361902
B,0,20,0.6609309000195935
B,0,30,0.4304240000201389
P,0,30,0.5957165999570861
E,0,10,0.6734544000355527
E,0,20,0.5523558999411762
E,0,40,0.732035499997437
