Letter,Direction,Eccentricity,Reaction Time (s)
P,0,0,0.6304631000384688
P,0,10,0.5848391000181437
B,0,40,0.5478097000159323
P,0,0,0.5055187999969348
E,0,10,0.6773236999288201
P,0,20,0.6211951000150293
E,0,0,0.5136529000010341
B,0,40,0.54176870000083
E,0,30,0.6573821000056341
E,0,30,0.5722568000201136
B,0,10,0.4825140000320971
B,0,10,0.4736306000268087
B,0,20,0.40431770007126033
B,0,10,0.6922207999741659
B,0,0,0.43206999998074025
P,0,40,0.6982518999138847
E,0,20,0.6126951000187546
E,0,10,0.6908530999207869
E,0,30,0.6445512000937015
P,0,20,0.7918376999441534
P,0,0,0.4849536999827251
B,0,30,0.5374644000548869
P,0,10,0.547405399964191
E,0,40,0.70948680001311
P,0,30,0.5918334000743926
P,0,20,0.5005083000287414
P,0,20,0.48723920003976673
P,0,0,0.4589576000580564
E,0,30,0.5503423999762163
B,0,0,0.5240457999752834
P,0,20,0.5433345000492409
B,0,0,0.8021291999612004
P,0,40,0.5698567000217736
B,0,20,0.5988984999712557
E,0,0,0.4658506999257952
P,0,20,0.5874273999361321
B,0,30,0.6475870999274775
E,0,20,0.4950764999957755
P,0,10,0.4775207999628037
E,0,30,0.5473031000001356
E,0,10,0.567272000014782
E,0,10,0.5810048999264836
B,0,30,0.7417373000644147
E,0,40,0.6241634000325575
B,0,40,0.6963351999875158
E,0,40,0.844295300077647
P,0,40,0.7803208000259474
B,0,40,0.6898407000117004
P,0,30,0.699448800063692
P,0,0,0.6348710000747815
E,2,30,0.5594356999499723
E,2,10,0.4818838000064716
E,2,10,0.44569249998312443
B,2,40,0.6918770000338554
P,2,0,0.6103695000056177
P,2,0,0.40370080003049225
P,2,0,0.4280313999624923
B,2,0,0.5109263000776991
B,2,20,0.47385639999993145
E,2,0,0.5389213999733329
B,2,20,0.5602163999574259
B,2,40,0.5269129999214783
B,2,40,0.49050060007721186
P,2,20,0.6121309000300243
B,2,0,0.4726694000419229
B,2,30,0.46724040003027767
B,2,30,0.47079429996665567
P,2,20,0.5474136000266299
B,2,20,0.5093791000545025
E,2,0,0.5738726999843493
B,2,10,0.5046254999469966
B,2,40,0.42878399998880923
P,2,40,0.6821025999961421
B,2,20,0.5707436000229791
B,2,30,0.47108230006415397
B,2,10,0.45815520000178367
B,2,30,0.4594641000730917
B,2,30,0.42951010004617274
B,2,10,0.3851970999967307
B,2,10,0.4022135999985039
P,2,10,0.5413257000036538
P,2,10,0.4003116999519989
B,2,30,0.554175200057216
E,2,30,0.6497315999586135
B,2,10,0.5464028000133112
E,2,40,0.6558783000800759
E,2,20,0.6597470000851899
B,2,40,0.6431005999911577
B,2,0,0.4691488000098616
B,2,20,0.4787017999915406
E,2,10,0.562895999988541
B,2,20,0.5222256999695674
B,2,30,0.4331129000056535
E,2,0,0.5514786000130698
P,2,30,0.7630457000341266
B,2,40,0.6623549999203533
E,2,20,0.6763183999573812
P,2,40,0.8783906999742612
B,2,40,0.6372697000624612
P,2,0,0.6116490999702364
