Face,Direction,Eccentricity,Reaction Time (s)
23,2,10,0.7562890001572669
21,2,15,0.5985386001411825
23,2,25,0.8372826999984682
19,2,40,0.829058799892664
23,2,35,0.7674544001929462
23,2,30,0.7094307001680136
19,2,40,0.7616622000932693
23,2,10,0.6075057000853121
21,2,30,0.6841669001150876
21,2,40,0.8108258999418467
21,2,10,0.6376088000833988
19,2,40,0.9371868001762778
23,2,25,0.6608104000333697
23,2,10,0.523274099919945
23,2,20,0.5444066000636667
19,2,30,0.8234979000408202
19,2,25,0.5861625999677926
23,2,25,0.6860224001575261
19,2,35,0.6510169999673963
21,2,0,0.7089844001457095
21,2,20,0.6267402998637408
19,2,5,0.597794699948281
23,2,0,0.5690925000235438
23,2,15,0.6207729999441653
23,2,20,0.48601069999858737
21,2,25,0.5817037001252174
23,2,10,0.5037273999769241
23,2,25,0.6065274998545647
23,2,10,0.455133399926126
23,2,5,0.4270776999182999
23,2,0,0.44302559993229806
21,2,0,0.49498730013146996
23,2,20,0.6662063000258058
21,2,5,0.6870055000763386
23,2,5,0.5538869998417795
21,2,30,0.6515610001515597
19,2,15,0.6451864999253303
19,2,35,0.5623653999064118
21,2,15,0.6905135998968035
19,2,30,0.9137549998704344
19,2,0,0.8557898001745343
19,2,10,0.3776112999767065
21,2,20,0.7254175001289696
21,2,10,0.5242128998506814
19,2,5,0.5585637001786381
23,2,40,0.8079713000915945
23,2,30,0.7512316999491304
23,2,30,0.5750509998761117
23,2,15,0.4411315000616014
19,2,0,0.5605925000272691
19,2,40,0.6946499000769109
23,2,15,0.5728439998347312
23,2,40,0.8738494000863284
23,2,20,0.4900304002221674
19,2,35,0.7521591999102384
19,2,0,0.5253647998906672
23,2,20,0.5616350998170674
23,2,20,0.5936179999262094
19,2,35,0.6152583998627961
21,2,20,0.7344764999579638
23,2,25,0.7715664999559522
23,2,25,0.7388329000677913
21,2,5,0.6055016000755131
21,2,25,0.6199135000351816
19,2,40,0.7538125000428408
19,2,30,0.5758670000359416
19,2,20,0.6356118000112474
19,2,40,0.7503853000234812
23,2,0,0.4991397999692708
21,2,15,0.5800198998767883
23,2,0,0.5972543999087065
19,2,5,0.6129181000869721
21,2,10,0.903191199991852
23,2,40,0.7024900000542402
23,2,30,0.6888194000348449
23,2,15,0.48951780004426837
21,2,5,0.6005273000337183
19,2,30,0.5088406000286341
23,2,10,0.5416902001015842
19,2,15,0.7053489999379963
19,2,35,0.5988902999088168
21,2,5,0.5899699002038687
23,2,35,0.7206938001327217
23,2,35,0.7416799000930041
19,2,25,0.6192218000069261
19,2,0,0.6128517999313772
23,2,35,0.6052223001606762
19,2,15,0.7569585000164807
21,2,5,0.4400482000783086
21,2,35,0.6062390999868512
23,0,30,0.8440352999605238
21,0,40,0.7928375001065433
23,0,25,0.8016049999278039
21,0,0,0.5244732999708503
21,0,20,0.740367199992761
23,0,10,0.47631239984184504
21,0,0,0.5128909000195563
23,0,25,0.7174796999897808
19,0,20,0.6743256999179721
23,0,20,0.7276516000274569
19,0,15,0.7619388001039624
19,0,40,0.755319399992004
21,0,30,0.6394481000024825
19,0,30,0.7878220002166927
21,0,25,0.6345848999917507
23,0,15,0.550594300031662
23,0,25,0.7386328999418765
21,0,5,0.606144999852404
23,0,40,0.6199024999514222
19,0,35,0.6757576998788863
19,0,0,0.5560178000014275
21,0,25,0.809966400032863
23,0,5,0.5843379001598805
19,0,30,0.6495232000015676
23,0,5,0.45633050007745624
23,0,10,0.5226626999210566
23,0,5,0.4312450001016259
23,0,15,0.5270916000008583
23,0,10,0.5184456000570208
23,0,40,0.5383261998649687
21,0,25,0.698801799910143
23,0,35,0.6675688000395894
23,0,25,0.820449500111863
23,0,20,0.6094812001101673
19,0,0,0.5418589999899268
23,0,20,0.9798242999240756
23,0,40,0.6663196999579668
19,0,5,0.5468583998735994
19,0,0,0.4210979000199586
19,0,35,0.805647199973464
23,0,40,0.7137024998664856
23,0,35,0.5182620000559837
23,0,30,0.573397499974817
23,0,10,0.5916528000961989
23,0,0,0.4397152999881655
21,0,40,0.8734905999153852
19,0,30,0.7690000999718904
23,0,15,0.6277896999381483
23,0,15,0.4311350998468697
19,0,40,0.8680108000990003
19,0,20,0.5813940998632461
23,0,20,0.5791145998518914
23,0,10,0.48367700004018843
23,0,10,0.4179997998289764
21,0,20,0.5825160001404583
23,0,35,0.6139432999771088
23,0,35,0.6728256999049336
23,0,0,0.4327091998420656
19,0,15,0.6730778999626637
23,0,30,0.5558210997842252
21,0,10,0.715432200115174
19,0,0,0.5999815000686795
21,0,15,0.6216462000738829
21,0,40,0.6821161999832839
23,0,10,0.6133609998505563
21,0,25,0.5657669000793248
23,0,35,0.8230032999999821
19,0,30,0.7469752000179142
23,0,0,0.7395264999940991
23,0,5,0.5221765998285264
21,0,30,0.786520600086078
21,0,0,0.6787892000284046
21,0,30,0.5549196000210941
21,0,10,0.41235000011511147
23,0,15,0.5152159000281245
21,0,15,0.49811409995891154
19,0,15,0.83856389997527
23,0,25,0.5431035999208689
23,0,5,0.4563692999072373
23,0,40,0.6988075999543071
19,0,35,0.6539016000460833
23,0,5,0.5218147998675704
23,0,5,0.38431239989586174
19,0,25,0.6884744002018124
21,0,10,0.5642613999079913
19,0,5,0.7554577998816967
19,0,35,0.7228895002044737
23,0,20,0.6349047000985593
19,0,20,0.5911888999398798
21,0,35,0.8351670999545604
