Character,Direction,Eccentricity,Reaction Time (s)
da,0,20,0.5947798999841325
zhong,0,20,0.4974219999858178
da,0,10,0.4963294000190217
da,0,20,0.7699799000110943
xiao,0,20,0.7837583000073209
zhong,0,0,0.5091591999807861
da,0,10,0.5117687000019941
xiao,0,10,0.5304663999995682
da,0,40,1.1672060000128113
zhong,0,40,0.586625500000082
xiao,0,30,0.564206999988528
da,0,30,0.5424054999893997
xiao,0,30,0.593357300007483
xiao,0,20,0.5026991000049748
xiao,0,10,0.49135220001335256
da,0,10,0.6514090999844484
zhong,0,30,0.568072399997618
xiao,0,40,0.7525185999984387
zhong,0,10,0.5161327999958303
xiao,0,40,1.065597600012552
zhong,0,40,0.6037469999864697
xiao,0,20,0.7673264999757521
zhong,0,30,0.5338209000183269
da,0,0,0.4535221999976784
zhong,0,30,0.6340497999917716
xiao,0,0,0.4418774000077974
da,0,20,0.5250661000027321
zhong,0,10,0.4711959999985993
xiao,0,40,0.6079928999824915
xiao,0,30,0.5055609999981243
xiao,0,40,1.1675150000082795
da,0,30,0.5895911999978125
zhong,0,0,0.6498028000060003
da,0,20,0.490711199992802
da,0,0,0.619028499990236
zhong,0,20,0.5068180000234861
da,0,30,0.8508273999905214
xiao,0,40,0.8165882999892347
da,0,10,0.5233576000027824
zhong,0,40,0.5695374000060838
da,0,0,0.48817379999672994
da,0,0,0.42995939997490495
da,0,30,0.5237939000071492
xiao,0,20,0.5396349999937229
zhong,0,10,0.4857365000061691
da,0,40,0.7718651000177488
xiao,0,0,0.5288013000099454
da,0,10,0.43171250002342276
xiao,0,0,0.35467339999740943
xiao,0,0,0.40409480000380427
da,2,0,0.46444789998349734
zhong,2,40,0.9789899000024889
xiao,2,0,0.5663153000059538
xiao,2,0,0.41417530001490377
da,2,30,0.48022120000678115
xiao,2,0,0.4433650000137277
zhong,2,10,0.545290699985344
da,2,30,0.5376300000061747
zhong,2,30,0.651447799988091
da,2,20,0.614660899998853
zhong,2,20,0.6145653999992646
da,2,30,0.46784670001943596
zhong,2,20,0.5493910000077449
zhong,2,20,0.49194579999311827
da,2,20,0.5304392999969423
zhong,2,10,0.620691899996018
xiao,2,10,0.5312492999946699
zhong,2,20,0.5483132999797817
zhong,2,40,0.6288019999919925
zhong,2,40,0.6103610999998637
da,2,0,0.4060413000115659
xiao,2,20,0.5364511999941897
zhong,2,40,0.7351782000041567
da,2,20,0.588789999979781
zhong,2,30,0.5699822000169661
zhong,2,10,0.5007197000086308
xiao,2,10,0.5301611000031698
da,2,0,0.46090090001234785
da,2,40,1.145678400003817
da,2,40,0.5926937999902293
xiao,2,10,0.43508580001071095
da,2,30,0.6168622999975923
xiao,2,0,0.5580654999939725
zhong,2,40,0.6431121999921743
da,2,0,0.9910524000006262
zhong,2,30,0.6272943999792915
zhong,2,20,0.4864962999999989
xiao,2,40,1.6532356000097934
xiao,2,0,0.43170529999770224
xiao,2,0,0.4200940000009723
xiao,2,30,0.5207472000038251
zhong,2,20,0.5595528999983799
zhong,2,40,0.5800472999981139
xiao,2,10,0.5571788999950513
xiao,2,10,0.41189800002030097
xiao,2,40,1.1886434000043664
da,2,30,0.5706130999897141
da,2,10,0.5705664000124671
zhong,2,10,0.47138990001985803
da,2,30,0.7135027000040282
