Character,Direction,Eccentricity,Reaction Time (s)
da,2,0,0.3494539000093937
xiao,2,40,1.2579039999982342
da,2,20,0.5437926000158768
xiao,2,10,0.4350702999799978
zhong,2,0,0.4894416999886744
zhong,2,40,0.7053759999980684
xiao,2,30,0.576801199989859
zhong,2,20,0.6568830999894999
zhong,2,0,0.42765130000771023
xiao,2,40,0.6672103999881074
zhong,2,40,0.5533982000197284
zhong,2,10,0.5125278999912553
zhong,2,10,0.41436489997431636
zhong,2,30,0.5004545999981929
da,2,10,0.5236485000059474
xiao,2,30,0.54304509999929
zhong,2,40,0.5520416000217665
da,2,10,0.5955229000246618
da,2,30,0.5139735999982804
da,2,30,0.42925970000214875
da,2,10,0.4163946000044234
da,2,20,0.4177264000172727
da,2,20,0.4730196000018623
da,2,0,0.4172285000095144
zhong,2,40,0.679191900009755
xiao,2,30,0.5088793000031728
xiao,2,30,0.5513322999759112
xiao,2,40,0.6730319999915082
da,2,0,0.5416468000039458
zhong,2,0,0.47399930001120083
zhong,2,0,0.42242289998102933
zhong,2,10,0.4286244999966584
da,2,10,0.4856072000111453
xiao,2,0,0.6314739999943413
xiao,2,0,0.4307236000022385
da,2,10,0.5201219000155106
xiao,2,20,0.508798500028206
zhong,2,0,0.5136685000034049
zhong,2,20,0.5432728000159841
xiao,2,20,0.49445870000636205
zhong,2,40,0.6120071999903303
xiao,2,30,0.5370681000058539
xiao,2,20,0.6248067999840714
xiao,2,30,0.5081933999899775
zhong,2,20,0.5251584000070579
xiao,2,40,0.5986904999881517
da,2,30,0.6597878999891691
da,2,20,0.6371748999808915
da,2,10,0.46329919999698177
xiao,2,40,0.5914802999759559
da,0,10,0.46345039998413995
xiao,0,30,0.5474755000032019
xiao,0,40,0.5405473999853712
da,0,40,0.5333368999999948
da,0,40,0.47473709998303093
da,0,0,0.4050211000139825
da,0,20,0.4712784999865107
xiao,0,10,0.563150100002531
zhong,0,0,0.4645367999910377
zhong,0,0,0.45755029999418184
xiao,0,30,0.511062999983551
zhong,0,40,0.5922698999929707
xiao,0,40,0.7105601000075694
xiao,0,10,0.427571700012777
zhong,0,10,0.4447130000044126
xiao,0,30,0.4738284000195563
xiao,0,20,0.4921656000078656
xiao,0,20,0.45028699998511
da,0,30,0.7019772000203375
zhong,0,40,0.5456127999932505
xiao,0,10,0.465769000002183
xiao,0,10,0.4509032999922056
da,0,40,0.6192097000021022
xiao,0,30,0.5914282999874558
zhong,0,20,0.5970874000049662
xiao,0,10,0.562540299986722
xiao,0,0,0.5139606000157073
da,0,20,0.6730449000024237
xiao,0,0,0.49178730000858195
zhong,0,20,0.6757205000030808
xiao,0,20,0.5128255000163335
da,0,30,0.5568824000074528
da,0,0,0.4993114999961108
zhong,0,10,0.4403485000075307
xiao,0,10,0.5383817999972962
da,0,0,0.4191292000177782
xiao,0,30,0.6782574999961071
zhong,0,20,0.5657578999816906
xiao,0,30,0.5112654000113253
da,0,20,0.5483477999805473
da,0,30,0.5437076000089291
zhong,0,0,0.4985953999857884
da,0,40,0.5484760999970604
da,0,40,0.5551610999973491
xiao,0,20,0.6450099000066984
xiao,0,0,0.447387099993648
da,0,10,0.5383209999999963
xiao,0,40,0.7935095000138972
xiao,0,0,0.4799983999982942
da,0,30,0.5430333000258543
