Character,Direction,Eccentricity,Reaction Time (s)
da,0,0,0.3647081999806687
xiao,0,30,0.5205570000689477
da,0,10,0.5095222999807447
xiao,0,20,0.5316326000029221
da,0,30,0.4811477999901399
xiao,0,0,0.719349000020884
xiao,0,40,0.7442004999611527
da,0,0,0.4490573999937624
xiao,0,20,0.43393689999356866
da,0,10,0.5345881999237463
xiao,0,0,0.4882233999669552
xiao,0,20,0.4841691000619903
xiao,0,20,0.4727498000720516
da,0,0,0.5939637999981642
da,0,10,0.4495119999628514
da,0,0,0.37390280002728105
xiao,0,40,0.738709400058724
xiao,0,10,0.4664958000648767
da,0,10,0.5619579000631347
xiao,0,30,0.5700782999629155
da,0,40,0.5993852000683546
xiao,0,20,0.5468160000164062
xiao,0,40,0.5603052999358624
da,0,40,0.636298600002192
da,0,30,0.9620678999926895
xiao,0,0,0.45416259998455644
xiao,0,10,0.3877240000292659
xiao,0,30,0.48917690000962466
xiao,0,0,0.42433249996975064
xiao,0,10,0.4505574000068009
xiao,0,10,0.6574778000358492
xiao,0,10,0.4741726000793278
xiao,0,10,0.49627060000784695
xiao,0,30,0.5570678999647498
da,0,30,0.5190738000674173
xiao,0,20,0.4836348000681028
da,0,20,0.549659000011161
xiao,0,0,0.4468492999440059
xiao,0,20,0.5207439999794587
da,0,40,0.4933216000208631
xiao,0,20,0.49841490003746003
xiao,0,30,0.618008799967356
xiao,0,40,0.5729378000833094
xiao,0,40,0.5634067999199033
da,0,30,0.5430170999607071
xiao,0,40,0.5505095000844449
da,0,30,0.6383315999992192
da,0,40,0.6611344999400899
da,0,20,0.47738609998486936
xiao,0,0,0.491274599917233
xiao,0,40,0.6807908000191674
xiao,0,30,0.46783169999253005
da,0,40,0.5665691000176594
xiao,0,10,0.4102035000687465
xiao,0,20,0.4973232999909669
da,0,10,0.5424429000122473
xiao,0,0,0.6045709000900388
da,0,0,0.460780999972485
da,0,30,0.6802318999543786
xiao,0,10,0.4630745999747887
xiao,0,30,0.6036429000087082
da,0,30,0.5815671000164002
da,0,40,0.6607775000156835
xiao,0,40,0.5281756999902427
da,0,40,0.6079793999670073
da,0,10,0.45477690000552684
xiao,0,20,0.4538730999920517
da,0,10,0.46362329996190965
xiao,0,40,0.6143653000472113
xiao,0,10,0.41555429995059967
da,0,20,0.48855489993002266
xiao,0,0,0.4185644000535831
xiao,0,40,0.5843517000321299
da,0,0,0.4106572000309825
da,0,0,0.4352424000389874
xiao,0,30,0.5238548999186605
xiao,0,20,0.4581776999402791
da,0,40,0.5390860999468714
xiao,0,0,0.5847124999854714
da,0,10,0.5394085000734776
xiao,0,10,0.4633073000004515
xiao,0,20,0.4085677999537438
da,0,20,0.5579568999819458
da,0,30,0.5748199999798089
da,0,40,0.5160292000509799
xiao,0,40,0.5821562999626622
da,0,20,0.5273645999841392
xiao,0,0,0.42863159999251366
xiao,0,30,0.5077332999790087
xiao,0,0,0.3853738000616431
xiao,0,10,0.4591634999960661
xiao,0,10,0.38831650000065565
xiao,0,30,0.5113892999943346
xiao,0,20,0.3782938999356702
xiao,0,30,0.44007809995673597
da,0,0,0.50395479996223
da,0,0,0.3764597999397665
xiao,0,30,0.4806311000138521
da,0,20,0.6191263000946492
da,0,20,0.5057696000440046
da,2,0,0.49652160005643964
da,2,30,0.5701514000538737
da,2,30,0.38513279997278005
xiao,2,40,0.5707161000464112
da,2,40,0.5770577000221238
da,2,40,0.501653999905102
da,2,40,0.5104964000638574
xiao,2,10,0.4797035000519827
da,2,30,0.4559037000872195
xiao,2,0,0.5096030000131577
xiao,2,40,0.7019559000618756
da,2,0,0.44862820010166615
da,2,10,0.5218185000121593
xiao,2,40,0.6645715000340715
xiao,2,20,0.664223299943842
xiao,2,30,0.4336363000329584
xiao,2,40,0.5142388000385836
da,2,30,0.5930060000391677
xiao,2,30,0.595106300082989
xiao,2,10,0.5462408000603318
xiao,2,10,0.41592340008355677
xiao,2,20,0.509373200009577
xiao,2,40,0.5090881999349222
da,2,20,0.531753099989146
da,2,20,0.41339220001827925
xiao,2,20,0.5107421999564394
xiao,2,20,0.4980104999849573
xiao,2,30,0.4759032999863848
xiao,2,30,0.48297170002479106
xiao,2,10,0.4412010000087321
da,2,40,0.654160000034608
xiao,2,40,0.6025054000783712
xiao,2,30,0.502579600084573
da,2,10,0.47711670002900064
da,2,10,0.4519612999865785
xiao,2,10,0.5107184000080451
da,2,0,0.465005400008522
da,2,0,0.4695282999891788
da,2,0,0.38504399999510497
xiao,2,10,0.545125599950552
xiao,2,10,0.4602322999853641
da,2,20,0.4288343000225723
xiao,2,20,0.534748199977912
xiao,2,0,0.44400819996371865
xiao,2,0,0.4182113000424579
xiao,2,30,0.5989192000124604
da,2,20,0.53941629990004
xiao,2,20,0.5647622999968007
xiao,2,0,0.37326519994530827
da,2,0,0.31015589996241033
