Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,30,0.31055619998369366
0.0,0,5,0.11541750002652407
0.0,2,15,0.4208264999324456
0.0,0,40,0.058848800021223724
0.0,0,20,0.298321699956432
0.0,0,35,0.29917070001829416
0.0,2,20,0.26611210010014474
0.0,2,0,0.3361211000010371
0.0,0,30,0.29077660001348704
0.0,2,35,0.29961670003831387
0.0,2,35,0.3406863999553025
0.0,0,25,0.33051740005612373
0.0,0,10,0.3419143999926746
0.0,0,25,0.33775119995698333
0.0,0,5,0.16938029997982085
0.0,2,10,0.2688808999955654
0.0,0,40,0.3489484000019729
0.0,0,15,0.34527749998960644
0.0,2,40,0.29070320003665984
0.0,0,10,0.28054780000820756
0.0,2,5,0.2555988000240177
0.0,2,35,0.28355720010586083
0.0,0,35,0.2997953000012785
0.0,0,10,0.33131140004843473
0.0,2,30,0.3204279000638053
0.0,2,20,0.32525039999745786
0.0,2,10,0.3195898000849411
0.0,2,15,0.3105729999952018
0.0,2,25,0.2688166999723762
0.0,2,0,0.2652433000039309
0.0,2,25,0.28218800004106015
0.0,0,40,0.3051648000255227
0.0,0,20,0.11627410002984107
0.0,0,40,0.06754789990372956
0.0,0,5,0.3494616999523714
0.0,0,0,0.29592299996875226
0.0,2,30,0.29717170004732907
0.0,0,30,0.34354399994481355
0.0,2,20,0.10821700002998114
0.0,0,25,0.3367316999938339
0.0,2,15,0.30759219999890774
0.0,2,15,0.31894659996032715
0.0,0,25,0.33212399994954467
0.0,2,5,0.3307903000386432
0.0,0,30,0.6014586000237614
0.0,0,25,0.4146989999571815
0.0,0,0,0.3429193999618292
0.0,0,15,0.33107179997023195
0.0,2,35,0.3332719999598339
0.0,0,10,0.31650669989176095
0.0,0,20,0.29116490005981177
0.0,2,10,0.28216240007895976
0.0,0,35,0.34996729996055365
0.0,0,30,0.27427200006786734
0.0,0,10,0.30892959993798286
0.0,2,25,0.31916590000037104
0.0,0,15,0.3166135000064969
0.0,0,0,0.3276803999906406
0.0,2,30,0.3119979000184685
0.0,0,0,0.27787670004181564
0.0,0,40,0.1435774000128731
0.0,0,25,0.33252010005526245
0.0,2,10,0.34403449995443225
0.0,0,40,0.34054180001839995
0.0,0,15,0.2845355999888852
0.0,0,5,0.3074377999873832
0.0,2,25,0.35342039994429797
0.0,2,35,0.3235875000245869
0.0,2,25,0.2734954000916332
0.0,2,5,0.2977313998853788
0.0,0,20,0.2446697000414133
0.0,0,40,0.1380574000068009
0.0,2,35,0.24901769997086376
0.0,2,10,0.3269770999904722
0.0,2,5,0.2064510000636801
0.0,2,0,0.19293460005428642
0.0,0,20,0.2685924000106752
0.0,0,35,0.28541520005092025
0.0,2,40,0.3249628000194207
0.0,2,40,0.3010718000587076
0.0,2,5,0.13862650003284216
0.0,2,30,0.18816419993527234
0.0,2,40,0.13526930008083582
0.0,2,0,0.40341559995431453
0.0,2,20,0.31530779995955527
0.0,0,15,0.3647905000252649
0.0,0,30,0.32311190001200885
0.0,2,5,0.28536640002857894
0.0,0,0,0.10289089998696
0.0,0,0,0.2973524999106303
0.0,0,25,0.32609400001820177
0.0,2,10,0.2718957000179216
0.0,0,0,0.2987634999444708
0.0,0,5,0.23274389992002398
0.0,2,20,0.3265784999821335
0.0,2,10,0.4135558999842033
0.0,0,35,0.3753439000574872
0.0,0,20,0.2865922999335453
0.0,0,35,0.29976790002547204
0.0,2,40,0.26980220002587885
0.0,2,5,0.257440899964422
0.0,2,0,0.29314780002459884
0.0,0,40,0.401423699920997
0.0,0,5,0.296197900082916
0.0,0,30,0.30283860000781715
0.0,0,15,0.2596309999935329
0.0,0,0,0.130828500026837
0.0,0,20,0.46339990000706166
0.0,2,30,0.30466180003713816
0.0,2,35,0.4518179000588134
0.0,2,40,0.28706280002370477
0.0,2,10,0.3148350000847131
0.0,2,10,0.3050892000319436
0.0,2,40,0.11422009998932481
0.0,0,30,0.3168876999989152
0.0,2,35,0.3529369999887422
0.0,0,15,0.2967000000644475
0.0,0,5,0.3259141999296844
0.0,2,30,0.3600354999070987
0.0,0,35,0.2906277999281883
0.0,2,0,0.3218153000343591
0.0,2,30,0.3217935999855399
0.0,2,15,0.31256049999501556
0.0,2,40,0.32107060006819665
0.0,0,35,0.28196239995304495
0.0,2,15,0.324119700002484
0.0,2,5,0.004052300006151199
0.0,2,25,0.2376276000868529
0.0,0,20,0.37370789994020015
0.0,0,30,0.4003360999049619
0.0,0,40,0.3572889999486506
0.0,2,0,0.42759999993722886
0.0,2,15,0.3848058999283239
0.0,2,5,0.32233949995134026
0.0,2,30,0.2979456000030041
0.0,2,20,0.33825150004122406
0.0,0,5,0.3339292999589816
0.0,0,20,0.3143936999840662
0.0,2,0,0.2563118999823928
0.0,2,35,0.28234230005182326
0.0,2,30,0.35885369998868555
0.0,2,0,0.3170326000545174
0.0,0,25,0.40328570001292974
0.0,2,25,0.38483150000683963
0.0,0,0,0.3427607000339776
0.0,0,15,0.3033756000222638
0.0,0,30,0.37945930007845163
0.0,0,15,0.2819098000181839
0.0,2,15,0.3305407000007108
0.0,0,10,0.29504560003988445
0.0,2,20,0.3291800000006333
0.0,0,10,0.29649909993167967
0.0,2,30,0.28117159998510033
0.0,0,5,0.31611659994814545
0.0,0,35,0.27132969989906996
0.0,2,25,0.40050250000786036
0.0,2,40,0.35169839998707175
0.0,2,20,0.29485470009967685
0.0,2,25,0.2975236000493169
0.0,0,40,0.355799000011757
0.0,0,35,0.0017458000220358372
0.0,2,25,0.32008229999337345
0.0,0,5,0.3214077999582514
0.0,0,15,0.2861087000928819
0.0,2,40,0.32789909990970045
0.0,2,15,0.30402270006015897
0.0,2,15,0.2467289000051096
0.0,2,5,0.3230376000283286
0.0,0,25,0.12991830008104444
0.0,2,10,0.26195270009338856
0.0,0,25,0.3158603999763727
0.0,0,0,0.2878093000035733
0.0,0,20,0.3071013999870047
0.0,2,35,0.3572699000360444
0.0,2,0,0.3063596000429243
0.0,2,20,0.13893769995775074
0.0,0,10,0.33996730006765574
0.0,0,10,0.3552981000393629
0.0,2,20,0.27747890003956854
0.0,0,10,0.3245227999286726
