Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,0,35,0.741110400063917
45.0,0,40,0.38182610005605966
0.0,0,0,0.6159414000576362
0.0,0,10,0.5265910000307485
45.0,2,40,0.6906733999494463
45.0,2,5,0.4872248999308795
0.0,2,10,0.5117813000688329
45.0,2,35,0.6710363000165671
90.0,0,15,0.698116600047797
45.0,0,20,0.58490829996299
0.0,2,20,0.5419744000537321
0.0,0,30,0.6452430000063032
45.0,2,5,0.5799066000618041
90.0,2,15,0.645441300002858
90.0,2,35,0.6390849000308663
90.0,0,30,0.6452151000266895
0.0,2,30,0.5913682000245899
90.0,0,35,0.7372469999827445
0.0,2,40,0.7279598000459373
45.0,2,15,0.7014983999542892
0.0,0,10,0.5778691000305116
0.0,0,40,0.7833715000888333
45.0,0,15,0.6623671998968348
0.0,0,20,0.8849384000059217
0.0,0,5,0.45713110000360757
0.0,0,0,0.5094364999094978
45.0,2,25,0.49805150006432086
0.0,0,15,0.6438567000441253
0.0,2,0,0.6565614000428468
90.0,0,35,0.5304501999635249
45.0,0,25,0.6362756000598893
90.0,0,20,0.748917100019753
90.0,2,10,0.7158931999001652
90.0,2,25,0.6947321000043303
0.0,0,10,0.8156233999179676
45.0,0,25,0.5161640000296757
0.0,0,10,0.5548694999888539
90.0,2,35,0.6124092999380082
45.0,2,0,0.5652374000055715
0.0,2,15,0.5832072000484914
0.0,0,40,0.6170418000547215
90.0,2,35,0.4978873999789357
0.0,2,30,0.5336201000027359
45.0,0,35,0.4073301999596879
0.0,2,25,0.6258733000140637
45.0,0,40,0.7262150999158621
0.0,0,25,0.7361485000001267
90.0,2,40,0.6873708999482915
90.0,2,20,0.6333545000525191
90.0,0,10,0.5677333000348881
90.0,2,15,0.5864324000431225
90.0,2,5,0.5743901999667287
0.0,2,40,0.6208115000044927
90.0,2,20,0.5072324000066146
0.0,2,5,0.7222678000107408
45.0,0,30,0.6091602999949828
0.0,0,20,0.5853095999918878
0.0,0,5,0.7764681000262499
45.0,0,40,0.6532792000798509
45.0,0,0,0.5898124999366701
0.0,0,30,0.6197764999233186
90.0,0,15,0.6592481000116095
90.0,0,30,0.616859299945645
0.0,0,20,0.583926499937661
90.0,0,30,0.5433380000758916
0.0,0,30,0.6123268000083044
0.0,2,20,0.6545433999272063
90.0,0,20,0.700550299952738
90.0,0,25,0.7642832000274211
45.0,2,20,0.6461564999772236
90.0,2,15,0.5222470000153407
0.0,2,30,0.5159480000147596
0.0,2,30,0.4900685000466183
90.0,2,30,0.6022477999795228
0.0,2,0,0.5162695000180975
90.0,2,25,0.7258316000225022
90.0,0,40,0.7461358000291511
45.0,0,10,0.6448686000658199
90.0,2,5,0.6175461000530049
90.0,2,0,0.5677266999846324
45.0,0,25,0.6237072000512853
0.0,0,20,0.6788674000417814
90.0,0,15,0.6463559999829158
45.0,2,30,0.6432360999751836
90.0,0,0,0.5510346000082791
90.0,2,0,0.599752499954775
90.0,0,30,0.7004535000305623
0.0,2,15,0.6212561998981982
45.0,2,40,0.7822446000063792
45.0,0,15,0.646346400026232
90.0,0,20,0.6088740000268444
45.0,0,35,0.6774058999726549
45.0,2,25,0.5711221999954432
45.0,2,0,0.5392089000670239
45.0,2,10,0.46766910003498197
0.0,2,35,0.5617835999000818
0.0,2,15,0.4947425000136718
0.0,0,0,0.43728729989379644
0.0,2,35,0.6345363999716938
90.0,2,5,0.8174141999334097
90.0,2,0,0.4140974000329152
45.0,0,5,0.6246673000277951
45.0,0,0,0.5014378000050783
0.0,0,15,0.741436899988912
45.0,2,40,0.6122019999893382
45.0,2,40,0.5231574999634176
0.0,2,25,0.45432469993829727
45.0,2,15,0.566988299950026
90.0,2,5,0.46748960006516427
0.0,2,35,0.6201839999994263
0.0,2,35,0.6135605000890791
0.0,0,40,0.7283759000711143
45.0,0,5,0.5237534999614581
45.0,2,40,0.7408890000078827
0.0,2,10,0.44202850002329797
0.0,2,35,0.6173722000094131
90.0,0,25,0.6058783000335097
